Front,Back
What are external influences?,Factors outside a business that affect its operations and decisions.
Why are external influences important?,Businesses cannot control them but must respond to them.
What is the external environment?,The conditions and forces outside a business affecting performance.
What is PESTLE analysis?,A framework analysing political economic social technological legal and environmental factors.
Why is PESTLE analysis useful?,It helps businesses identify opportunities and threats.
What are political factors?,Government actions and policies affecting businesses.
Give one example of a political factor.,Taxation or government regulations.
What are economic factors?,Changes in the economy affecting businesses.
Give one example of an economic factor.,Inflation or interest rates.
What are social factors?,Changes in society and consumer lifestyles.
Give one example of a social factor.,Changing population trends.
What are technological factors?,Developments in technology affecting businesses.
Give one example of a technological factor.,Automation or artificial intelligence.
What are legal factors?,Laws and regulations businesses must follow.
Give one example of a legal factor.,Health and safety laws.
What are environmental factors?,Issues relating to the natural environment.
Give one example of an environmental factor.,Climate change or pollution.
What is inflation?,A general increase in prices over time.
How does inflation affect businesses?,Costs and wages may increase.
What is deflation?,A general decrease in prices over time.
Why can deflation be harmful?,Consumers may delay spending and profits may fall.
What is interest rate?,The cost of borrowing money.
How do high interest rates affect businesses?,Borrowing becomes more expensive.
How do low interest rates affect businesses?,Borrowing and spending may increase.
What is exchange rate?,The value of one currency compared to another.
How do exchange rates affect imports?,A weak currency makes imports more expensive.
How do exchange rates affect exports?,A weak currency can make exports cheaper abroad.
What is unemployment?,The number of people without jobs but seeking work.
How can high unemployment affect businesses?,Lower consumer spending may reduce sales.
What is economic growth?,An increase in a country’s output and income.
How does economic growth benefit businesses?,Consumer demand often increases.
What is recession?,A period of falling economic activity.
How can recession affect businesses?,Sales and profits may decline.
What is disposable income?,Money left after essential expenses.
Why is disposable income important?,It affects consumer spending power.
What is taxation?,Money collected by governments from individuals and businesses.
How can higher taxes affect businesses?,Profits and spending may decrease.
What is corporation tax?,Tax charged on company profits.
What is value added tax VAT?,A tax added to the price of goods and services.
How can VAT affect consumers?,Higher prices may reduce demand.
What is minimum wage?,The lowest legal pay employers can offer workers.
How can higher minimum wages affect businesses?,Labour costs may increase.
What is government regulation?,Rules businesses must follow.
Why do governments regulate businesses?,To protect workers consumers and the environment.
What is deregulation?,Reducing government rules and restrictions.
How can deregulation benefit businesses?,It may increase flexibility and competition.
What is privatisation?,Selling government-owned businesses to the private sector.
What is competition policy?,Government action to prevent unfair business practices.
Why is competition policy important?,It protects consumers and smaller businesses.
What is monopoly?,A market dominated by one business.
Why can monopolies be harmful?,They may reduce competition and increase prices.
What is pressure group?,An organisation trying to influence business behaviour.
How can pressure groups affect businesses?,They can influence reputation and customer opinions.
What is globalisation?,The increasing connection of economies and markets worldwide.
How does globalisation affect businesses?,It increases competition and market opportunities.
What is multinational company MNC?,A business operating in several countries.
What are the advantages of MNCs?,Access to larger markets and lower costs.
What are the disadvantages of MNCs?,Increased competition for local businesses.
What is outsourcing?,Using external businesses for certain activities.
Why do businesses outsource?,To reduce costs or access expertise.
What is offshoring?,Moving operations to another country.
Why do businesses offshore?,To reduce labour and production costs.
What is trade barrier?,A restriction on international trade.
Give one example of a trade barrier.,Tariffs or quotas.
What is tariff?,A tax on imported goods.
How do tariffs affect businesses?,Imports become more expensive.
What is quota?,A limit on the amount of goods imported.
Why do governments use quotas?,To protect domestic industries.
What is free trade?,International trade without restrictions.
What are the advantages of free trade?,Lower prices and more consumer choice.
What is protectionism?,Policies protecting domestic businesses from foreign competition.
What is sustainability?,Meeting current needs without harming future generations.
Why is sustainability important for businesses?,Customers and governments expect responsible behaviour.
What is climate change?,Long-term changes in global temperatures and weather patterns.
How can climate change affect businesses?,Supply chains and operating costs may be disrupted.
What is carbon footprint?,The amount of greenhouse gases produced by activities.
Why are businesses reducing carbon footprints?,To meet regulations and customer expectations.
What is renewable energy?,Energy from naturally replenished sources.
Give one example of renewable energy.,Solar or wind power.
What is ethical consumerism?,Consumers considering ethics when making purchases.
How does ethical consumerism affect businesses?,Businesses may need more responsible practices.
What is corporate social responsibility CSR?,Businesses acting responsibly towards society and the environment.
Why is CSR important?,It improves reputation and customer trust.
What is demographic change?,Changes in population size or structure.
How can demographic changes affect businesses?,Demand for products and services may change.
What is ageing population?,An increase in the average age of the population.
How can an ageing population affect businesses?,Demand for healthcare and retirement services may rise.
What is urbanisation?,The movement of people into cities.
How can urbanisation affect businesses?,Demand for housing transport and services may increase.
What is consumer trend?,A general change in customer preferences or behaviour.
Why should businesses monitor trends?,To remain competitive and relevant.
What is digital transformation?,Using technology to improve business operations.
Why is digital transformation important?,It increases efficiency and competitiveness.
What is automation?,Using machines or technology to perform tasks.
How does automation affect businesses?,Productivity may increase and labour costs may fall.
What is artificial intelligence AI?,Technology simulating human intelligence.
How can AI benefit businesses?,Improves efficiency and data analysis.
What is cybersecurity?,Protecting digital systems and data from attacks.
Why is cybersecurity important?,Data breaches can damage reputation and finances.
What is e-commerce?,Buying and selling online.
How has e-commerce changed businesses?,It increased online competition and convenience.
What is data protection law?,Laws protecting customer information.
Why must businesses follow data protection laws?,To avoid fines and protect trust.
What is health and safety legislation?,Laws protecting workers and customers from harm.
Why is health and safety important?,It reduces accidents and legal risks.
What is employment law?,Laws regulating relationships between employers and employees.
Give one example of employment law.,Minimum wage or anti-discrimination laws.
What is discrimination law?,Laws preventing unfair treatment.
Why are discrimination laws important?,They promote fairness and equality.
What is intellectual property?,Legal protection for ideas inventions and creations.
What is patent?,Legal protection for inventions.
What is copyright?,Legal protection for creative work.
Why is intellectual property important?,It prevents ideas being copied unfairly.
What is political stability?,The level of consistency and order in government.
Why is political stability important for businesses?,Stable environments reduce uncertainty and risk.
What is corruption?,Dishonest or illegal behaviour by those in power.
How can corruption affect businesses?,It increases costs and risks.
What is exchange rate risk?,The possibility of losses due to currency changes.
Why is exchange rate risk important?,International businesses may face changing costs and revenues.
What is supply chain disruption?,Interruptions affecting the flow of goods and materials.
What can cause supply chain disruption?,Natural disasters strikes or global events.
Why are supply chains important?,Businesses depend on reliable deliveries and production.
What is inflationary pressure?,Factors causing prices to rise.
How can businesses respond to inflation?,Increase prices or reduce costs.
What is environmental regulation?,Rules protecting the environment.
How can environmental regulation affect businesses?,Compliance may increase costs but improve sustainability.
What is stakeholder pressure?,Influence from groups affected by a business.
Why is stakeholder pressure important?,Businesses may change behaviour to maintain support.
What is business adaptation?,Changing operations to respond to external influences.
Why must businesses adapt?,External factors constantly change.
What is contingency planning?,Preparing for unexpected external events.
Why is contingency planning important?,It reduces risk and improves resilience.
