Front,Back
What is a primary source?,"A source created at the time of the event."
What is a secondary source?,"A source created after the event."
What is provenance?,"The origin of a source."
What is reliability?,"How trustworthy a source is."
What is utility?,"How useful a source is."
What is interpretation?,"A historian's view of the past."
What is significance?,"Importance of an event."
What is causation?,"Reasons why something happened."
What is consequence?,"Results of an event."
What is change?,"How things develop over time."
What is continuity?,"What stays the same."
When did World War One begin?,"1914"
When did World War One end?,"1918"
What event triggered WWI?,"Assassination of Archduke Franz Ferdinand."
What does MAIN stand for?,"Militarism Alliances Imperialism Nationalism."
What was the Treaty of Versailles?,"Peace treaty ending WWI."
When was the Treaty of Versailles signed?,"1919"
What was Article 231?,"War guilt clause."
How much was Germany fined?,"132 billion gold marks."
Who was Kaiser Wilhelm II?,"German emperor before WWI."
What was the Weimar Republic?,"German government after WWI."
What happened in 1923 Germany?,"Hyperinflation crisis."
What caused hyperinflation?,"Printing too much money."
What was the Munich Putsch?,"Failed Nazi uprising in 1923."
Who was Adolf Hitler?,"Leader of the Nazi Party."
When did Hitler become Chancellor?,"1933"
What was the Reichstag Fire?,"Fire used to pass emergency laws."
What was the Enabling Act?,"Law giving Hitler dictatorial powers."
What was propaganda?,"Information used to influence people."
Who was Joseph Goebbels?,"Nazi propaganda minister."
What was the Gestapo?,"Secret police."
What were concentration camps?,"Prisons for political opponents."
What was Kristallnacht?,"Night of Broken Glass in 1938."
When did World War Two start?,"1939"
When did WWII end?,"1945"
What was D Day?,"Allied invasion of Normandy."
What was the Cold War?,"Tension between USA and USSR."
When did the Cold War start?,"1945"
What was the Berlin Blockade?,"USSR blocked West Berlin in 1948."
What was the Berlin Airlift?,"USA flew supplies into Berlin."
What was NATO?,"Western military alliance."
What was the Warsaw Pact?,"Eastern military alliance."
What was the Cuban Missile Crisis?,"1962 nuclear standoff."
Who was Elizabeth I?,"Queen of England from 1558."
What religion was Elizabeth I?,"Protestant."
What was the Spanish Armada?,"Spanish invasion attempt 1588."
What was the Religious Settlement?,"Elizabeth's compromise religion."
What was the Poor Law?,"Law to support poor."
What was the Renaissance?,"Period of rebirth in learning."
Who was Louis Pasteur?,"Developed germ theory."
What was germ theory?,"Disease caused by microbes."
Who was Edward Jenner?,"Developed smallpox vaccine."
What was anaesthetic?,"Drug to stop pain."
What was antiseptic?,"Chemical preventing infection."
What was industrial revolution?,"Period of industrial growth."
What was urbanisation?,"Movement to cities."
What was suffrage?,"Right to vote."
Who were the Suffragettes?,"Militant women's rights group."
What was the League of Nations?,"Organisation to maintain peace."
What was appeasement?,"Giving in to demands to avoid war."
Who was Neville Chamberlain?,"British PM during appeasement."
What was the Wall Street Crash?,"Stock market crash in 1929."
What was the Great Depression?,"Economic downturn in 1930s."
What was collectivisation?,"Stalin's farming policy."
Who was Joseph Stalin?,"Leader of USSR."
What was the Iron Curtain?,"Divide between East and West."
What was the Space Race?,"Competition in space exploration."
What was decolonisation?,"Countries gaining independence."
What was apartheid?,"Racial segregation in South Africa."
What was civil rights movement?,"Fight for equality in USA."
Who was Martin Luther King Jr?,"Civil rights leader."
What was the Vietnam War?,"Conflict in Southeast Asia."
What was Blitzkrieg?,"Lightning war tactic."
What was trench warfare?,"Fighting in dug trenches."
What was the Home Front?,"Civilian support during war."
What was rationing?,"Limiting food supplies."
What was evacuation?,"Moving children to countryside."
What was propaganda poster?,"Visual persuasion tool."
What was Treaty of Brest Litovsk?,"Russia leaving WWI."
What was Black Death?,"Plague in 1348."
What was feudal system?,"Medieval social system."
What was Magna Carta?,"1215 document limiting king."
What was English Civil War?,"War between king and parliament."
Who was Oliver Cromwell?,"Parliament leader."
What was Glorious Revolution?,"1688 overthrow of James II."
What was Enlightenment?,"Age of reason."
What was abolition?,"Ending slavery."
What was transatlantic slave trade?,"Slave trade across Atlantic."
What was triangular trade?,"Three route trade system."
What was industrialisation?,"Growth of factories."
What was laissez faire?,"Government non interference."
What was Chartism?,"Working class movement."
What was factory act?,"Law improving conditions."
What was League of Nations failure?,"Failed to stop aggression."
What was Anschluss?,"Germany annexed Austria."
What was invasion of Poland?,"Start of WWII."
What was Pearl Harbor?,"Japanese attack on USA."
What was atomic bomb?,"Nuclear weapon used 1945."
What was Nuremberg Trials?,"Trials of Nazi leaders."
What was Marshall Plan?,"USA aid to Europe."
What was Truman Doctrine?,"USA policy to contain communism."
What was Perestroika?,"Soviet economic reform."
What was Glasnost?,"Soviet openness policy."
What was fall of Berlin Wall?,"1989 symbol end Cold War."
What was significance of 1066?,"Norman conquest."
What was Battle of Hastings?,"William defeated Harold."
What was Domesday Book?,"Survey of England."
What was Hundred Years War?,"War England France."
What was Black Power?,"Radical civil rights movement."
What was Watergate?,"US political scandal."
What was Suffragist?,"Peaceful women's rights group."
What was Treaty of Tordesillas?,"Spain Portugal divided world."
What was Cold War tension cause?,"Ideological differences."
What was appeasement failure?,"Encouraged Hitler."
What was Blitz?,"German bombing of Britain."
What was Operation Barbarossa?,"Germany invaded USSR."
What was D Day significance?,"Turning point WWII."
What was Cold War proxy war?,"Indirect conflict."
What was NATO purpose?,"Defend Western Europe."
What was Warsaw Pact purpose?,"Defend Eastern bloc."
What was Cuban Missile Crisis outcome?,"Missiles removed."
What was significance of Versailles?,"Harsh peace terms."
What was Nazi ideology?,"Racial purity dictatorship."
What was propaganda purpose?,"Control opinion."
What was persecution?,"Unfair treatment."
What was genocide?,"Mass killing of group."
What was Holocaust?,"Murder of six million Jews."
What was hyperinflation impact?,"Savings worthless."
What was Depression impact?,"Unemployment."
What was Hitler Youth?,"Nazi youth group."
What was Night of Long Knives?,"Hitler eliminated rivals."
What was totalitarian state?,"Total control by leader."
What was suffrage success?,"Women vote 1918."
What was development of surgery?,"Improved operations."
What was Pasteur contribution?,"Germ theory."
What was Nightingale contribution?,"Hospital reform."
What was Florence Nightingale known for?,"Improving hygiene."
What was trench foot?,"Infection in trenches."
What was shell shock?,"Psychological trauma."
What was rationing purpose?,"Fair food distribution."
What was evacuation purpose?,"Protect children."
What was significance of Cold War end?,"USA sole superpower."
