"Front","Back"
"What are issues and debates in psychology?","Key discussions about how psychological research is conducted and interpreted."

"What is nature?","Behaviour influenced by genetic and biological factors."

"What is nurture?","Behaviour influenced by environment and experience."

"What is the nature-nurture debate?","Discussion about whether behaviour is caused by genes or environment."

"What is heritability?","The extent to which behaviour is inherited."

"What is determinism?","Behaviour is caused by internal or external forces."

"What is biological determinism?","Behaviour caused by biological factors."

"What is environmental determinism?","Behaviour caused by external influences."

"What is psychic determinism?","Behaviour caused by unconscious drives."

"What is free will?","The ability to choose behaviour independently."

"What is the free will vs determinism debate?","Discussion about whether behaviour is controlled or chosen."

"What is reductionism?","Explaining behaviour using simple components."

"What is biological reductionism?","Explaining behaviour through biology."

"What is environmental reductionism?","Explaining behaviour through learning."

"What is machine reductionism?","Comparing the mind to a computer."

"What is holism?","Understanding behaviour as a whole system."

"What is the reductionism vs holism debate?","Whether behaviour is best explained simply or as a whole."

"What is the idiographic approach?","Focus on individual cases."

"What is the nomothetic approach?","Establishing general laws."

"What is the idiographic vs nomothetic debate?","Whether psychology should study individuals or general laws."

"What is gender bias?","Research reflecting male or female perspectives unfairly."

"What is alpha bias?","Exaggerating gender differences."

"What is beta bias?","Minimising gender differences."

"What is androcentrism?","Research based on male perspective."

"What is cultural bias?","Research reflecting one culture’s values."

"What is ethnocentrism?","Judging other cultures by one’s own standards."

"What is universality?","Behaviour that is the same across cultures."

"What is the nature of psychology as a science?","Whether psychology uses scientific methods."

"What is a scientific approach?","Using objective and systematic methods."

"What is objectivity?","Research free from personal bias."

"What is control?","Managing variables in research."

"What is empirical evidence?","Data based on observation or experiment."

"What is falsifiability?","Ability to prove a theory wrong."

"What is paradigm?","A shared framework of understanding."

"What is Kuhn’s paradigm shift?","A change in scientific understanding."

"What is socially sensitive research?","Research with potential social consequences."

"What are ethical implications?","Moral consequences of research."

"What is social control?","Using psychology to influence behaviour."

"What is economic implications?","Financial impact of research."

"What is the use of psychology in society?","Applying research to real-world issues."

"What is reliability in psychology?","Consistency of findings."

"What is validity in psychology?","Accuracy of findings."

"What is internal validity?","Whether results are due to IV."

"What is external validity?","Whether findings can be generalised."

"What is ecological validity?","Whether research reflects real life."

"What is population validity?","Whether findings apply to wider groups."

"What is replication?","Repeating research to check findings."

"What is peer review?","Evaluation of research by others."

"What is theory?","An explanation of behaviour."

"What is hypothesis?","A testable prediction."

"What is operationalisation?","Defining variables clearly."

"What is experimental method?","Testing cause and effect."

"What is correlational method?","Studying relationships."

"What is qualitative data?","Descriptive data."
"What is quantitative data?","Numerical data."

"What is a strength of scientific psychology?","Objective measurement."

"What is a limitation of scientific psychology?","May lack ecological validity."

"What is interactionist approach?","Combining nature and nurture."

"What is gene-environment interaction?","Genes and environment both influence behaviour."

"What is plasticity?","Ability to change behaviour."

"What is determinism advantage?","Allows prediction and control."

"What is free will advantage?","Supports personal responsibility."

"What is reductionism advantage?","Scientific simplicity."

"What is holism advantage?","Considers full complexity."

"What is idiographic advantage?","Detailed understanding."

"What is nomothetic advantage?","Generalisable findings."

"What is cultural relativism?","Understanding behaviour in cultural context."

"What is ethical responsibility?","Duty to protect participants."

"What is informed consent?","Participants agree to take part."

"What is confidentiality?","Keeping data private."

"What is protection from harm?","Ensuring safety."

"What is right to withdraw?","Participants can leave."

"What is deception?","Misleading participants."

"What is debriefing?","Explaining study afterwards."

"What is demand characteristics?","Participants change behaviour."

"What is investigator effects?","Researcher influences results."

"What is bias in research?","Systematic error in findings."

"What is sampling bias?","Sample not representative."

"What is generalisation?","Applying findings broadly."

"What is control in experiments?","Managing variables."

"What is standardisation?","Keeping procedures consistent."

"What is objectivity in research?","Avoiding bias."

"What is reliability testing?","Checking consistency."

"What is validity testing?","Checking accuracy."

"What is application of psychology?","Using research to solve problems."

"What is ethical cost-benefit analysis?","Weighing risks vs benefits."

"What is real-world application?","Use of research outside lab."

"What is theory development?","Improving explanations."

"What is scientific progress?","Advancement of knowledge."

"What is interdisciplinary approach?","Combining different fields."

"What is biological influence?","Impact of genes and brain."

"What is environmental influence?","Impact of surroundings."

"What is social influence?","Impact of others."

"What is cognitive influence?","Impact of thinking processes."

"What is behavioural influence?","Impact of learning."
