"Front","Back"
"What is a numerical method?","A technique used to approximate solutions to equations"
"What is root finding?","Finding where a function equals zero"
"What is a root?","A solution where f x equals zero"
"What is iterative method?","Repeated process to approach a solution"
"What is iteration formula?","x n plus 1 equals f of x n"
"What is convergence?","Values approach a fixed point"
"What is divergence?","Values move away from solution"
"What is fixed point?","Value where x equals f x"
"What is graphical solution?","Finding intersection with x axis"
"What is sign change method?","Checking for root between values"
"What is bisection method?","Halving interval to find root"
"What is Newton Raphson method?","Using tangents to approximate roots"
"What is Newton Raphson formula","x n plus 1 equals x n minus f x n over f prime x n"
"What is derivative used for in Newton Raphson","Gradient of tangent"
"What is tangent method?","Same as Newton Raphson"
"What is initial guess?","Starting value for iteration"
"What affects convergence","Choice of initial value"
"What is failure of convergence","Method does not reach solution"
"What is oscillation in iteration","Values bounce between points"
"What is divergence example","Values increase without bound"
"What is graphical iteration?","Using y equals f x and y equals x"
"What is cobweb diagram?","Visualising iteration steps"
"What is staircase diagram?","Another iteration visual method"
"What is stopping condition?","When values are close enough"
"What is tolerance?","Acceptable error range"
"What is error?","Difference from true value"
"What is absolute error?","Absolute difference between values"
"What is relative error?","Error compared to true value"
"What is percentage error?","Error as percentage"
"What is rounding error?","Error from rounding numbers"
"What is truncation error?","Error from cutting off digits"
"What is accuracy?","Closeness to true value"
"What is precision?","Repeatability of results"
"What is interval?","Range of values"
"What is bracket for root","Interval containing root"
"What is condition for bisection method","Function changes sign"
"What is midpoint in bisection","Average of endpoints"
"What is iteration convergence condition","Absolute value of f prime less than 1"
"What is slow convergence","Takes many iterations"
"What is fast convergence","Quickly reaches solution"
"What is quadratic convergence","Error decreases rapidly"
"What is Newton Raphson advantage","Fast convergence"
"What is Newton Raphson disadvantage","Needs derivative"
"What is multiple roots issue","Can cause slow convergence"
"What is derivative zero problem","Method fails"
"What is turning point issue","Can affect convergence"
"What is graphical root estimate","Approximate from graph"
"What is iterative rearrangement","Rewrite equation as x equals f x"
"What is stability of iteration","Whether it converges"
"What is fixed point iteration condition","Absolute derivative less than 1"
"What is divergence condition","Absolute derivative greater than 1"
"What is error bound?","Maximum possible error"
"What is iteration sequence","List of approximations"
"What is initial interval?","Starting range for root"
"What is halving interval benefit","Ensures convergence"
"What is Newton Raphson step","Use tangent to find next value"
"What is approximate solution","Close to actual solution"
"What is exact solution","True value"
"What is iteration limit","Maximum number of steps"
"What is convergence rate","Speed of approach"
"What is iteration graph use","Visualising convergence"
"What is numerical method use","Solve equations without algebraic solution"
"What is calculator use in iteration","Perform repeated calculations"
"What is function behaviour effect","Affects convergence"
"What is local convergence","Near solution"
"What is global convergence","From wide range of values"
"What is secant method?","Similar to Newton but no derivative"
"What is approximation?","Estimate of value"
"What is iteration formula rearrangement importance","Affects convergence"
"What is fixed point graph intersection","Where y equals x intersects y equals f x"
"What is root multiplicity effect","Slower convergence"
"What is divergence detection","Values move away"
"What is tolerance level selection","Depends on accuracy needed"
"What is stopping rule example","Difference less than tolerance"
"What is rounding impact on iteration","Can affect accuracy"
"What is graphical vs numerical method","Visual vs calculation"
"What is iteration example","Repeated substitution"
"What is solving equation numerically","Using approximation methods"
"What is root approximation steps","Choose method apply iterate"
"What is checking solution","Substitute back into equation"
"What is function continuous requirement","Needed for some methods"
"What is monotonic function effect","Helps convergence"

