"Front","Back"
"What is software development?","The process of creating software applications"
"What is the software development lifecycle (SDLC)?","Stages used to develop software"
"What are the stages of SDLC?","Analysis, Design, Development, Testing, Evaluation"
"What is analysis stage?","Identifying requirements and user needs"
"What is requirements specification?","Detailed description of system needs"
"What is functional requirement?","What the system should do"
"What is non-functional requirement?","How the system performs"
"What is feasibility study?","Assessing practicality of a project"
"What is technical feasibility?","Whether technology can support system"
"What is economic feasibility?","Whether project is cost-effective"
"What is legal feasibility?","Compliance with laws"
"What is operational feasibility?","Whether organisation can use system"
"What is design stage?","Planning system structure"
"What is system architecture?","Overall structure of system"
"What is input design?","Planning data entry"
"What is output design?","Planning system outputs"
"What is interface design?","Designing user interaction"
"What is data design?","Structuring data storage"
"What is algorithm design?","Planning program logic"
"What is development stage?","Writing and building system"
"What is implementation?","Putting system into operation"
"What is testing stage?","Checking system works correctly"
"What is evaluation stage?","Assessing system success"
"What is maintenance?","Updating and fixing system"
"What is iterative development?","Repeating stages in cycles"
"What is incremental development?","Building system in parts"
"What is waterfall model?","Linear development approach"
"What is agile model?","Flexible iterative approach"
"What is sprint (Agile)?","Short development cycle"
"What is user story?","Short description of feature"
"What is backlog?","List of features to build"
"What is Kanban?","Visual workflow management"
"What is extreme programming (XP)?","Agile method with frequent releases"
"What is pair programming?","Two developers working together"
"What is continuous integration?","Frequent code integration"
"What is continuous delivery?","Frequent software release"
"What is version control?","Tracking changes in code"
"What is Git?","Version control system"
"What is repository?","Storage for code"
"What is commit?","Saving changes"
"What is branch?","Separate version of code"
"What is merge?","Combining branches"
"What is conflict?","Clashing code changes"
"What is debugging?","Finding and fixing errors"
"What is testing?","Checking system correctness"
"What is validation?","Ensuring system meets requirements"
"What is verification?","Ensuring system built correctly"
"What is documentation?","Information about system"
"What is user documentation?","Guide for users"
"What is technical documentation?","Guide for developers"
"What is unit testing?","Testing individual components"
"What is integration testing?","Testing combined components"
"What is system testing?","Testing complete system"
"What is acceptance testing?","Testing by end users"
"What is alpha testing?","Testing by developers"
"What is beta testing?","Testing by users"
"What is black-box testing?","Testing without internal knowledge"
"What is white-box testing?","Testing internal logic"
"What is test data?","Input used for testing"
"What is normal test data?","Expected valid input"
"What is boundary test data?","Edge values"
"What is invalid test data?","Incorrect input"
"What is extreme test data?","Limits of input range"
"What is test plan?","Strategy for testing"
"What is test case?","Specific test scenario"
"What is error?","Mistake in code"
"What is bug?","Error causing incorrect output"
"What is syntax error?","Error in code structure"
"What is logic error?","Error in reasoning"
"What is runtime error?","Error during execution"
"What is exception?","Runtime error object"
"What is exception handling?","Managing errors"
"What is try-catch?","Handling exceptions"
"What is debugging tools?","Software for debugging"
"What is breakpoint?","Pause in execution"
"What is step-through debugging?","Running code line-by-line"
"What is code review?","Checking code quality"
"What is peer review?","Review by another developer"
"What is code quality?","Standard of code"
"What is readability?","Ease of understanding"
"What is maintainability?","Ease of updating"
"What is scalability?","Ability to handle growth"
"What is portability?","Runs on different systems"
"What is reliability?","Consistent performance"
"What is usability?","Ease of use"
"What is performance?","Speed and efficiency"
"What is security?","Protection from threats"
"What is robustness?","Handling errors"
"What is DRY principle?","Don't Repeat Yourself"
"What is KISS principle?","Keep It Simple"
"What is YAGNI principle?","You Aren't Gonna Need It"
"What is refactoring?","Improving code structure"
"What is code smell?","Indicator of poor design"
"What is modularity?","Breaking into modules"
"What is cohesion?","Relatedness within module"
"What is coupling?","Dependency between modules"
"What is loose coupling?","Low dependency"
"What is tight coupling?","High dependency"
"What is IDE?","Integrated Development Environment"
"What is syntax highlighting?","Colour coding code"
"What is auto-complete?","IDE suggesting code"
"What is compiler?","Translates full program"
"What is interpreter?","Translates line-by-line"
"What is build process?","Converting code to executable"
"What is deployment?","Releasing software"
"What is rollback?","Reverting to previous version"
"What is hotfix?","Urgent fix"
