Front,Back
What is resource management?,The process of using business resources efficiently and effectively.
Why is resource management important?,It helps businesses reduce costs and improve productivity.
What are business resources?,The assets and inputs used to produce goods and services.
What are the main business resources?,Human physical financial and technological resources.
What is productivity?,The amount of output produced per unit of input.
Why is productivity important?,Higher productivity reduces costs and increases efficiency.
How can productivity be improved?,Training motivation technology and better processes.
What is labour productivity?,Output produced per worker.
How is labour productivity measured?,Output divided by number of employees.
What is capital productivity?,Output produced from machinery and equipment.
What is efficiency?,Using resources without waste.
What is effectiveness?,Achieving business objectives successfully.
What is capacity?,The maximum output a business can produce.
What is capacity utilisation?,The percentage of total capacity currently being used.
Why is capacity utilisation important?,It measures how efficiently resources are used.
What are the advantages of high capacity utilisation?,Lower unit costs and higher profits.
What are the disadvantages of very high capacity utilisation?,Pressure on staff and machinery.
What are the disadvantages of low capacity utilisation?,Wasted resources and higher average costs.
How can businesses improve capacity utilisation?,Increase demand or reduce unused resources.
What is stock?,Goods and materials held by a business.
What is inventory?,Another term for stock.
Why do businesses hold stock?,To meet customer demand and avoid shortages.
What are raw materials?,Materials used in production.
What is work in progress?,Products currently being made.
What are finished goods?,Completed products ready for sale.
What is buffer stock?,Extra stock held to prevent shortages.
Why is buffer stock important?,It protects against supply problems.
What are the disadvantages of holding too much stock?,High storage costs and risk of waste.
What are the disadvantages of holding too little stock?,Lost sales and production delays.
What is stock control?,Managing inventory levels effectively.
Why is stock control important?,It reduces waste and improves efficiency.
What is stock rotation?,Selling older stock before newer stock.
Why is stock rotation important?,It prevents products becoming outdated.
What is stock turnover?,How quickly stock is sold and replaced.
Why is stock turnover important?,Fast turnover improves cash flow.
What is just in time JIT?,Receiving stock only when needed in production.
What are the advantages of JIT?,Lower storage costs and less waste.
What are the disadvantages of JIT?,Production can stop if deliveries fail.
What is lean production?,Producing goods with minimal waste.
Why is lean production important?,It improves efficiency and reduces costs.
What are the seven wastes in lean production?,Overproduction waiting transport overprocessing inventory motion and defects.
What is Kaizen?,Continuous improvement involving all employees.
Why is Kaizen important?,Small improvements increase efficiency over time.
What is quality?,How well a product meets customer expectations.
Why is quality important?,It improves customer satisfaction and reputation.
What is quality assurance?,Preventing defects during production.
What is quality control?,Checking products after production for defects.
