Front,Back
What is phonology?,The study of sound patterns in language.
What is graphology?,The study of the visual features of written language.
What is lexis?,The vocabulary of a language.
What is semantics?,The study of meaning in language.
What is pragmatics?,The study of meaning in context.
What is morphology?,The study of word formation.
What is syntax?,The arrangement of words to form sentences.
What is discourse?,Language beyond the sentence level.
What is a phoneme?,The smallest unit of sound in a language.
What is a morpheme?,The smallest unit of meaning in a language.
What is a noun?,A word that names a person place thing or idea.
What is a verb?,A word that expresses an action or state.
What is an adjective?,A word that describes a noun.
What is an adverb?,A word that modifies a verb adjective or sentence.
What is a determiner?,A word that introduces a noun.
What is a pronoun?,A word used instead of a noun.
What is a conjunction?,A word used to connect clauses or sentences.
What is a preposition?,A word showing relationships between elements in a sentence.
What is an auxiliary verb?,A helping verb used with a main verb.
What is a modal verb?,A verb expressing possibility obligation or ability.
What is a simple sentence?,A sentence containing one clause.
What is a compound sentence?,Two main clauses joined by a conjunction.
What is a complex sentence?,A main clause with at least one subordinate clause.
What is coordination?,Linking clauses of equal importance.
What is subordination?,Linking a subordinate clause to a main clause.
What is a declarative sentence?,A sentence that makes a statement.
What is an interrogative sentence?,A sentence that asks a question.
What is an imperative sentence?,A sentence that gives a command.
What is an exclamative sentence?,A sentence expressing strong emotion.
What is ellipsis?,The omission of words understood from context.
What is child language acquisition?,The process by which children learn language.
What is the holophrastic stage?,The stage where children use single words to communicate.
When does the holophrastic stage occur?,Around 12 to 18 months.
What is the two word stage?,When children begin combining two words.
What is telegraphic speech?,Speech containing mainly content words.
What is overextension?,Using a word too broadly.
What is underextension?,Using a word too narrowly.
What is overgeneralisation?,Applying grammar rules too widely.
What is a virtuous error?,An error that shows a child is learning language rules.
What is caregiver speech?,Simplified language used when speaking to children.
Who proposed behaviourist theory?,B F Skinner.
What does behaviourist theory argue?,Language is learned through imitation and reinforcement.
Who proposed nativist theory?,Noam Chomsky.
What is the Language Acquisition Device?,An innate ability to acquire language.
Who proposed social interaction theory?,Jerome Bruner.
What is the Language Acquisition Support System?,Support from caregivers that aids language learning.
Who proposed cognitive theory?,Jean Piaget.
What does cognitive theory suggest?,Language develops alongside cognitive development.
What is child directed speech?,A simplified speech style used with children.
What is scaffolding?,Support given by adults to help children learn language.
What is protolanguage?,Early stage of language development before full grammar.
