Front,Back
What is a theme in literature?,A central idea or message explored throughout a text
What is the theme of power?,The struggle for control or authority over others
How is power often shown in literature?,Through leadership control or domination
What is the theme of love?,Relationships and emotional connections between characters
What is the theme of conflict?,Struggles between characters ideas or forces
What is internal conflict?,A struggle within a character's mind
What is external conflict?,A struggle between characters or forces
What is the theme of ambition?,The desire to achieve power or success
What is the theme of revenge?,A character seeking justice or retaliation
What is the theme of betrayal?,Breaking trust or loyalty
What is the theme of loyalty?,Faithfulness to a person or cause
What is the theme of identity?,Exploration of self and personal identity
What is the theme of isolation?,Characters feeling separated from others
What is the theme of guilt?,Emotional consequences of wrongdoing
What is the theme of justice?,The idea that wrongdoing should be punished
What is the theme of corruption?,Moral decay caused by power or influence
What is the theme of morality?,Questions about right and wrong behaviour
What is the theme of appearance vs reality?,Things not being as they seem
What is the theme of fate?,Events believed to be predetermined
What is the theme of free will?,The ability to make independent choices
What is the theme of gender?,Expectations and roles of men and women
What is the theme of masculinity?,Ideas about male identity and power
What is the theme of femininity?,Ideas about female roles and behaviour
What is the theme of class?,Social hierarchy and inequality
What is the theme of social status?,The position of individuals in society
What is the theme of wealth?,The impact of money and privilege
What is the theme of poverty?,Struggles caused by lack of resources
What is the theme of violence?,Use of physical force or aggression
What is the theme of fear?,Characters reacting to danger or uncertainty
What is the theme of madness?,Mental instability affecting characters
What is the theme of trauma?,Psychological impact of past experiences
What is the theme of memory?,How past experiences shape characters
What is the theme of time?,The passage of time and its effects
What is the theme of death?,The inevitability and impact of mortality
What is the theme of loss?,Characters dealing with grief or absence
What is the theme of survival?,Characters struggling to endure hardship
What is the theme of hope?,Optimism despite challenges
What is the theme of deception?,Characters misleading others
What is the theme of manipulation?,Controlling others through influence
What is the theme of honour?,Maintaining dignity and reputation
What is the theme of reputation?,How characters are viewed by society
What is the theme of leadership?,Qualities needed to guide others
What is the theme of responsibility?,Duty and accountability for actions
What is the theme of sacrifice?,Giving up something important for others
What is the theme of freedom?,The desire for independence
What is the theme of oppression?,Being controlled or restricted by others
What is the theme of rebellion?,Resisting authority or control
What is the theme of change?,Transformation of characters or society
What is the theme of tradition?,Maintaining customs and beliefs
What is the theme of progress?,Movement toward new ideas or social change
