"Front","Back"
"What is gene technology?","The manipulation of an organism's DNA to produce desired traits."
"What is genetic engineering?","Artificial modification of DNA."
"What is recombinant DNA?","DNA formed by combining DNA from different organisms."
"What is a gene?","A section of DNA that codes for a protein."
"What is a genome?","The complete set of genetic material in an organism."
"What are restriction enzymes?","Enzymes that cut DNA at specific sequences."
"What are recognition sites?","Specific DNA sequences where restriction enzymes cut."
"What are sticky ends?","Overlapping DNA fragments created by restriction enzymes."
"What are blunt ends?","Straight cuts in DNA with no overhang."
"What is DNA ligase?","Enzyme that joins DNA fragments together."
"What is a plasmid?","Circular DNA found in bacteria."
"Why are plasmids used in genetic engineering?","They act as vectors carrying genes."
"What is a vector?","A structure used to transfer DNA into cells."
"What organisms commonly use plasmids?","Bacteria."
"What is transformation?","Insertion of foreign DNA into a cell."
"What is a genetically modified organism (GMO)?","An organism with artificially altered DNA."
"What is PCR?","Polymerase chain reaction used to amplify DNA."
"What does PCR stand for?","Polymerase chain reaction."
"What enzyme is used in PCR?","DNA polymerase."
"What type of DNA polymerase is used in PCR?","Taq polymerase."
"Why is Taq polymerase used?","It is heat resistant."
"What are primers in PCR?","Short DNA sequences starting replication."
"What is denaturation in PCR?","Heating DNA to separate strands."
"What is annealing in PCR?","Primers binding to DNA strands."
"What is extension in PCR?","DNA polymerase builds new strands."
"What is gel electrophoresis?","Technique separating DNA fragments."
"How does gel electrophoresis work?","DNA moves through gel under electric current."
"Why does DNA move in gel electrophoresis?","DNA is negatively charged."
"What moves fastest in gel electrophoresis?","Small DNA fragments."
"What is DNA profiling?","Identifying individuals using DNA patterns."
"What are short tandem repeats?","Repeating DNA sequences used in profiling."
"What is DNA sequencing?","Determining the order of bases in DNA."
"What project sequenced the human genome?","Human Genome Project."
"What is bioinformatics?","Using computers to analyse biological data."
"What is gene cloning?","Producing identical copies of genes."
"What is cloning?","Producing genetically identical organisms."
"What is reproductive cloning?","Creating identical organisms."
"What is therapeutic cloning?","Producing stem cells for treatment."
"What are stem cells?","Undifferentiated cells that can become specialised."
"What is gene therapy?","Replacing faulty genes with functional ones."
"What is somatic gene therapy?","Gene therapy affecting body cells."
"What is germline gene therapy?","Gene therapy affecting reproductive cells."
"What is CRISPR?","Gene editing technology."
"What does CRISPR allow scientists to do?","Edit DNA precisely."
"What is Cas9?","Protein that cuts DNA in CRISPR."
"What are GM crops?","Plants genetically modified for beneficial traits."
"What is an example of GM crop benefit?","Pest resistance."
"What is Bt corn?","GM corn producing insect toxin."
"What is golden rice?","Rice engineered to produce vitamin A."
"What are advantages of GM crops?","Higher yield and disease resistance."
"What are disadvantages of GM crops?","Possible environmental concerns."
"What is insulin production using bacteria?","Bacteria engineered to produce human insulin."
"What organism is commonly used in biotechnology?","Escherichia coli."
"What is fermentation in biotechnology?","Large-scale growth of microorganisms."
"What are bioreactors?","Large vessels used to grow microorganisms."
"What factors must be controlled in bioreactors?","Temperature, pH and oxygen."
"What is aseptic technique?","Preventing contamination."
"What is batch culture?","Closed system growing microorganisms."
"What is continuous culture?","Constant nutrient supply system."
"What are monoclonal antibodies?","Identical antibodies from one cell clone."
"What are monoclonal antibodies used for?","Diagnosis and treatment of disease."
"What is ELISA?","Test using antibodies to detect antigens."
"What does ELISA detect?","Specific proteins or pathogens."
"What is DNA fingerprinting used for?","Identifying individuals."
"What fields use DNA profiling?","Forensics and paternity testing."
"What is genetic screening?","Testing DNA for disease risk."
"What is prenatal screening?","Testing foetal DNA."
"What are ethical concerns in gene technology?","Genetic privacy and designer babies."
"What is gene editing?","Direct modification of DNA sequences."
"What is transgenic organism?","Organism containing genes from another species."
"What is biotechnology?","Use of living organisms in technology."
"What is the purpose of gene technology?","Improve health, agriculture and industry."
"What is selective breeding?","Choosing parents with desired traits."
"What is the difference between selective breeding and genetic engineering?","Selective breeding uses existing genes; engineering alters DNA."
"What is gene insertion?","Adding a gene into an organism."
"What is gene expression?","Production of protein from DNA."
"What determines gene expression?","Regulatory DNA and environment."
"What is the overall aim of gene technology?","Manipulating DNA for beneficial purposes."
