"Front","Back"
"What is diet?","The food and drink consumed"
"What is nutrition?","Process of obtaining nutrients"
"What is a balanced diet?","All nutrients in correct proportions"
"What are macronutrients?","Nutrients needed in large amounts"
"What are micronutrients?","Nutrients needed in small amounts"
"What are carbohydrates?","Main source of energy"
"What are simple carbohydrates?","Quick release sugars"
"What are complex carbohydrates?","Slow release energy"
"What is glycogen?","Stored carbohydrate in muscles and liver"
"What is glycogen loading?","Maximising glycogen stores"
"What are proteins?","Needed for growth and repair"
"What are amino acids?","Building blocks of protein"
"What are essential amino acids?","Must be obtained from diet"
"What are fats?","Energy source and insulation"
"What are saturated fats?","Unhealthy fats"
"What are unsaturated fats?","Healthier fats"
"What are trans fats?","Artificial unhealthy fats"
"What are vitamins?","Organic compounds for health"
"What are minerals?","Inorganic nutrients"
"What is calcium?","Mineral for bones"
"What is iron?","Mineral for oxygen transport"
"What is hydration?","Maintaining fluid balance"
"What is dehydration?","Loss of body fluids"
"What is overhydration?","Excess fluid intake"
"What is water?","Essential nutrient"
"What is fibre?","Aids digestion"
"What is energy?","Capacity to do work"
"What is calorie?","Unit of energy"
"What is kilocalorie?","1000 calories"
"What is energy balance?","Calories in vs out"
"What is metabolism?","Chemical processes in body"
"What is basal metabolic rate?","Energy used at rest"
"What is BMI?","Body mass index"
"What is obesity?","Excess body fat"
"What is underweight?","Low body mass"
"What is recommended diet?","Guidelines for nutrition"
"What is Eatwell Guide?","UK dietary model"
"What is pre-event meal?","Meal before activity"
"What is post-event meal?","Meal after activity"
"What is carbohydrate loading?","Increasing carb intake"
"What is protein intake?","Amount of protein consumed"
"What is fat intake?","Amount of fat consumed"
"What is energy systems?","Ways body produces energy"
"What is aerobic system?","Uses oxygen"
"What is anaerobic system?","No oxygen used"
"What is ATP?","Energy molecule"
"What is hydration importance?","Maintains performance"
"What is sweat?","Fluid loss during exercise"
"What is electrolyte?","Minerals lost in sweat"
"What is sodium?","Electrolyte for fluid balance"
"What is potassium?","Electrolyte for muscle function"
"What is sports drink?","Fluid with electrolytes"
"What is isotonic drink?","Same concentration as blood"
"What is hypertonic drink?","Higher concentration"
"What is hypotonic drink?","Lower concentration"
"What is digestion?","Breaking down food"
"What is absorption?","Nutrients into bloodstream"
"What is ingestion?","Taking in food"
"What is egestion?","Removing waste"
"What is enzyme?","Speeds up reactions"
"What is amylase?","Breaks down carbohydrates"
"What is protease?","Breaks down protein"
"What is lipase?","Breaks down fats"
"What is liver function?","Processes nutrients"
"What is glycogen storage?","Energy storage"
"What is energy intake?","Calories consumed"
"What is energy expenditure?","Calories used"
"What is calorie surplus?","More intake than use"
"What is calorie deficit?","Less intake than use"
"What is weight gain?","Increase in body mass"
"What is weight loss?","Decrease in body mass"
"What is performance diet?","Diet for athletes"
"What is endurance diet?","High carb diet"
"What is strength diet?","High protein diet"
"What is recovery nutrition?","Food aiding recovery"
"What is timing of nutrition?","When to eat"
"What is supplements?","Additional nutrients"
"What is creatine?","Supplement for power"
"What is protein supplements?","Aid muscle growth"
"What is caffeine?","Stimulant improving alertness"
"What is alcohol?","Depressant affecting performance"
"What is hydration strategy?","Plan for fluid intake"
"What is thermoregulation?","Body temperature control"
"What is heat loss?","Losing body heat"
"What is heat gain?","Gaining body heat"
"What is sweating response?","Cooling mechanism"
"What is dehydration effects?","Reduced performance"
"What is fatigue?","Reduced energy"
"What is endurance nutrition?","Fuel for long events"
"What is sprint nutrition?","Fuel for short bursts"
"What is micronutrient importance?","Supports health"
"What is vitamin C?","Immune support"
"What is vitamin D?","Bone health"
"What is iron deficiency?","Low oxygen transport"
"What is calcium deficiency?","Weak bones"
"What is healthy eating?","Balanced diet choices"
"What is processed food?","Food altered from natural state"
"What is sugar?","Simple carbohydrate"
"What is glucose?","Blood sugar"
"What is fructose?","Fruit sugar"
"What is lactose?","Milk sugar"
"What is glycaemic index?","Rate carbs raise blood sugar"
"What is low GI food?","Slow energy release"
"What is high GI food?","Fast energy release"
"What is energy drink?","High caffeine drink"
"What is hydration levels?","Amount of fluid in body"
"What is thirst?","Signal to drink"
"What is urine colour?","Indicator of hydration"
"What is sweat rate?","Fluid loss rate"
"What is climate impact?","Weather affects hydration"
"What is altitude impact?","Height affects oxygen"
"What is diet planning?","Organising meals"
"What is meal frequency?","How often to eat"
"What is portion size?","Amount of food"
"What is energy requirements?","Needed calories"
"What is lifestyle factors?","Daily habits"
"What is sedentary lifestyle?","Little activity"
"What is active lifestyle?","Regular exercise"
"What is health?","Physical mental social wellbeing"
"What is fitness?","Ability to perform tasks"
"What is diet importance?","Affects performance"
"What is performance nutrition?","Optimising diet"
"What is recovery importance?","Restoring energy"
"What is muscle repair?","Fixing muscle damage"
"What is glycogen replenishment?","Restoring energy stores"
"What is hydration recovery?","Replacing fluids"
"What is protein timing?","When to consume protein"
"What is carb timing?","When to consume carbs"
"What is fat role?","Energy storage"
"What is vitamin role?","Body function support"
"What is mineral role?","Essential body processes"
"What is immune system?","Body defence"
"What is illness impact?","Affects performance"
"What is diet deficiency?","Lack of nutrients"
"What is balanced intake?","Correct proportions"
"What is food pyramid?","Diet guide"
