"Front","Back"
"to adapt","sich anpassen | sich an Veränderungen anpassen"
"adaptation","die Anpassung | schnelle Anpassung"
"to overcome","überwinden | Schwierigkeiten überwinden"
"difficulty","die Schwierigkeit | große Schwierigkeiten haben"
"effort","die Anstrengung | große Anstrengungen machen"
"to aim for","anstreben | Erfolg anstreben"
"goal","das Ziel | ein Ziel erreichen"
"objective","das Ziel | langfristige Ziele"
"ambition","der Ehrgeiz | viel Ehrgeiz haben"
"determined","entschlossen | sehr entschlossen sein"
"to lack","fehlen | es fehlt an Motivation"
"performance","die Leistung | schulische Leistung"
"to achieve academically","schulisch erfolgreich sein"
"to drop out","abbrechen | die Schule abbrechen"
"attendance","die Anwesenheit | regelmäßige Anwesenheit"
"to skip classes","schwänzen | den Unterricht schwänzen"
"behaviour","das Verhalten | gutes Verhalten"
"discipline","die Disziplin | Disziplin halten"
"rule","die Regel | Regeln einhalten"
"punishment","die Strafe | eine Strafe bekommen"
"reward","die Belohnung | eine Belohnung erhalten"
"potential","das Potenzial | volles Potenzial erreichen"
"ability","die Fähigkeit | Fähigkeiten entwickeln"
"qualification","die Qualifikation | berufliche Qualifikation"
"training","die Ausbildung | eine Ausbildung machen"
"apprenticeship","die Ausbildung | eine Ausbildung beginnen"
"career","die Karriere | Karriere machen"
"to apply","sich bewerben | sich um eine Stelle bewerben"
"application","die Bewerbung | eine Bewerbung schreiben"
"interview","das Vorstellungsgespräch | ein Gespräch führen"
"employee","der Arbeitnehmer | als Arbeitnehmer arbeiten"
"employer","der Arbeitgeber | Arbeitgeber wechseln"
"colleague","der Kollege | mit Kollegen arbeiten"
"boss","der Chef | ein guter Chef"
"promotion","die Beförderung | eine Beförderung bekommen"
"to earn","verdienen | Geld verdienen"
"to save money","Geld sparen"
"to spend","ausgeben | Geld ausgeben"
"budget","das Budget | ein Budget planen"
"debt","die Schulden | Schulden haben"
"loan","der Kredit | einen Kredit aufnehmen"
"tax","die Steuer | Steuern zahlen"
"inflation","die Inflation | steigende Inflation"
"cost of living","die Lebenshaltungskosten"
"standard of living","der Lebensstandard"
"globalisation","die Globalisierung"
"international trade","der internationale Handel"
"import","der Import | Waren importieren"
"export","der Export | Produkte exportieren"
"profit","der Gewinn | Gewinn machen"
"loss","der Verlust | Verlust machen"
"entrepreneur","der Unternehmer | ein erfolgreicher Unternehmer"
"innovation","die Innovation | Innovation fördern"
"digitalisation","die Digitalisierung"
"automation","die Automatisierung"
"artificial intelligence","die künstliche Intelligenz"
"remote work","die Telearbeit"
"flexible hours","flexible Arbeitszeiten"
"work-life balance","die Work-Life-Balance"
"burnout","das Burnout | unter Burnout leiden"
"carbon footprint","der CO2-Fußabdruck"
"greenhouse gases","die Treibhausgase"
"global warming","die Erderwärmung"
"sustainability","die Nachhaltigkeit"
"renewable resources","erneuerbare Ressourcen"
"fossil fuels","fossile Brennstoffe"
"energy efficiency","die Energieeffizienz"
"deforestation","die Abholzung"
"biodiversity","die Biodiversität"
"environmental awareness","das Umweltbewusstsein"
"campaign","die Kampagne | eine Kampagne starten"
"activism","der Aktivismus"
"protest","der Protest | an einem Protest teilnehmen"
"law enforcement","die Strafverfolgung"
"fine","die Geldstrafe | eine Geldstrafe zahlen"
"ban","das Verbot | ein Verbot einführen"
"restriction","die Einschränkung | Einschränkungen einführen"
"to regulate","regulieren | den Markt regulieren"
"poverty rate","die Armutsquote"
"homelessness","die Obdachlosigkeit"
"charity","die Wohltätigkeit"
"donation","die Spende | eine Spende machen"
"volunteer","der Freiwillige | freiwillig arbeiten"
"solidarity","die Solidarität"
"conflict","der Konflikt | Konflikte lösen"
"peace","der Frieden | Frieden sichern"
"crime","die Kriminalität"
"offender","der Täter"
"victim","das Opfer"
"justice","die Justiz"
"court","das Gericht"
"judge","der Richter"
"sentence","die Strafe | eine Strafe verbüßen"
"prison","das Gefängnis"
"rehabilitation","die Rehabilitation"
"public services","die öffentlichen Dienstleistungen"
"funding","die Finanzierung"
"digital divide","die digitale Kluft"
"social mobility","die soziale Mobilität"
"equal opportunities","die Chancengleichheit"
"to improve access","den Zugang verbessern"

