Front,Back
What is change in business?,Alterations to business operations strategies or structures.
Why is change important in business?,Businesses must adapt to survive and remain competitive.
What is change management?,The process of planning and implementing change effectively.
Why is change management important?,Poorly managed change can reduce performance and motivation.
What is internal change?,Change caused by factors within the business.
Give one example of internal change.,New leadership or restructuring.
What is external change?,Change caused by factors outside the business.
Give one example of external change.,New technology or economic conditions.
What is organisational change?,Changes to structures processes or culture.
What is technological change?,Developments in technology affecting businesses.
Why is technological change important?,Businesses must keep up with innovation and efficiency.
What is market change?,Changes in customer demand or competition.
Why must businesses respond to market change?,Customer needs and preferences evolve over time.
What is economic change?,Changes in the economy affecting business performance.
Give one example of economic change.,Inflation or recession.
What is social change?,Changes in society lifestyles or attitudes.
How can social change affect businesses?,Demand for products and services may change.
What is political change?,Changes in government policies or laws.
How can political change affect businesses?,Regulations taxes and trade conditions may change.
What is environmental change?,Changes relating to sustainability and the natural environment.
Why are environmental changes important?,Businesses face pressure to become sustainable.
What is globalisation?,The increasing connection of world economies and markets.
How does globalisation create change?,Businesses face more competition and opportunities.
What is innovation?,Introducing new ideas products or processes.
Why is innovation important?,It helps businesses remain competitive.
What is disruptive innovation?,Innovation significantly changing industries or markets.
Give one example of disruptive innovation.,Streaming services replacing DVDs.
What is organisational culture?,The values attitudes and behaviours within a business.
Why is organisational culture important during change?,Culture influences how employees react to change.
What is resistance to change?,Employees opposing changes within a business.
Why do employees resist change?,Fear uncertainty or job insecurity.
How can communication reduce resistance to change?,Employees understand reasons and benefits for change.
Why is employee involvement important in change?,Employees are more likely to support change.
What is training during change?,Helping employees develop skills needed for new systems or roles.
Why is training important during change?,Employees may struggle without new skills.
What is leadership in change management?,Guiding employees through change effectively.
Why is leadership important during change?,Strong leaders improve confidence and motivation.
What is autocratic leadership?,Leaders making decisions without employee input.
How can autocratic leadership affect change?,Decisions are fast but employees may resist.
What is democratic leadership?,Leaders involving employees in decisions.
How can democratic leadership support change?,Employees feel involved and motivated.
What is transformational leadership?,Leadership inspiring employees towards a shared vision.
Why is transformational leadership effective in change?,It motivates employees to embrace change.
What is communication?,Sharing information within a business.
Why is communication important during change?,It reduces confusion and uncertainty.
What is downward communication?,Information flowing from managers to employees.
What is upward communication?,Information flowing from employees to managers.
What is feedback?,Responses from employees or customers about change.
