Front,Back
What is a metaphor?,A figure of speech comparing two things by saying one is the other
What is a simile?,A comparison between two things using like or as
What is personification?,Giving human qualities to non human objects or ideas
What is symbolism?,When an object or image represents a deeper meaning
What is imagery?,Descriptive language that appeals to the reader's senses
What is irony?,A contrast between expectation and reality
What is hyperbole?,Exaggeration used for emphasis
What is juxtaposition?,Placing contrasting ideas close together
What is a motif?,A recurring image idea or symbol in a text
What is an extended metaphor?,A metaphor that continues through several lines or the whole poem
What is alliteration?,Repetition of the same consonant sound at the start of words
What is assonance?,Repetition of vowel sounds within nearby words
What is consonance?,Repetition of consonant sounds within words
What is onomatopoeia?,Words that imitate the sound they describe
What is sibilance?,Repetition of soft s sounds
What is rhyme?,Words that end with the same sound
What is internal rhyme?,Rhyming words within a single line
What is half rhyme?,Words that almost rhyme but not completely
What is rhythm in poetry?,The pattern of stressed and unstressed syllables
What is repetition?,Repeated words or phrases for emphasis
What is a stanza?,A grouped set of lines in a poem
What is enjambment?,When a sentence continues onto the next line without pause
What is caesura?,A pause in the middle of a line of poetry
What is a volta?,A turning point in a poem where the meaning shifts
What is free verse?,Poetry without a regular rhyme or rhythm pattern
What is blank verse?,Unrhymed poetry written in iambic pentameter
What is a sonnet?,A 14 line poem often about love
What is a dramatic monologue?,A poem where one speaker addresses an audience
What is narrative poetry?,Poetry that tells a story
What is a ballad?,A narrative poem often about dramatic events
What is meter?,The structured rhythm pattern in poetry
What is iambic pentameter?,A line of ten syllables alternating unstressed and stressed beats
What is tone?,The poet's attitude towards the subject
What is mood?,The feeling created for the reader
What is poetic voice?,The speaker or persona in the poem
What is perspective?,The viewpoint from which the poem is written
What is visual imagery?,Language that appeals to the sense of sight
What is auditory imagery?,Language that appeals to the sense of sound
What is tactile imagery?,Language that appeals to the sense of touch
What is olfactory imagery?,Language that appeals to the sense of smell
What is gustatory imagery?,Language that appeals to the sense of taste
What is natural imagery?,Images related to nature
What is violent imagery?,Images associated with destruction or conflict
What is religious imagery?,References to religious ideas or symbols
What is sensory imagery?,Imagery appealing to multiple senses
What is symbolic imagery?,Imagery that represents deeper meanings
How do poets create tone?,Through word choice imagery and structure
Why do poets use symbolism?,To convey deeper meanings and themes
How does structure affect meaning?,The organisation of lines and stanzas influences interpretation
Why is context important in poetry?,It helps readers understand the poem's meaning and purpose
