Front,Back
What is hardware?,"The physical components of a computer."
What is software?,"The programs and operating information used by a computer."
What is RAM?,"Random Access Memory used for temporary storage."
What is ROM?,"Read Only Memory containing startup instructions."
What is the CPU?,"The Central Processing Unit that processes instructions."
What are the three parts of the CPU?,"Control Unit ALU and registers."
What does the ALU do?,"Performs arithmetic and logic operations."
What does the Control Unit do?,"Manages the execution of instructions."
What is cache memory?,"Small fast memory close to CPU."
What is clock speed?,"Number of cycles per second measured in Hertz."
What is a core?,"An independent processing unit in a CPU."
What is secondary storage?,"Non volatile storage for long term data."
What is an SSD?,"Solid State Drive with no moving parts."
What is an HDD?,"Hard Disk Drive with spinning disks."
What is optical storage?,"Storage using lasers such as CDs."
What is cloud storage?,"Remote storage accessed via internet."
What is input device?,"Hardware used to enter data."
What is output device?,"Hardware used to display data."
What is an operating system?,"Software managing hardware and applications."
What are system software examples?,"Operating systems and utility programs."
What are application software examples?,"Word processors and web browsers."
What is utility software?,"Software that maintains system performance."
What is defragmentation?,"Reorganising fragmented data on disk."
What is encryption?,"Scrambling data to protect it."
What is decryption?,"Converting encrypted data back."
What is malware?,"Malicious software."
What is virus?,"Malware that spreads between files."
What is phishing?,"Fraud attempt to steal information."
What is firewall?,"Security system controlling network traffic."
What is two factor authentication?,"Two methods of identity verification."
What is network?,"Connected devices sharing resources."
What is LAN?,"Local Area Network in small area."
What is WAN?,"Wide Area Network over large area."
What is the internet?,"Global network of interconnected computers."
What is IP address?,"Unique identifier for a device."
What is MAC address?,"Unique hardware address."
What is DNS?,"Domain Name System translating URLs."
What is bandwidth?,"Maximum data transfer rate."
What is latency?,"Delay in data transmission."
What is packet switching?,"Data broken into packets for transmission."
What is binary?,"Base two number system."
What are binary digits called?,"Bits."
What is a byte?,"Eight bits."
What is hexadecimal?,"Base sixteen number system."
What is ASCII?,"Character encoding using 7 bits."
What is Unicode?,"Character encoding supporting many languages."
What is a pixel?,"Smallest unit of digital image."
What is resolution?,"Number of pixels in image."
What is sample rate?,"Number of audio samples per second."
What is compression?,"Reducing file size."
What is lossy compression?,"Data permanently removed."
What is lossless compression?,"Data can be fully restored."
What is algorithm?,"Step by step instructions."
What is pseudocode?,"Structured English representation of code."
What is flowchart?,"Diagram showing algorithm steps."
What is variable?,"Named storage location."
What is constant?,"Value that does not change."
What is data type?,"Classification of data."
What is integer?,"Whole number data type."
What is real?,"Decimal number data type."
What is Boolean?,"True or false data type."
What is string?,"Text data type."
What is selection?,"Decision making in programs."
What is iteration?,"Repeating instructions."
What is a for loop?,"Loop repeating set number of times."
What is while loop?,"Loop repeating while condition true."
What is array?,"Collection of values."
What is subroutine?,"Reusable block of code."
What is function?,"Subroutine that returns value."
What is procedure?,"Subroutine that does not return value."
What is validation?,"Checking data meets rules."
What is verification?,"Checking data entered correctly."
What is test data?,"Data used to test program."
What is syntax error?,"Error in code grammar."
What is logic error?,"Program runs but incorrect result."
What is runtime error?,"Error occurring during execution."
What is open source software?,"Software with publicly available source code."
What is proprietary software?,"Software owned by company."
What is ethics in computing?,"Moral principles in technology use."
What is data protection?,"Laws protecting personal data."
What is copyright?,"Legal protection of original work."
What is cloud computing?,"Using remote servers online."
What is virtual machine?,"Software emulating computer."
What is artificial intelligence?,"Machines simulating human intelligence."
What is machine learning?,"Systems learning from data."
What is robotics?,"Technology designing robots."
What is sensor?,"Device detecting physical input."
What is actuator?,"Device creating physical output."
What is embedded system?,"Computer built into device."
What is real time system?,"System responding immediately."
What is fetch decode execute cycle?,"Process CPU uses to run instructions."
What is program counter?,"Register storing address of next instruction."
What is register?,"Small storage inside CPU."
What is cache?,"Fast memory for frequently used data."
What is throughput?,"Amount of data processed."
What is VPN?,"Virtual Private Network."
What is HTML?,"Markup language for web pages."
What is CSS?,"Styles web pages."
What is SQL?,"Language for databases."
What is database?,"Structured collection of data."
What is primary key?,"Unique identifier in table."
What is foreign key?,"Field linking tables."
What is validation rule?,"Rule ensuring data quality."
What is algorithm efficiency?,"How well algorithm uses resources."
What is Big O notation?,"Measure of algorithm performance."
What is linear search?,"Searching item one by one."
What is binary search?,"Search dividing sorted list."
What is bubble sort?,"Simple comparison sort."
What is merge sort?,"Divide and conquer sort."
What is network topology?,"Arrangement of network."
What is star topology?,"Devices connected to central hub."
What is bus topology?,"Devices connected to single cable."
What is mesh topology?,"Devices interconnected."
What is client server network?,"Central server managing resources."
What is peer to peer network?,"All devices equal."
What is cybersecurity?,"Protecting systems from attack."
What is brute force attack?,"Trying many passwords."
What is DDoS attack?,"Overloading network with traffic."
What is encryption key?,"Value used in encryption."
What is symmetric encryption?,"Same key used."
What is asymmetric encryption?,"Different keys used."
What is ethical hacking?,"Testing security legally."
What is data mining?,"Finding patterns in data."
What is cloud backup?,"Storing backup online."
What is digital divide?,"Gap in technology access."
What is phishing email?,"Fraud email requesting data."
What is spyware?,"Malware collecting information."
What is adware?,"Malware showing adverts."
What is Trojan?,"Malware disguised as legitimate."
What is worm?,"Malware spreading independently."
What is computer architecture?,"Structure of computer system."
What is Von Neumann architecture?,"Stored program concept."
What is compiler?,"Translates whole program."
What is interpreter?,"Translates line by line."
What is API?,"Interface allowing software interaction."
What is abstraction?,"Reducing complexity."
What is decomposition?,"Breaking problem into parts."
What is pattern recognition?,"Finding similarities."
What is computational thinking?,"Problem solving using computer science."
