Front,Back
"What is ecologism?","A political ideology prioritising environmental protection and sustainability."
"What is sustainability?","Meeting present needs without harming future generations."
"What is anthropocentrism?","The belief humans are the centre of importance."
"What is ecocentrism?","The belief nature has intrinsic value."
"What is deep ecology?","Environmentalism advocating major social and lifestyle changes."
"What is shallow ecology?","Environmentalism supporting practical environmental reforms."
"What is environmental stewardship?","Human responsibility to protect the environment."
"What is biodiversity?","The variety of living organisms in ecosystems."
"What is conservation?","Protecting natural environments and resources."
"What is preservation?","Protecting nature from human use or interference."
"What is renewable energy?","Energy from naturally replenished sources."
"What is climate change?","Long-term changes in global temperatures and weather patterns."
"What is climate justice?","Fair responses to climate change impacts."
"What is green politics?","Politics focused on environmental sustainability."
"What is eco-socialism?","Combining socialism with environmental protection."
"What is green capitalism?","Using market solutions to address environmental issues."
"What is industrialisation?","Growth of manufacturing and industry."
"What is consumerism?","A focus on acquiring material goods."
"What is the sustainability crisis?","Environmental damage threatening future wellbeing."
"What is the precautionary principle?","Avoiding actions that may cause serious environmental harm."
"What is localism?","Prioritising local decision-making and communities."
"What is decentralisation?","Distributing power away from central government."
"What is ecological balance?","Stable interaction between living organisms and the environment."
"What is pollution?","Contamination harming the environment."
"What is carbon neutrality?","Balancing carbon emissions with removal or reduction."
"What is overconsumption?","Using resources faster than they can recover."
"What is eco-authoritarianism?","Using strong state control to solve environmental problems."
"What is sustainable development?","Development balancing economic growth and environmental protection."
"What is Gaia theory?","The Earth functions as a self-regulating organism."
"What is anti-growth economics?","Opposition to endless economic growth."
"What is rewilding?","Restoring land to natural ecosystems."
"What is environmental ethics?","Moral principles guiding human interaction with nature."
"What is species equality?","The idea all species have equal value."
"What is anti-humanism in ecologism?","Rejecting the belief humans are superior to nature."
"What is interdependence?","The idea humans and nature rely on each other."
"What is ecological footprint?","Measure of human environmental impact."
"What is environmental activism?","Campaigning to protect the environment."
"What is direct action in ecologism?","Protesting outside traditional political methods."
"What is anti-materialism?","Opposition to excessive consumer culture."
"What is organic farming?","Agriculture avoiding synthetic chemicals."
"What is conservationism?","Protecting nature through careful management."
"What is the tragedy of the commons?","Shared resources being overused."
"What is ecological sustainability?","Maintaining ecosystems over time."
"What is green anarchism?","Combining anarchism with environmentalism."
"What is social ecology?","Environmental problems linked to social hierarchies."
"What is ecofeminism?","Linking environmental destruction with patriarchy."
"What is population growth concern?","Fear overpopulation harms the environment."
"What is bioregionalism?","Organising society around natural regions."
"What is environmental citizenship?","Responsibility to protect the environment."
"What is degrowth?","Reducing production and consumption for sustainability."
