"Define secularisation.","The process by which religion loses social and cultural significance in society."
"What is Bruce's main argument about secularisation?","Steve Bruce argues religion is declining due to modernisation and rationalism."
"What does Wilson argue about religion in modern society?","Bryan Wilson argues religion becomes privatised and loses public influence."
"What is privatisation of religion?","The idea that religion becomes a private matter rather than a public institution."
"What is pluralism?","The existence of many competing religious beliefs within one society."
"How does pluralism affect belief?","It weakens absolute truth claims and encourages relativism."
"What is religious relativism?","The belief that no single religion has exclusive truth."
"What is Berger’s view on secularisation?","Peter Berger initially supported secularisation but later argued religion remains strong globally."
"What is Davie’s concept of 'believing without belonging'?","People maintain private belief but do not attend church."
"What does 'vicarious religion' mean?","Religion performed by an active minority on behalf of a passive majority."
"What is Voas’ criticism of Davie?","Voas argues belief is declining alongside attendance."
"What is religious fundamentalism?","Strict adherence to traditional religious doctrines."
"How is fundamentalism a response to modernity?","It resists secular values and reasserts traditional authority."
"What is the New Atheism movement?","A movement criticising religion as irrational and harmful."
"Name a key New Atheist.","Richard Dawkins."
"What impact has science had on belief?","It challenges literal interpretations of scripture."
"What was Darwin’s key contribution?","Theory of evolution by natural selection."
"How did Darwin challenge Christianity?","It questioned the literal Genesis creation account."
"What is liberal theology?","An approach that reinterprets doctrine in light of modern knowledge."
"What is demythologisation?","Rudolf Bultmann’s attempt to reinterpret biblical myths existentially."
"What is feminist theology?","A movement seeking to reinterpret religion from a female perspective."
"How has feminism changed Christian belief?","It challenges patriarchy and male images of God."
"What is womanist theology?","A theology focusing on the experiences of Black women."
"What is liberation theology?","A movement linking Christian teaching with social justice."
"Where did liberation theology begin?","Latin America."
"What is contextual theology?","Theology shaped by cultural and social context."
"What is postmodernism?","A worldview rejecting absolute truth and grand narratives."
"How does postmodernism affect religion?","Encourages personal spiritual choice and eclectic belief."
"What is spiritual consumerism?","Picking beliefs from different traditions."
"What is the decline of institutional religion?","Reduced attendance and trust in religious authorities."
"What is the role of media in belief change?","Media spreads secular and diverse religious ideas."
"What is globalisation?","The increasing interconnectedness of societies."
"How does globalisation affect religion?","It increases religious diversity and exposure."
"What is the prosperity gospel?","The belief that faith leads to wealth and health."
"What is Pentecostalism?","A charismatic Christian movement emphasising spiritual gifts."
"How has Pentecostalism grown globally?","Rapid expansion in Africa and Latin America."
"What is the charismatic movement?","A renewal movement within traditional churches."
"What is civil religion?","Shared religious-like values within a nation."
"What is secular humanism?","A non-religious worldview emphasising reason and ethics."
"What is the decline thesis?","The theory that religion inevitably declines with modernity."
"What evidence challenges the decline thesis?","Growth of religion globally."
"What is religious revivalism?","Renewed interest in traditional religious practices."
"What is digital religion?","Religious expression via online platforms."
"What impact has the internet had on belief?","It enables access to diverse beliefs and communities."
"What is moral relativism?","The belief that moral truth depends on perspective."
"What is ethical secularism?","Morality independent from religion."
"What is the Church of England's response to decline?","Rebranding, community outreach, online ministry."
"What is inclusive theology?","The belief that salvation may extend beyond Christianity."
"What is interfaith dialogue?","Cooperation between different religious traditions."
"What is deconversion?","The process of losing religious faith."
"What is cultural Christianity?","Identifying as Christian for cultural rather than doctrinal reasons."

