Front,Back
What is monotheism?,"Belief in one God."
What is Trinity?,"Father Son Holy Spirit."
What is omnipotent?,"All powerful."
What is omniscient?,"All knowing."
What is omnibenevolent?,"All loving."
What is incarnation?,"God becoming human in Jesus."
What is crucifixion?,"Jesus dying on the cross."
What is resurrection?,"Jesus rising from the dead."
What is ascension?,"Jesus rising to heaven."
What is sin?,"Breaking God's law."
What is original sin?,"Inherited sinful nature."
What is salvation?,"Being saved from sin."
What is atonement?,"Repairing relationship with God."
What is grace?,"God's free gift of love."
What is baptism?,"Christian initiation ceremony."
What is Eucharist?,"Holy Communion."
What is prayer?,"Communicating with God."
What is pilgrimage?,"Journey for religious reasons."
What is mission?,"Spreading faith."
What is evangelism?,"Sharing gospel message."
What is Shahadah?,"Declaration of faith in Islam."
What is Salah?,"Five daily prayers."
What is Zakah?,"Charity."
What is Sawm?,"Fasting during Ramadan."
What is Hajj?,"Pilgrimage to Mecca."
What is Tawhid?,"Oneness of Allah."
What is Qur'an?,"Holy book of Islam."
What is mosque?,"Place of Muslim worship."
What is imam?,"Prayer leader."
What is jihad?,"Struggle."
What is greater jihad?,"Inner spiritual struggle."
What is lesser jihad?,"Physical struggle."
What is predestination?,"Allah already knows outcome."
What is judgement day?,"Day of accountability."
What is heaven?,"Place of eternal reward."
What is hell?,"Place of punishment."
What is stewardship?,"Looking after Earth."
What is sanctity of life?,"Life is sacred."
What is free will?,"Ability to choose."
What is conscience?,"Inner sense of right."
What is agape?,"Unconditional love."
What is pacifism?,"Opposition to violence."
What is just war?,"War morally justified."
What is reconciliation?,"Restoring relationship."
What is forgiveness?,"Letting go of resentment."
What is repentance?,"Turning away from sin."
What is sacraments?,"Sacred rituals."
What is church?,"Christian community."
What is Ummah?,"Worldwide Muslim community."
What is Sunnah?,"Practices of Prophet."
What is Hadith?,"Teachings of Prophet."
What is halal?,"Permitted."
What is haram?,"Forbidden."
What is equality?,"Everyone treated fairly."
What is discrimination?,"Unfair treatment."
What is prejudice?,"Pre judging someone."
What is justice?,"Fair treatment."
What is capital punishment?,"Death penalty."
What is deterrence?,"Stopping crime through fear."
What is retribution?,"Punishment as revenge."
What is reform?,"Changing behaviour."
What is suffering?,"Experiencing pain."
What is evil?,"Wrong doing."
What is natural evil?,"Suffering from nature."
What is moral evil?,"Suffering from humans."
What is the problem of evil?,"Why suffering exists."
What is creation?,"God creating world."
What is Genesis?,"First book Bible."
What is stewardship in Islam?,"Khalifah role."
What is Khalifah?,"Guardian of Earth."
What is dominion?,"Authority over Earth."
What is abortion?,"Ending pregnancy."
What is euthanasia?,"Mercy killing."
What is marriage?,"Religious union."
What is divorce?,"Ending marriage."
What is adultery?,"Sex outside marriage."
What is contraception?,"Preventing pregnancy."
What is pilgrimage in Christianity?,"Journey to holy place."
What is Lourdes?,"Catholic pilgrimage site."
What is Mecca?,"Islam's holiest city."
What is Ten Commandments?,"Laws given to Moses."
What is Beatitudes?,"Jesus teachings."
What is Golden Rule?,"Treat others as you wish."
What is equality quote Christianity?,"Love your neighbour."
What is forgiveness quote Christianity?,"Forgive seventy times seven."
What is peace quote Islam?,"Allah loves peacemakers."
What is zakah percentage?,"Two point five percent."
What is Ramadan?,"Month of fasting."
What is Eid?,"Festival celebration."
What is lent?,"Christian fasting period."
What is Christmas?,"Celebration of birth of Jesus."
What is Easter?,"Celebration of resurrection."
What is Holy Week?,"Week before Easter."
What is baptism symbol?,"Water."
What is cross symbol?,"Jesus sacrifice."
What is crescent symbol?,"Islam symbol."
What is rosary?,"Prayer beads."
What is wudu?,"Ablution before prayer."
What direction do Muslims pray?,"Toward Mecca."
What is sermon?,"Religious speech."
What is hymn?,"Religious song."
What is scripture?,"Sacred writing."
What is covenant?,"Agreement with God."
What is resurrection belief?,"Life after death."
What is purgatory?,"Catholic purification place."
What is Trinity explained?,"One God three persons."
What is Sunni?,"Majority Muslim group."
What is Shia?,"Minority Muslim group."
What is apostasy?,"Leaving faith."
What is martyr?,"Person dying for faith."
What is holy war?,"Religious conflict."
What is agnostic?,"Unsure about God."
What is atheist?,"Does not believe in God."
What is theodicy?,"Explaining suffering."
What is paradise?,"Islamic heaven."
What is resurrection body?,"New spiritual body."
What is judgement belief Christianity?,"God judges actions."
What is sacrificial love?,"Giving self for others."
What is reconciliation example?,"Restoring peace."
What is equality in Islam?,"All equal before Allah."
What is social justice?,"Fair society."
What is human rights?,"Basic freedoms."
What is discrimination example?,"Racism."
What is charity importance?,"Helping poor."
What is stewardship quote?,"Rule over fish."
What is peace and conflict theme?,"War morality."
What is crime theme?,"Causes and punishment."
What is relationships theme?,"Family and marriage."
What is life theme?,"Abortion euthanasia."
What is exam 12 mark?,"Evaluate with reasons."
What is PEEL paragraph?,"Point evidence explain link."

