Front,Back
"Who was :contentReference[oaicite:0]{index=0}?","A Spanish artist and co-founder of Cubism."
"What are the characteristics of :contentReference[oaicite:1]{index=1}'s work?","Fragmented forms, abstraction and multiple viewpoints."
"What is :contentReference[oaicite:2]{index=2} famous for?","Developing Cubism and works like Guernica."
"What themes did :contentReference[oaicite:3]{index=3} explore?","War, politics and human emotion."
"Who was :contentReference[oaicite:4]{index=4}?","A Post-Impressionist artist known for expressive colour and brushwork."
"What are the characteristics of :contentReference[oaicite:5]{index=5}'s work?","Bold colour, thick paint and emotional intensity."
"What techniques did :contentReference[oaicite:6]{index=6} use?","Impasto and expressive brushstrokes."
"What themes did :contentReference[oaicite:7]{index=7} explore?","Nature, emotion and isolation."
"Who was :contentReference[oaicite:8]{index=8}?","A founder of Impressionism focused on light and atmosphere."
"What are the characteristics of :contentReference[oaicite:9]{index=9}'s work?","Loose brushwork and changing light effects."
"What is :contentReference[oaicite:10]{index=10} famous for?","Water Lilies and Impression, Sunrise."
"What technique is associated with :contentReference[oaicite:11]{index=11}?","Plein air painting."
"Who was :contentReference[oaicite:12]{index=12}?","A Mexican artist known for symbolic self-portraits."
"What themes did :contentReference[oaicite:13]{index=13} explore?","Identity, pain and culture."
"What are the characteristics of :contentReference[oaicite:14]{index=14}'s work?","Symbolism, vivid colour and personal imagery."
"What influenced :contentReference[oaicite:15]{index=15}'s artwork?","Her injuries, relationships and Mexican heritage."
"Who was :contentReference[oaicite:16]{index=16}?","A Surrealist artist known for dreamlike imagery."
"What are the characteristics of :contentReference[oaicite:17]{index=17}'s work?","Distorted forms, symbolism and realism."
"What is :contentReference[oaicite:18]{index=18} famous for?","The Persistence of Memory."
"What themes did :contentReference[oaicite:19]{index=19} explore?","Dreams, time and the subconscious."
"Who was :contentReference[oaicite:20]{index=20}?","An American Pop Artist exploring consumer culture."
"What are the characteristics of :contentReference[oaicite:21]{index=21}'s work?","Repetition, bright colour and celebrity imagery."
