Front,Back
"What is feminism?","A political ideology seeking equality between men and women."
"What is patriarchy?","A system where men hold dominant power in society."
"What is sex?","Biological differences between males and females."
"What is gender?","Socially constructed roles and expectations."
"What is equality feminism?","Feminism seeking equal treatment with men."
"What is difference feminism?","Feminism emphasising differences between men and women."
"What is liberal feminism?","A branch of feminism focused on legal and political equality."
"What is socialist feminism?","A branch of feminism linking patriarchy with capitalism."
"What is radical feminism?","A branch of feminism viewing patriarchy as the main source of oppression."
"What is intersectionality?","The idea oppression overlaps across identity groups."
"Who was Mary Wollstonecraft?","An early feminist thinker advocating equal education for women."
"Who was Simone de Beauvoir?","A feminist thinker who argued women are socially constructed as inferior."
"What did Simone de Beauvoir mean by 'The Second Sex'?","Women are treated as secondary to men in society."
"Who was Betty Friedan?","A liberal feminist who criticised traditional domestic roles."
"What is the glass ceiling?","Invisible barriers preventing advancement."
"What is reproductive freedom?","Control over reproductive choices."
"What is nationalism?","An ideology based on loyalty to the nation."
"What is a nation?","A group united by shared identity, culture or history."
"What is self-determination?","The right of nations to govern themselves."
"What is civic nationalism?","National identity based on shared political values."
"What is ethnic nationalism?","National identity based on shared ethnicity or culture."
"What is liberal nationalism?","Nationalism supporting self-government and freedom."
"What is expansionist nationalism?","Aggressive nationalism seeking power or territory."
"What is supranationalism?","Cooperation above the nation-state level."
"Who was Giuseppe Mazzini?","A nationalist thinker supporting national unity and self-determination."
"What is chauvinism?","Extreme and aggressive patriotism."
"What is patriotism?","Pride and loyalty toward one's country."
"What is multiculturalism?","Coexistence of multiple cultures in society."
"What is anarchism?","An ideology opposing the state and coercive authority."
"What is anti-statism?","Opposition to the existence of the state."
"What is human nature according to anarchists?","Humans are naturally cooperative."
"What is collectivist anarchism?","Anarchism supporting common ownership and cooperation."
"What is individualist anarchism?","Anarchism prioritising individual freedom."
"What is mutual aid?","Voluntary cooperation between people."
"What is anarcho-communism?","A form of anarchism supporting collective ownership without a state."
"What is anarcho-capitalism?","A form of anarchism supporting free markets without a state."
"Who was Pierre-Joseph Proudhon?","An anarchist thinker who said 'property is theft'."
"Who was Mikhail Bakunin?","A revolutionary anarchist thinker."
"What is ecologism?","An ideology prioritising environmental protection and sustainability."
"What is sustainability?","Meeting present needs without harming future generations."
"What is anthropocentrism?","Viewing humans as the centre of importance."
"What is ecocentrism?","Viewing nature as having intrinsic value."
"What is deep ecology?","Environmentalism advocating major lifestyle and societal change."
"What is shallow ecology?","Environmentalism focused on practical reforms."
"What is environmental stewardship?","Human responsibility to protect nature."
"What is climate justice?","Fair responses to climate change impacts."
"What is green politics?","Politics focused on environmental sustainability."
"What is conservation?","Protecting natural resources and environments."
"What is biodiversity?","Variety of living species in ecosystems."
"What is renewable energy?","Energy from naturally replenished sources."
"What is carbon neutrality?","Balancing carbon emissions with removal or reduction."
"What is globalisation?","Growing international interconnectedness."
"What is sovereignty?","Supreme authority within a state."
"What is cosmopolitanism?","The belief people belong to a global community."
"What is fundamentalism?","Strict adherence to core beliefs or principles."
"What is identity politics?","Politics based on social group identity."
"What is oppression?","Systematic disadvantage or unfair treatment."
"What is liberation?","Freedom from oppression or control."
"What is equality of outcome?","Reducing differences in living conditions."
"What is equality of opportunity?","Giving everyone equal chances to succeed."
"What is discrimination?","Unfair treatment based on characteristics."
"What is institutional sexism?","Sexism embedded within institutions."
"What is institutional racism?","Racism embedded within institutions."
"What is direct action?","Political action outside traditional political methods."
"What is civil disobedience?","Peacefully breaking laws to protest injustice."
"What is authoritarianism?","Enforcing strict obedience to authority."
"What is libertarianism?","Support for maximum individual freedom."
"What is utopianism?","Belief in creating an ideal society."
"What is reformism?","Supporting gradual political change."
"What is revolution?","Rapid and fundamental political change."
"What is political extremism?","Holding radical political views outside the mainstream."
"What is autonomy?","Self-government or independence."
"What is alienation?","Feeling isolated or powerless within society."
"What is consumerism?","Focus on acquiring goods and material wealth."
"What is industrialisation?","Growth of industry and manufacturing."
"What is sustainability crisis?","Environmental damage threatening future wellbeing."
"What is the precautionary principle?","Avoiding actions that may cause serious harm."
"What is decentralisation?","Distributing power away from central authority."
"What is localism?","Prioritising local decision-making and communities."
"What is direct democracy in anarchism?","Decision-making by people without representatives."
"What is social ecology?","Linking environmental issues with social problems."
"What is eco-socialism?","Combining socialism with environmentalism."
"What is green capitalism?","Using market methods to address environmental problems."
