"Front","Back"
"What is the gradient of a line?","The rate of change of y with respect to x"
"What is the formula for gradient","Change in y divided by change in x"
"What is the equation of a straight line","y equals mx plus c"
"What does m represent in y equals mx plus c","Gradient"
"What does c represent in y equals mx plus c","Y intercept"
"What is the y intercept?","Point where line crosses y axis"
"What is the x intercept?","Point where line crosses x axis"
"What is a parallel line?","A line with the same gradient"
"What is a perpendicular line?","A line with negative reciprocal gradient"
"What is negative reciprocal?","Flip the fraction and change sign"
"What is the distance formula?","Square root of x2 minus x1 squared plus y2 minus y1 squared"
"What is the midpoint formula?","Average of x coordinates and y coordinates"
"What is the equation of a circle?","x minus a squared plus y minus b squared equals r squared"
"What does a and b represent in circle equation","Centre coordinates"
"What does r represent in circle equation","Radius"
"What is the centre of circle from equation","a comma b"
"What is the radius from equation","Square root of r squared"
"What is a tangent?","A line touching a curve at one point"
"What is a normal?","A line perpendicular to tangent"
"What is gradient of tangent?","Slope of curve at a point"
"What is gradient of normal?","Negative reciprocal of tangent gradient"
"What is general form of line equation","ax plus by plus c equals zero"
"What is gradient from general form","Minus a divided by b"
"What is intercept form of line","x over a plus y over b equals one"
"What is point slope form","y minus y1 equals m times x minus x1"
"What is equation of line through two points","Find gradient then substitute into line equation"
"What is perpendicular bisector?","Line that cuts segment in half at right angle"
"What is locus?","Set of points satisfying condition"
"What is circle as locus","Points at fixed distance from centre"
"What is equation of tangent to circle","Perpendicular to radius at point"
"What is condition for tangent to circle","Distance from centre to line equals radius"
"What is distance from point to line","Absolute value of ax plus by plus c divided by root a squared plus b squared"
"What is parametric equation?","Equation where x and y depend on parameter"
"What is Cartesian equation?","Equation relating x and y directly"
"What is converting parametric to Cartesian","Eliminate parameter"
"What is gradient between two points","Difference in y divided by difference in x"
"What is collinearity?","Points lying on same straight line"
"What is condition for collinearity","Equal gradients"
"What is equation of normal to curve","Perpendicular to tangent at point"
"What is intersection of lines?","Point where equations are equal"
"What is solving simultaneous equations graphically","Intersection point"
"What is circle centre origin equation","x squared plus y squared equals r squared"
"What is expanded circle equation","x squared plus y squared plus Dx plus Ey plus F equals zero"
"What is completing square for circle","Find centre and radius"
"What is diameter of circle","Twice the radius"
"What is chord?","Line joining two points on circle"
"What is arc?","Part of circumference"
"What is sector?","Region bounded by two radii and arc"
"What is tangent gradient relation","Product of gradients equals minus one"
"What is angle between two lines","Use formula with gradients"
"What is gradient of horizontal line","Zero"
"What is gradient of vertical line","Undefined"
"What is equation of vertical line","x equals constant"
"What is equation of horizontal line","y equals constant"
"What is symmetry in graphs","Mirror image across line"
"What is reflection in y axis","Replace x with minus x"
"What is reflection in x axis","Replace y with minus y"
"What is translation of graph","Shift in position"
"What is stretch of graph","Change in scale"
"What is distance between midpoint and endpoints","Half of full length"
"What is slope intercept form use","Quick graph plotting"
"What is general form use","Useful for distance calculations"
"What is parametric gradient","dy dx using parameter"
"What is second derivative meaning","Curvature of graph"
"What is concave up graph","Positive second derivative"
"What is concave down graph","Negative second derivative"
"What is tangent equation form","y minus y1 equals m times x minus x1"
"What is normal equation form","Use negative reciprocal gradient"
"What is discriminant in line circle intersection","Determines number of intersections"
"What does discriminant zero mean in circle line","Line touches circle"
"What does discriminant positive mean","Two intersection points"
"What does discriminant negative mean","No intersection"
"What is geometric interpretation of gradient","Steepness of line"
"What is rate of change meaning","How fast y changes with x"
"What is slope angle","Angle line makes with horizontal"
"What is tan theta in gradient","Gradient equals tan theta"
"What is perpendicular condition using slopes","m1 times m2 equals minus one"
"What is parallel condition using slopes","m1 equals m2"
"What is intercept meaning","Where graph crosses axis"
"What is coordinate geometry used for","Modelling real world relationships"
"What is graph sketching steps","Find intercepts turning points asymptotes"
"What is asymptote?","Line graph approaches but never touches"
"What is vertical asymptote","x equals constant"
"What is horizontal asymptote","y equals constant"
"What is gradient function","Derivative of function"
"What is tangent as limit","Slope of curve at point"
"What is normal direction","Perpendicular to tangent"

