"Front","Back"
"What is immunity?","The ability of the body to defend against pathogens."
"What is a pathogen?","A microorganism that causes disease."
"What are the main types of pathogens?","Bacteria, viruses, fungi and parasites."
"What is the immune system?","A system of cells, tissues and organs that protect against infection."
"What is the first line of defence?","Physical and chemical barriers."
"What are examples of physical barriers?","Skin and mucous membranes."
"What are examples of chemical barriers?","Stomach acid and lysozyme in tears."
"What is innate immunity?","Non-specific defence present at birth."
"What is adaptive immunity?","Specific immune response developed after exposure."
"What are white blood cells?","Cells involved in defending the body against pathogens."
"What are the two main types of lymphocytes?","B cells and T cells."
"What are phagocytes?","White blood cells that engulf pathogens."
"What process do phagocytes use?","Phagocytosis."
"What is phagocytosis?","Engulfing and digesting pathogens."
"What happens after phagocytosis?","Pathogen is destroyed by enzymes."
"What are antigens?","Molecules on pathogen surfaces that trigger immune responses."
"What are antibodies?","Proteins that bind to specific antigens."
"What produces antibodies?","B lymphocytes."
"What is an antigen-antibody complex?","Structure formed when antibody binds antigen."
"What does antibody binding do?","Neutralises or marks pathogens."
"What is agglutination?","Clumping of pathogens caused by antibodies."
"What is opsonisation?","Marking pathogens for phagocytosis."
"What are plasma cells?","B cells that produce antibodies."
"What are memory cells?","Cells that remember a specific antigen."
"What is the primary immune response?","First response to a pathogen."
"What is the secondary immune response?","Faster response upon re-exposure."
"Why is the secondary response faster?","Memory cells recognise the antigen."
"What are T lymphocytes?","Cells involved in cell-mediated immunity."
"What do T helper cells do?","Activate other immune cells."
"What do cytotoxic T cells do?","Destroy infected cells."
"What do T regulatory cells do?","Control immune response."
"What is clonal selection?","Activation of specific lymphocytes by antigen."
"What is clonal expansion?","Rapid multiplication of selected lymphocytes."
"What is cell-mediated immunity?","Immunity involving T cells."
"What is humoral immunity?","Immunity involving antibodies."
"What is vaccination?","Introducing antigens to stimulate immunity."
"What is a vaccine?","A preparation containing weakened or inactive pathogen."
"What is artificial active immunity?","Immunity produced through vaccination."
"What is natural active immunity?","Immunity from infection."
"What is artificial passive immunity?","Immunity from injected antibodies."
"What is natural passive immunity?","Immunity from mother to baby."
"What is herd immunity?","Protection of population through widespread immunity."
"What is an autoimmune disease?","Disease where immune system attacks own cells."
"What is HIV?","Virus that attacks immune system."
"What cells does HIV infect?","T helper cells."
"What disease can HIV cause?","AIDS."
"What are monoclonal antibodies?","Identical antibodies produced from one clone of cells."
"What are monoclonal antibodies used for?","Diagnosis and treatment."
"What is ELISA?","Test using antibodies to detect antigens."
"What does ELISA stand for?","Enzyme-linked immunosorbent assay."
"What is immunological memory?","Ability to respond faster to known pathogens."
"What is inflammation?","Localised immune response causing redness and swelling."
"What chemicals trigger inflammation?","Histamines."
"What cells release histamine?","Basophils and mast cells."
"What is the role of lymph nodes?","Filter lymph and house immune cells."
"What is lymph?","Fluid containing immune cells."
"What are pathogens recognised by?","Antigens."
"What determines antibody specificity?","Complementary antigen binding site."
"What is the structure of an antibody?","Y-shaped protein with two binding sites."
"What is antigen presentation?","Display of pathogen antigens on cell surface."
"What cells present antigens?","Phagocytes and antigen-presenting cells."
"What activates T helper cells?","Recognition of antigen presentation."
"What do activated T helper cells release?","Cytokines."
"What are cytokines?","Signalling proteins in immune response."
"What is the complement system?","Proteins assisting immune defence."
"What does complement do?","Enhances pathogen destruction."
"What are interferons?","Proteins that inhibit viral replication."
"What is immunisation?","Process of becoming immune."
"What is a booster vaccine?","Additional vaccine dose reinforcing immunity."
"What is pathogen resistance?","Ability of pathogen to survive immune response."
"What causes antibiotic resistance?","Mutations and selection."
"What is immune tolerance?","Immune system ignoring self-antigens."
"What happens in allergies?","Excessive immune response to harmless substances."
"What is histamine's role in allergies?","Triggers inflammation."
"What are antihistamines?","Drugs blocking histamine effects."
"What is immunodeficiency?","Weak or absent immune response."
"What is the main role of the immune system?","Protect the body from infection."
