"Front","Back"
"What is schizophrenia?","A serious mental disorder affecting thinking, perception and behaviour."

"What are positive symptoms?","Symptoms that add abnormal experiences."

"What are negative symptoms?","Symptoms that reduce normal functioning."

"What is hallucination?","Seeing or hearing things that are not real."

"What is auditory hallucination?","Hearing voices without external stimulus."

"What is delusion?","A false belief not based on reality."

"What is paranoid delusion?","Belief that others are trying to harm you."

"What is disorganised speech?","Incoherent or illogical speech."

"What is avolition?","Lack of motivation."

"What is speech poverty?","Reduced speech output."

"What is affective flattening?","Reduced emotional expression."

"What is reliability in diagnosis?","Consistency of diagnosis between clinicians."

"What is validity in diagnosis?","Accuracy of diagnosis."

"What is comorbidity?","Presence of multiple disorders."

"What is symptom overlap?","Shared symptoms between disorders."

"What is gender bias in diagnosis?","Different diagnosis rates between males and females."

"What is cultural bias in diagnosis?","Diagnosis influenced by cultural norms."

"What is the biological explanation of schizophrenia?","Schizophrenia is caused by biological factors."

"What is the genetic explanation?","Inherited risk of schizophrenia."

"What is the role of dopamine?","High dopamine activity linked to schizophrenia."

"What is dopamine hypothesis?","Schizophrenia caused by excess dopamine."

"What is revised dopamine hypothesis?","Both high and low dopamine activity involved."

"What is neural explanation?","Brain structure differences linked to schizophrenia."

"What is enlarged ventricles?","Larger brain cavities in patients."

"What is a strength of biological explanation?","Supported by drug therapy."

"What is a limitation?","Does not explain environmental factors."

"What is family dysfunction explanation?","Schizophrenia caused by dysfunctional families."

"What is schizophrenogenic mother?","Cold and rejecting parenting style."

"What is double bind theory?","Conflicting messages from parents."

"What is expressed emotion?","High criticism or hostility in family."

"What is cognitive explanation?","Schizophrenia caused by faulty thinking."

"What is dysfunctional thought processing?","Impaired cognitive control."

"What is meta-representation?","Understanding one’s own thoughts."

"What is central control dysfunction?","Difficulty suppressing automatic responses."

"What is drug therapy?","Use of medication to treat schizophrenia."

"What are typical antipsychotics?","Older drugs such as chlorpromazine."

"What are atypical antipsychotics?","Newer drugs such as clozapine."

"What is a strength of drug therapy?","Reduces symptoms."

"What is a limitation?","Side effects such as weight gain."

"What is CBT for schizophrenia?","Therapy to challenge distorted thinking."

"What is a strength of CBT?","Improves coping strategies."

"What is a limitation?","Not effective for all patients."

"What is family therapy?","Improves family communication."

"What is token economy?","Reward system for positive behaviour."

"What is a strength of token economy?","Encourages positive behaviour."

"What is a limitation?","May not address root cause."

"What is interactionist approach?","Combines biological and psychological explanations."

"What is diathesis-stress model?","Vulnerability plus trigger causes disorder."

"What is vulnerability?","Biological predisposition."

"What is trigger?","Environmental stressor."

"What is a strength of interactionist approach?","More complete explanation."

"What is a limitation?","Difficult to test fully."

"What is classification system?","System for diagnosing disorders."

"What is DSM?","Diagnostic manual."

"What is ICD?","International classification system."

"What is reliability issue?","Different clinicians may disagree."

"What is validity issue?","Diagnosis may not reflect true disorder."

"What is labelling?","Assigning a diagnostic label."

"What is stigma?","Negative attitudes towards disorder."

"What is institutionalisation?","Long-term hospital care."

"What is recovery?","Improvement in symptoms."

"What is relapse?","Return of symptoms."

"What is medication adherence?","Following treatment plan."

"What is side effect?","Unwanted effect of treatment."

"What is tardive dyskinesia?","Movement disorder from drugs."

"What is serotonin role?","Involved in mood and cognition."

"What is brain scan evidence?","Shows structural differences."

"What is neurodevelopmental explanation?","Brain develops abnormally."

"What is stress?","Pressure affecting mental health."

"What is coping strategy?","Managing symptoms."

"What is insight?","Awareness of condition."

"What is prognosis?","Expected outcome of disorder."

"What is chronic schizophrenia?","Long-term condition."

"What is acute schizophrenia?","Short-term episodes."

"What is hallucination type?","Auditory or visual."

"What is delusion type?","Paranoid or grandiose."

"What is thought disorder?","Disorganised thinking."

"What is behaviour disorder?","Unusual actions."

"What is social withdrawal?","Avoiding interaction."

"What is emotional dysfunction?","Flat emotions."

"What is cognitive deficit?","Impaired thinking."

"What is treatment plan?","Strategy to manage disorder."

"What is multi-treatment approach?","Using multiple therapies."

"What is therapy effectiveness?","Success of treatment."

"What is research method in schizophrenia?","Brain scans and clinical studies."

"What is objective measurement?","Scientific data collection."

"What is subjective report?","Self-reported experience."

"What is diagnosis criteria?","Symptoms required for diagnosis."

"What is duration criteria?","Length of symptoms."

"What is functioning impairment?","Impact on daily life."
