"Front","Back"
"What is drama?","A form of storytelling performed for an audience"
"What is theatre?","The space and practice of performing drama"
"What is a practitioner?","A theatre maker such as a director or playwright"
"What is devising?","Creating original performance from a stimulus"
"What is a stimulus?","A starting point for creating drama"
"What is a monologue?","Speech performed by one actor"
"What is a duologue?","Scene performed by two actors"
"What is a script?","Written text of a play"
"What is a set text?","A prescribed play studied for exam"
"What is blocking?","Movement of actors on stage"
"What is stage direction?","Instructions in a script"
"What is upstage?","Area furthest from audience"
"What is downstage?","Area closest to audience"
"What is stage left?","Left from actor perspective"
"What is stage right?","Right from actor perspective"
"What is proxemics?","Use of space between actors"
"What is levels in drama?","Use of height to show status"
"What is gesture?","Movement expressing meaning"
"What is facial expression?","Use of face to show emotion"
"What is vocal skills?","Use of voice in performance"
"What is pitch?","Highness or lowness of voice"
"What is tone?","Quality or emotion in voice"
"What is pace?","Speed of speech"
"What is pause?","Break in speech for effect"
"What is emphasis?","Stress on certain words"
"What is characterisation?","Creating a believable character"
"What is role?","Character played by actor"
"What is naturalism?","Realistic style of theatre"
"What is non naturalism?","Stylised or exaggerated theatre"
"What is physical theatre?","Using movement as main storytelling"
"What is mime?","Acting without words"
"What is improvisation?","Spontaneous performance without script"
"What is rehearsal?","Practice before performance"
"What is performance?","Presentation to audience"
"What is audience?","People watching performance"
"What is target audience?","Specific intended viewers"
"What is staging?","How performance is presented"
"What is thrust stage?","Stage surrounded on three sides"
"What is proscenium arch?","Traditional framed stage"
"What is theatre in the round?","Audience surrounds stage"
"What is lighting?","Use of light in performance"
"What is spotlight?","Focused beam of light"
"What is wash lighting?","General lighting across stage"
"What is sound design?","Use of sound effects or music"
"What is diegetic sound?","Sound from within the scene"
"What is non diegetic sound?","Sound added externally"
"What is costume?","Clothing worn by actors"
"What is set design?","Scenery and props on stage"
"What is props?","Objects used in performance"
"What is symbolism?","Using objects to represent ideas"
"What is genre?","Type of drama"
"What is tragedy?","Serious drama with sad ending"
"What is comedy?","Drama intended to entertain"
"What is melodrama?","Exaggerated dramatic style"
"What is practitioner example","Stanislavski Brecht Artaud"
"What is Stanislavski style?","Naturalistic acting and emotional realism"
"What is Brecht style?","Alienation effect and audience awareness"
"What is Artaud style?","Theatre of cruelty shocking audience"
"What is alienation effect?","Reminding audience it is a performance"
"What is breaking the fourth wall?","Actor addresses audience directly"
"What is ensemble?","Group working together"
"What is interpretation?","Director or actor understanding of text"
"What is subtext?","Hidden meaning behind dialogue"
"What is dramatic tension?","Suspense in performance"
"What is climax?","Most intense moment"
"What is structure?","Organisation of play"
"What is narrative?","Storyline of drama"
"What is theme?","Main idea of play"
"What is context?","Background of play"
"What is social context?","Society at time of play"
"What is historical context?","Time period influences"
"What is live theatre evaluation?","Analysing a performance seen"
"What is evaluation?","Judging effectiveness"
"What is analysis?","Breaking down elements"
"What is AO1 in drama?","Create and develop ideas"
"What is AO2 in drama?","Apply theatrical skills"
"What is AO3 in drama?","Analyse and evaluate"
"What is devising log?","Written record of development"
