"Front","Back"
"What is Plato’s Theory of Forms?","The belief that non-physical Forms (perfect ideals) are the ultimate reality."
"What is the Form of the Good?","The highest Form which gives truth and knowledge to all other Forms."
"What is Plato’s analogy of the cave?","A metaphor showing humans mistaking sensory experience for true reality."
"What is Plato’s view of the soul?","The soul is immortal and more real than the body."
"What are the three parts of Plato’s soul?","Reason, spirit, appetite."
"What is Aristotle’s Four Causes theory?","Material, formal, efficient and final causes explain existence."
"What is Aristotle’s Prime Mover?","An unmoved mover that causes motion without being moved."
"What is teleology?","Explanation by reference to purpose or design."
"What is Aquinas’ First Way?","Argument from motion leading to an unmoved mover."
"What is Aquinas’ Second Way?","Argument from causation leading to a first cause."
"What is Aquinas’ Third Way?","Argument from contingency leading to a necessary being."
"What is the Kalam Cosmological Argument?","Everything that begins has a cause; the universe began; therefore it has a cause."
"What is Leibniz’s Principle of Sufficient Reason?","Everything must have an explanation."
"What was Hume’s criticism of causation?","We cannot observe necessary connection, only constant conjunction."
"What was Russell’s response to the cosmological argument?","The universe may just be a brute fact."
"What is Anselm’s Ontological Argument?","God is that than which nothing greater can be conceived."
"What is Gaunilo’s criticism?","The perfect island analogy challenges Anselm."
"What was Kant’s objection to the Ontological Argument?","Existence is not a predicate."
"What is Descartes’ version of the Ontological Argument?","Existence is a necessary property of a perfect being."
"What is Paley’s Watch Analogy?","Design implies a designer like a watch implies a watchmaker."
"What is Aquinas’ Fifth Way?","The teleological argument based on purpose in nature."
"What impact did Darwin have on design arguments?","Evolution undermined the need for a designer."
"What is the Fine-Tuning Argument?","Physical constants are precisely set for life."
"What is the Multiverse response?","Multiple universes explain apparent fine-tuning."
"What is Swinburne’s cumulative argument?","Multiple arguments together increase probability of God."
"What is William James’ view of religious experience?","Religious experiences are authoritative for the individual."
"What is Otto’s concept of the numinous?","Experience of the wholly other, mysterious and awe-inspiring."
"What are corporate religious experiences?","Experiences shared by a group."
"What are individual religious experiences?","Private mystical encounters."
"What is Freud’s view of religion?","Religion is an illusion rooted in psychological need."
"What is the Logical Problem of Evil?","God’s attributes are inconsistent with evil."
"What is the Evidential Problem of Evil?","The quantity of evil makes God unlikely."
"What is Mackie’s inconsistent triad?","God is omnipotent, omnibenevolent, evil exists."
"What is Augustine’s theodicy?","Evil is privation; caused by misuse of free will."
"What is Irenaeus’ theodicy?","Evil is necessary for soul-making."
"What is Hick’s soul-making defence?","Suffering develops moral character."
"What is the Free Will Defence?","God allows evil to preserve free will."
"What is Process Theology’s view of God?","God is not omnipotent in the classical sense."
"What is substance dualism?","Mind and body are separate substances."
"What is Descartes’ cogito argument?","I think therefore I am."
"What is materialism?","Only physical matter exists."
"What is Dawkins’ view of the soul?","The soul is an illusion."
"What is resurrection?","Bodily life after death restored by God."
"What are Near Death Experiences (NDEs)?","Experiences reported close to death."
"What is verification principle?","A statement is meaningful only if empirically verifiable."
"What is falsification principle?","A statement must be capable of being proven false."
"What was Flew’s invisible gardener analogy?","Religious claims become meaningless if unfalsifiable."
"What is Aquinas’ analogy of attribution?","Language about God is partly similar."
"What is Aquinas’ analogy of proportion?","Words applied to God proportionally reflect divine qualities."
"What is Via Negativa?","Describing God by what He is not."
"What is Boethius’ view of eternity?","God exists outside time."
"What is Anselm’s view of eternity?","God is timeless."
"What is Swinburne’s view of God and time?","God exists within time."
"What is omnipotence?","All-powerful."
"What is omniscience?","All-knowing."
"What is omnibenevolence?","All-loving."
"What is the Euthyphro dilemma?","Is something good because God commands it?"
"What is divine simplicity?","God is not composed of parts."
"What is religious language symbolic?","Language expresses meaning metaphorically."
"What is analogy in religious language?","Words applied to God in qualified sense."
"What is myth in religion?","Symbolic story conveying truth."
"What is Hick’s eschatological verification?","Truth of religious claims verified after death."
"What is Plato’s view of immortality?","Soul pre-exists and survives body."
"What is Aristotle’s view of the soul?","Soul is the form of the body."
"What is Hick’s replica theory?","God recreates individuals after death."
"What is parapsychology?","Study of paranormal phenomena."
"What is corporate theodicy?","Defence of God regarding natural evil."
"What is natural evil?","Evil from natural processes."
"What is moral evil?","Evil from human actions."
"What is libertarian free will?","Freedom without determinism."
"What is determinism?","All events caused by prior events."
"What is soft determinism?","Free will compatible with causation."
"What is logical positivism?","Movement applying verification principle."
"What is existentialism?","Focus on human freedom and responsibility."
"What is Wittgenstein’s language games?","Meaning depends on use in context."
"What is Aquinas’ view of natural theology?","God known through reason."
"What is Barth’s view of revelation?","God known only through revelation."
"What is Aquinas’ view on faith and reason?","Faith and reason are compatible."
"What is Hume’s critique of miracles?","Miracles violate natural laws."
"What is Swinburne’s defence of miracles?","Testimony can justify belief."
"What is a priori argument?","Based on reason alone."
"What is a posteriori argument?","Based on experience."
"What is a deductive argument?","If premises true, conclusion must follow."
"What is an inductive argument?","Conclusion probable not certain."
"What is logical necessity?","True in all possible worlds."
"What is contingency?","Could have been otherwise."
"What is simplicity in philosophy?","Prefer simpler explanations."
"What is Occam’s Razor?","Do not multiply entities unnecessarily."
"What is religious realism?","God exists independently of belief."
"What is religious anti-realism?","God exists only as human construct."
"What is the Copleston-Russell debate about?","Contingency and existence of God."
"What is the significance of Plato for Christianity?","Influenced dualism and immortality."
"What is the significance of Aristotle for Aquinas?","Provided philosophical framework."
"What is synoptic linking?","Connecting philosophy with ethics and theology."
"What is AO1 in RS?","Knowledge and understanding."
"What is AO2 in RS?","Analysis and evaluation."

