"Front","Back"
"What is differentiation?","The process of finding the rate of change of a function"
"What is the derivative?","The gradient of a function at a point"
"What does dy dx represent?","The derivative of y with respect to x"
"What is the derivative of x to the power n","n times x to the power n minus 1"
"What is the derivative of a constant","Zero"
"What is the derivative of e to the x","e to the x"
"What is the derivative of ln x","1 over x"
"What is the derivative of sin x","cos x"
"What is the derivative of cos x","minus sin x"
"What is the derivative of tan x","sec squared x"
"What is the product rule?","Differentiate first times second plus first times differentiate second"
"What is product rule formula","u prime v plus u v prime"
"What is quotient rule?","Differentiate numerator times denominator minus numerator times differentiate denominator over denominator squared"
"What is quotient rule formula","u prime v minus u v prime over v squared"
"What is chain rule?","Differentiate outer function times derivative of inner function"
"What is chain rule formula","f prime of g times g prime"
"What is a stationary point?","Point where derivative equals zero"
"What are types of stationary points","Maximum minimum or point of inflection"
"What is a maximum point?","Point where function changes from increasing to decreasing"
"What is a minimum point?","Point where function changes from decreasing to increasing"
"What is point of inflection?","Point where concavity changes"
"What is second derivative?","Derivative of the first derivative"
"What does second derivative greater than zero mean","Curve is concave up"
"What does second derivative less than zero mean","Curve is concave down"
"What is tangent?","A line touching a curve at one point"
"What is gradient of tangent?","Value of derivative at that point"
"What is equation of tangent","y minus y1 equals m times x minus x1"
"What is normal?","Line perpendicular to tangent"
"What is gradient of normal","Negative reciprocal of tangent gradient"
"What is increasing function?","Derivative greater than zero"
"What is decreasing function?","Derivative less than zero"
"What is rate of change?","How quickly a variable changes"
"What is instantaneous rate of change?","Rate at a specific point"
"What is gradient function?","Derivative as a function"
"What is implicit differentiation?","Differentiating equations not solved for y"
"What is parametric differentiation?","Using dy dx equals dy dt over dx dt"
"What is second derivative test?","Use second derivative to classify stationary points"
"What is optimisation?","Finding maximum or minimum values"
"What is turning point?","Point where gradient is zero"
"What is concavity?","Shape of curve"
"What is inflection point condition","Second derivative equals zero and changes sign"
"What is derivative of ln f x","f prime over f"
"What is derivative of e to f x","f prime times e to f x"
"What is derivative of sin f x","f prime cos f x"
"What is derivative of cos f x","minus f prime sin f x"
"What is derivative of tan f x","f prime sec squared f x"
"What is small change notation","Delta y delta x"
"What is limit definition of derivative","Limit of change in y over change in x as change approaches zero"
"What is gradient of curve at a point","Derivative value"
"What is application of differentiation","Motion optimisation rates"
"What is velocity in calculus","First derivative of displacement"
"What is acceleration in calculus","Second derivative of displacement"
"What is displacement graph","Position over time"
"What is velocity graph","Rate of change of displacement"
"What is acceleration graph","Rate of change of velocity"
"What is chain rule example","Differentiate outer then multiply by inner derivative"
"What is product rule example","Use u v formula"
"What is quotient rule example","Use numerator denominator formula"
"What is derivative of 1 over x","Minus 1 over x squared"
"What is derivative of x squared","2x"
"What is derivative of x cubed","3x squared"
"What is derivative of root x","1 over 2 root x"
"What is derivative of x to minus 1","Minus x to minus 2"
"What is derivative of constant times function","Constant times derivative"
"What is derivative of sum","Sum of derivatives"
"What is derivative of difference","Difference of derivatives"
"What is tangent gradient meaning","Slope at point"
"What is normal gradient meaning","Perpendicular slope"
"What is stationary point finding","Solve derivative equals zero"
"What is nature of stationary point","Use second derivative"
"What is derivative of composite function","Use chain rule"
"What is derivative of product","Use product rule"
"What is derivative of quotient","Use quotient rule"
"What is dy dx equals zero meaning","Stationary point"
"What is dy dx positive meaning","Increasing"
"What is dy dx negative meaning","Decreasing"
"What is d2y dx2 equals zero meaning","Possible inflection point"
"What is optimisation step","Differentiate set to zero solve"
"What is rate problem example","Speed growth decay"
"What is tangent line equation use","Approximate function locally"
"What is differentiation of trig functions","Apply standard derivatives"
"What is differentiation of logs","Use 1 over x rule"
"What is differentiation of exponentials","Use e to x rule"

