"What is the structure of a 25 mark essay?","Introduction, 3–4 analytical paragraphs, justified conclusion."
"What should the introduction include?","Clear line of argument and definition of key terms."
"What should NOT be in the introduction?","Detailed explanation or evaluation."
"What is AO1?","Knowledge and understanding."
"What is AO2?","Analysis and evaluation."
"How much AO1 is needed in a 25 marker?","Enough to support evaluation, not dominate it."
"What makes a paragraph analytical?","Each sentence builds logically on the previous one."
"What is the PEEL structure?","Point, Evidence, Explain, Link."
"What should each paragraph contain?","One clear argument with scholar support."
"Why include scholars?","To demonstrate depth and accuracy."
"How should scholars be used?","Integrated into analysis, not bolted on."
"What is a good paragraph opening?","A direct answer to the question."
"What separates Band 4 from Band 5?","Consistent evaluation and synoptic links."
"What is a synoptic link?","Connecting different areas of the specification."
"How should evaluation be developed?","By analysing strengths and weaknesses."
"What makes evaluation weak?","Listing pros and cons without depth."
"What is a judgement?","A clear decision supported by reasoning."
"When should mini-judgements appear?","At the end of each paragraph."
"What should the conclusion do?","Answer the question directly and justify."
"What should the conclusion avoid?","Introducing new arguments."
"What is a comparative structure?","Evaluating two or more theories against each other."
"What is a critical structure?","Arguing for or against one position."
"What is a dialectical structure?","Thesis, antithesis, synthesis."
"How long should paragraphs be?","Developed but focused — usually 8–12 sentences."
"What is the biggest AO2 mistake?","Describing instead of analysing."
"How do you show critical engagement?","Challenge assumptions within theories."
"What is embedded evaluation?","Critique woven into explanation."
"What is signposting?","Clear indicators of argument direction."
"Why define key terms?","Prevents ambiguity in evaluation."
"What is a common weak introduction?","'This essay will discuss…'"
"What is a stronger introduction?","Direct claim addressing the question."
"What is a top-band conclusion?","Balanced but decisive."
"How can quotes improve structure?","They strengthen authority of arguments."
"What is a counter-argument paragraph?","A paragraph challenging your main position."
"What makes a paragraph cohesive?","Clear logical progression."
"How do you compare theories effectively?","Use direct contrast language."
"What is the role of examples?","To clarify abstract theory."
"What is exam timing strategy?","5 mins plan, 35 mins write, 5 mins review."
"What should planning include?","Line of argument and paragraph order."
"What is the golden rule of AO2?","Every paragraph must answer the question."
"How do you avoid narrative writing?","Focus on argument not story."
"What is conceptual analysis?","Examining underlying assumptions."
"What is a balanced essay?","Considers multiple perspectives."
"What is a decisive essay?","Ends with clear defended position."
"What makes an evaluation sophisticated?","Weighing arguments rather than listing."
"What is a comparative judgement?","Explaining why one theory is stronger."
"What is academic tone?","Formal, precise, analytical language."
"What is the role of linking sentences?","Connect paragraphs logically."
"What is the final exam check?","Ensure you have answered the question."
"What is the key to Band 5?","Clear, sustained, well-supported judgement."

