"Front","Back"
"What is biology?","The study of living organisms."
"What is a cell?","The basic unit of life."
"What are the main parts of an animal cell?","Nucleus, cytoplasm, cell membrane, mitochondria, ribosomes."
"What are the main parts of a plant cell?","Nucleus, cytoplasm, cell membrane, mitochondria, ribosomes, cell wall, vacuole, chloroplasts."
"What is the function of the nucleus?","Controls cell activities and contains genetic material."
"What does the cell membrane do?","Controls what enters and leaves the cell."
"What is the function of mitochondria?","Site of aerobic respiration."
"What is the function of ribosomes?","Site of protein synthesis."
"What is the function of chloroplasts?","Site of photosynthesis."
"What is the function of the cell wall?","Supports and strengthens the cell."
"What is diffusion?","Movement of particles from high to low concentration."
"What is osmosis?","Movement of water through a partially permeable membrane."
"What is active transport?","Movement against a concentration gradient using energy."
"What is mitosis?","Cell division for growth and repair."
"What is differentiation?","When a cell becomes specialised."
"What is a stem cell?","An unspecialised cell that can become other cell types."
"What is a tissue?","A group of similar cells working together."
"What is an organ?","A group of tissues working together."
"What is an organ system?","A group of organs working together."
"What is the circulatory system?","Transports substances around the body."
"What is the function of the heart?","Pumps blood around the body."
"What do arteries do?","Carry blood away from the heart."
"What do veins do?","Carry blood towards the heart."
"What do capillaries do?","Allow exchange of substances."
"What is blood made of?","Plasma, red blood cells, white blood cells, platelets."
"What do red blood cells do?","Carry oxygen."
"What do white blood cells do?","Destroy pathogens."
"What do platelets do?","Help blood to clot."
"What is an enzyme?","A biological catalyst."
"What do enzymes do?","Speed up chemical reactions."
"What affects enzyme activity?","Temperature, pH and substrate concentration."
"What is the optimum temperature?","The temperature an enzyme works best at."
"What does denatured mean?","The enzyme changes shape and stops working."
"What is digestion?","Breaking down food into soluble substances."
"What is the function of the stomach?","Produces acid and enzymes."
"What is the function of the small intestine?","Absorbs digested nutrients."
"What is aerobic respiration?","Respiration using oxygen."
"What is the word equation for aerobic respiration?","Glucose plus oxygen produces carbon dioxide and water."
"What is anaerobic respiration in animals?","Respiration without oxygen producing lactic acid."
"What is anaerobic respiration in plants?","Respiration producing ethanol and carbon dioxide."
"What is photosynthesis?","Process plants use to make glucose."
"What is the word equation for photosynthesis?","Carbon dioxide plus water produces glucose and oxygen."
"What is chlorophyll?","A green pigment that absorbs light."
"What factors affect photosynthesis?","Light intensity, carbon dioxide concentration and temperature."
"What is a limiting factor?","A factor that limits the rate of a process."
"What is a pathogen?","A microorganism that causes disease."
"What types of pathogens are there?","Bacteria, viruses, fungi and protists."
"What is a communicable disease?","A disease that can be spread."
"What is a non communicable disease?","A disease that cannot be spread."
"What is the immune system?","The body defence system."
"What is a vaccine?","A substance that helps the body develop immunity."
"What is antibiotic resistance?","When bacteria are no longer killed by antibiotics."
"What is DNA?","Genetic material found in the nucleus."
"What is a gene?","A section of DNA that codes for a protein."
"What is a chromosome?","A long strand of DNA."
"What is sexual reproduction?","Reproduction involving two parents."
"What is asexual reproduction?","Reproduction involving one parent."
"What is variation?","Differences between individuals."
"What is natural selection?","Better adapted organisms survive and reproduce."
"What is evolution?","The change in species over time."
"What is a food chain?","Shows feeding relationships."
"What is a food web?","Interconnected food chains."
"What is a producer?","An organism that makes its own food."
"What is a consumer?","An organism that eats other organisms."
"What is a decomposer?","An organism that breaks down dead material."
"What is an ecosystem?","All organisms and their environment."
"What is biodiversity?","The variety of living organisms."
"What is deforestation?","Large scale removal of trees."
"What is global warming?","Increase in Earth average temperature."
"What is a greenhouse gas?","A gas that traps heat in the atmosphere."
"What is sustainability?","Using resources without running out."
"What is the water cycle?","Movement of water around Earth."
"What is transpiration?","Loss of water from plant leaves."
"What is decay?","Breakdown of dead organisms."
"What role do bacteria play in ecosystems?","Recycle nutrients."
"What is respiration used for?","Releases energy for life processes."
"What is growth?","Increase in size and mass."
"What is reproduction?","Producing offspring."
"What is excretion?","Removal of waste products."
"What is response?","Reacting to changes in the environment."
"What is homeostasis?","Maintaining stable internal conditions."
"What is a stimulus?","A change in the environment."
"What is a response?","A reaction to a stimulus."
"GCSE Biology exam tip","Learn key definitions and processes accurately."
