"Front","Back"
"What is a biological molecule?","A molecule found in living organisms that is essential for life processes."
"What are the four main biological molecules?","Carbohydrates, proteins, lipids and nucleic acids."
"What elements make up carbohydrates?","Carbon, hydrogen and oxygen."
"What is a monosaccharide?","A single sugar molecule."
"What are examples of monosaccharides?","Glucose, fructose and galactose."
"What is glucose?","A monosaccharide used as a primary energy source in cells."
"What is a disaccharide?","Two monosaccharides joined by a glycosidic bond."
"What are examples of disaccharides?","Sucrose, lactose and maltose."
"What is a polysaccharide?","A long chain of monosaccharides linked by glycosidic bonds."
"What are examples of polysaccharides?","Starch, glycogen and cellulose."
"What is starch?","A storage polysaccharide in plants."
"What are the two forms of starch?","Amylose and amylopectin."
"What is glycogen?","A storage polysaccharide in animals."
"What is cellulose?","A structural polysaccharide found in plant cell walls."
"What bond forms between monosaccharides?","A glycosidic bond."
"What reaction forms glycosidic bonds?","A condensation reaction."
"What reaction breaks glycosidic bonds?","A hydrolysis reaction."
"What is a lipid?","A biological molecule made of fatty acids and glycerol."
"What elements make up lipids?","Carbon, hydrogen and oxygen."
"What is a triglyceride?","A lipid formed from glycerol and three fatty acids."
"What bond forms in lipids?","An ester bond."
"What reaction forms ester bonds?","A condensation reaction."
"What reaction breaks ester bonds?","A hydrolysis reaction."
"What is a saturated fatty acid?","A fatty acid with no double bonds."
"What is an unsaturated fatty acid?","A fatty acid containing one or more double bonds."
"What is a phospholipid?","A lipid consisting of glycerol, two fatty acids and a phosphate group."
"What is the structure of a phospholipid?","A hydrophilic head and hydrophobic tails."
"What is cholesterol?","A lipid molecule involved in membrane stability."
"What is a protein?","A biological molecule made from amino acids."
"What are amino acids?","The building blocks of proteins."
"What bond joins amino acids?","A peptide bond."
"What reaction forms peptide bonds?","A condensation reaction."
"What reaction breaks peptide bonds?","A hydrolysis reaction."
"What is the primary structure of a protein?","The sequence of amino acids."
"What is the secondary structure of a protein?","Folding into alpha helices or beta sheets."
"What is the tertiary structure of a protein?","The overall 3D shape formed by interactions between side chains."
"What is the quaternary structure of a protein?","The association of multiple polypeptide chains."
"What is an enzyme?","A biological catalyst that speeds up chemical reactions."
"What is an active site?","The region of an enzyme where the substrate binds."
"What is the substrate?","The molecule an enzyme acts upon."
"What is the lock and key model?","A model where the substrate fits exactly into the enzyme's active site."
"What is the induced fit model?","A model where the enzyme changes shape to fit the substrate."
"What factors affect enzyme activity?","Temperature, pH and substrate concentration."
"What is denaturation?","The loss of a protein's structure due to heat or pH changes."
"What is ATP?","A molecule that stores and transfers energy in cells."
"What does ATP stand for?","Adenosine triphosphate."
"What are nucleic acids?","Biological molecules that store genetic information."
"What are the two types of nucleic acids?","DNA and RNA."
"What does DNA stand for?","Deoxyribonucleic acid."
"What does RNA stand for?","Ribonucleic acid."
"What is a nucleotide?","The basic unit of nucleic acids."
"What are the components of a nucleotide?","A sugar, phosphate group and nitrogenous base."
"What bases are found in DNA?","Adenine, thymine, cytosine and guanine."
"What bases are found in RNA?","Adenine, uracil, cytosine and guanine."
"What type of bond links nucleotides?","A phosphodiester bond."
"What is hydrogen bonding in DNA?","Bonds between complementary bases."
"What pairs with adenine in DNA?","Thymine."
"What pairs with cytosine in DNA?","Guanine."
"What is complementary base pairing?","Specific pairing of bases in DNA."
"What is the function of DNA?","To store genetic information."
"What is the function of RNA?","To help convert genetic information into proteins."
"What property of water makes it a good solvent?","Its polarity."
"What is cohesion?","The attraction between water molecules."
"What is adhesion?","The attraction between water molecules and other substances."
"What is high specific heat capacity?","Water requiring lots of energy to change temperature."
"What is latent heat of vaporisation?","Energy needed for water to evaporate."
"What is a condensation reaction?","A reaction that forms bonds and releases water."
"What is hydrolysis?","A reaction that breaks bonds using water."
"What is a reducing sugar?","A sugar that can donate electrons in a reaction."
"What test identifies reducing sugars?","Benedict's test."
"What colour change occurs in Benedict's test?","Blue to brick red."
"What test identifies starch?","The iodine test."
"What colour indicates starch?","Blue-black."
"What test identifies lipids?","The emulsion test."
"What result indicates lipids?","A milky white emulsion."
"What test identifies proteins?","The Biuret test."
"What colour indicates proteins?","Purple."
"What is the function of carbohydrates?","Energy storage and structure."
"What is the function of lipids?","Energy storage insulation and membrane structure."
"What is the function of proteins?","Catalysis structure transport and signalling."
"What is the function of nucleic acids?","Storage and transmission of genetic information."
"What is metabolic water?","Water produced during metabolic reactions."
"What is a polymer?","A large molecule made of repeating monomers."
"What is a monomer?","A small unit that joins to form a polymer."
"What is an isomer?","Molecules with the same formula but different structures."
"What is glucose used for in respiration?","Energy production."
"What is the importance of enzymes?","They allow reactions to occur quickly at body temperature."
"What is the role of phospholipids in cells?","Forming the cell membrane."
"What property of lipids makes them good energy stores?","High energy content and insolubility."
"What makes cellulose strong?","Hydrogen bonds between chains."
"What makes glycogen suitable for storage?","Highly branched structure."
"What is metabolic rate linked to?","ATP demand."
"What is the importance of hydrogen bonding in biology?","Stabilising structures like DNA and proteins."
