"Front","Back"
"What are the basic trig ratios?","Sine cosine and tangent"
"What is sin theta in a right triangle?","Opposite over hypotenuse"
"What is cos theta in a right triangle?","Adjacent over hypotenuse"
"What is tan theta in a right triangle?","Opposite over adjacent"
"What is a radian?","Angle where arc length equals radius"
"What is pi radians in degrees?","180 degrees"
"What is 2 pi radians in degrees?","360 degrees"
"What is the unit circle?","Circle of radius 1 centered at origin"
"What are coordinates on unit circle?","Cos theta is x and sin theta is y"
"What is tan theta in unit circle?","Sin theta divided by cos theta"
"What is the sine graph shape?","Smooth wave starting at zero"
"What is the cosine graph shape?","Smooth wave starting at one"
"What is the period of sin and cos?","2 pi"
"What is amplitude?","Maximum value of function"
"What is phase shift?","Horizontal shift of graph"
"What is vertical shift?","Up or down movement"
"What is transformation a sin x?","Vertical stretch"
"What is transformation sin ax?","Horizontal compression"
"What is transformation sin x plus a?","Vertical shift"
"What is transformation sin x minus a?","Shift right"
"What is transformation sin minus x?","Reflection in y axis"
"What is identity sin squared plus cos squared?","Equals 1"
"What is identity tan theta?","Sin theta divided by cos theta"
"What is identity 1 plus tan squared theta?","Sec squared theta"
"What is identity 1 plus cot squared theta?","Cosec squared theta"
"What is sec theta?","1 over cos theta"
"What is cosec theta?","1 over sin theta"
"What is cot theta?","1 over tan theta"
"What is solving trig equations?","Finding values of theta"
"What is general solution?","All possible solutions"
"What is principal solution?","Solution in given interval"
"What is sin theta equals zero solution","Theta equals n pi"
"What is cos theta equals zero solution","Theta equals pi over 2 plus n pi"
"What is tan theta equals zero solution","Theta equals n pi"
"What is sin theta equals 1 solution","Theta equals pi over 2"
"What is cos theta equals 1 solution","Theta equals 0"
"What is inverse sine?","Arcsin"
"What is inverse cosine?","Arccos"
"What is inverse tangent?","Arctan"
"What is range of arcsin","Minus pi over 2 to pi over 2"
"What is range of arccos","0 to pi"
"What is range of arctan","Minus pi over 2 to pi over 2"
"What is exact value of sin 30","1 over 2"
"What is exact value of cos 60","1 over 2"
"What is exact value of tan 45","1"
"What is exact value of sin 45","Root 2 over 2"
"What is exact value of cos 45","Root 2 over 2"
"What is double angle formula for sin","2 sin theta cos theta"
"What is double angle formula for cos","Cos squared minus sin squared"
"What is double angle for tan","2 tan theta over 1 minus tan squared"
"What is sin A plus B formula","Sin A cos B plus cos A sin B"
"What is cos A plus B formula","Cos A cos B minus sin A sin B"
"What is tan A plus B formula","Tan A plus tan B over 1 minus tan A tan B"
"What is sin A minus B formula","Sin A cos B minus cos A sin B"
"What is cos A minus B formula","Cos A cos B plus sin A sin B"
"What is tan A minus B formula","Tan A minus tan B over 1 plus tan A tan B"
"What is solving sin x equals k","Use inverse and general solution"
"What is solving cos x equals k","Use inverse and general solution"
"What is solving tan x equals k","Use inverse and periodicity"
"What is periodicity of tan","Pi"
"What is periodicity of sin and cos","2 pi"
"What is identity sin 2 theta","2 sin theta cos theta"
"What is identity cos 2 theta alternative","1 minus 2 sin squared theta"
"What is identity cos 2 theta alternative 2","2 cos squared theta minus 1"
"What is identity tan squared theta","Sec squared minus 1"
"What is graph of tan x","Repeating curve with asymptotes"
"What are asymptotes of tan","Pi over 2 plus n pi"
"What is solving trig inequalities?","Find ranges of solutions"
"What is unit circle key angles","0 pi over 6 pi over 4 pi over 3 pi over 2"
"What is symmetry of sin","Odd function"
"What is symmetry of cos","Even function"
"What is symmetry of tan","Odd function"
"What is amplitude effect","Scales graph vertically"
"What is frequency effect","Changes number of cycles"
"What is phase shift effect","Moves graph left or right"
"What is vertical shift effect","Moves graph up or down"
"What is trig modelling?","Using trig functions to model real situations"
"What is maximum value of sin and cos","1"
"What is minimum value of sin and cos","Minus 1"
"What is range of tan","All real numbers"
"What is solving equation sin 2x","Divide angle appropriately"
"What is radians used for","Calculus and advanced trig"
"What is degree to radian conversion","Multiply by pi over 180"
"What is radian to degree conversion","Multiply by 180 over pi"
"What is identity proof?","Show both sides equal using identities"
"What is small angle approximation","Sin theta approx theta"
"What is cos small angle approximation","Cos theta approx 1"
"What is tan small angle approximation","Tan theta approx theta"

