Front,Back
What is a business?,"An organisation that produces goods or services to satisfy customer needs and wants."
What is profit?,"The difference between total revenue and total costs."
What is revenue?,"The total income from sales."
What is cost?,"Money spent by a business to operate."
What is a need?,"Something essential for survival."
What is a want?,"Something desired but not essential."
What is an entrepreneur?,"Someone who takes the risk of starting and running a business."
What is risk?,"The possibility of loss or failure."
What is enterprise?,"The willingness to take risks and organise resources."
What is a stakeholder?,"Any individual or group with an interest in the business."
Who are internal stakeholders?,"Employees and owners."
Who are external stakeholders?,"Customers suppliers government and community."
What is a sole trader?,"A business owned and run by one person."
What is a partnership?,"A business owned by two or more people."
What is a private limited company?,"A business owned by shareholders where shares are not sold publicly."
What is a public limited company?,"A business that sells shares to the public."
What is unlimited liability?,"Owners are personally responsible for debts."
What is limited liability?,"Owners are only responsible for debts up to their investment."
What is a franchise?,"A business agreement allowing use of brand and business model."
What is a business objective?,"A specific target a business aims to achieve."
What is growth?,"Increasing the size or sales of a business."
What is survival?,"Continuing to operate in the short term."
What is profit maximisation?,"Trying to earn as much profit as possible."
What is customer satisfaction?,"Meeting customer expectations."
What is market share?,"The percentage of total sales in a market."
What is market research?,"Collecting information about customers."
What is primary research?,"Research collected first hand."
What is secondary research?,"Research collected by others."
What is qualitative data?,"Data about opinions and attitudes."
What is quantitative data?,"Numerical data that can be measured."
What is a questionnaire?,"A list of questions for research."
What is a focus group?,"A discussion group for feedback."
What is market segmentation?,"Dividing customers into groups."
What is the marketing mix?,"Product price place and promotion."
What is product?,"The good or service offered."
What is price?,"The amount charged."
What is place?,"Where the product is sold."
What is promotion?,"Communication with customers."
What is branding?,"Creating a unique identity."
What is USP?,"A unique selling point."
What is demand?,"The quantity consumers want to buy."
What is supply?,"The quantity producers want to sell."
What is competition?,"Rivalry between businesses."
What is a monopoly?,"A market dominated by one firm."
What is inflation?,"Rising prices over time."
What is interest rate?,"The cost of borrowing money."
What is unemployment?,"People without jobs."
What is productivity?,"Output per worker."
What is efficiency?,"Producing without waste."
What is quality?,"How well a product meets expectations."
What is quality control?,"Checking products for faults."
What is quality assurance?,"Preventing faults during production."
What is fixed cost?,"A cost that does not change with output."
What is variable cost?,"A cost that changes with output."
What is break even?,"When total revenue equals total costs."
What is contribution?,"Selling price minus variable cost."
What is cash flow?,"Movement of money in and out."
What is cash inflow?,"Money coming in."
What is cash outflow?,"Money going out."
What is internal finance?,"Money raised from within the business."
What is external finance?,"Money raised from outside the business."
What is retained profit?,"Profit kept in the business."
What is a loan?,"Borrowed money that must be repaid."
What is an overdraft?,"Permission to spend more than in account."
What is crowdfunding?,"Raising money from many people online."
What is motivation?,"The reason employees work hard."
What is financial motivation?,"Motivation through pay."
What is non financial motivation?,"Motivation through job satisfaction."
What is recruitment?,"Hiring employees."
What is training?,"Teaching skills to workers."
What is internal growth?,"Expansion using own resources."
What is external growth?,"Growth through merger or takeover."
What is a merger?,"Two businesses join together."
What is a takeover?,"One business buys another."
What is globalisation?,"Expansion of trade worldwide."
What is ethics?,"Moral principles in business."
What is sustainability?,"Meeting needs without harming future."
What is legislation?,"Laws businesses must follow."
What is consumer protection?,"Laws protecting customers."
What is health and safety?,"Laws protecting workers."
What is gross profit?,"Revenue minus cost of sales."
What is net profit?,"Gross profit minus expenses."
What is cost of sales?,"Direct costs of production."
What is budget?,"Financial plan for income and spending."
What is a sales forecast?,"Prediction of future sales."
What is added value?,"Difference between selling price and cost of inputs."
What is price elasticity?,"Responsiveness of demand to price changes."
What is penetration pricing?,"Low price to gain market share."
What is skimming pricing?,"High initial price then lower."
What is cost plus pricing?,"Adding profit margin to cost."
What is competitive pricing?,"Setting price based on rivals."
What is job production?,"Making one item at a time."
What is batch production?,"Producing groups of items."
What is flow production?,"Continuous production."
What is economies of scale?,"Cost advantages from growth."
What is diseconomies of scale?,"Increased costs from growth."
What is outsourcing?,"Using external suppliers."
What is stock control?,"Managing inventory levels."
What is lean production?,"Reducing waste."
What is JIT?,"Just in time stock system."
What is appraisal?,"Review of employee performance."
What is organisational structure?,"Hierarchy of roles."
What is span of control?,"Number of employees managed."
What is delegation?,"Passing tasks to others."
What is communication?,"Sharing information."
What is formal communication?,"Official business communication."
What is informal communication?,"Casual communication."
What is horizontal integration?,"Merging with competitor."
What is vertical integration?,"Merging with supplier or retailer."
What is market mapping?,"Comparing products by price and quality."
What is brand loyalty?,"Customers repeatedly buying."
What is niche market?,"Small specialised segment."
What is mass market?,"Large general market."
What is product life cycle?,"Stages from launch to decline."
What is extension strategy?,"Extending product life."
What is promotion mix?,"Different promotional methods."
What is advertising?,"Paid promotion."
What is sales promotion?,"Short term incentives."
What is direct marketing?,"Direct contact with customers."
What is digital marketing?,"Online promotion."
What is break even formula?,"Fixed costs divided by contribution."
What is margin of safety?,"Difference between output and break even."
What is liquidity?,"Ability to pay short term debts."
What is solvency?,"Ability to pay long term debts."
What is a dividend?,"Payment to shareholders."
What is shareholder?,"Owner of shares."
What is share capital?,"Money from selling shares."
What is imports?,"Goods bought from abroad."
What is exports?,"Goods sold abroad."
What is exchange rate?,"Value of one currency against another."
What is innovation?,"New ideas or products."
What is automation?,"Using machines instead of labour."
What is intellectual property?,"Legal protection of ideas."
What is copyright?,"Protection of creative work."
What is trademark?,"Protected brand symbol."
What is patent?,"Protection for inventions."
What is flexible working?,"Adaptable working hours."
What is redundancy?,"Job loss due to business change."
What is grievance?,"Employee complaint."
What is disciplinary procedure?,"Process for handling misconduct."
What is corporate social responsibility?,"Business responsibility to society."
What is opportunity cost?,"Next best alternative given up."
What is specialisation?,"Focusing on one task."
What is division of labour?,"Splitting tasks between workers."
What is supply chain?,"Process from supplier to customer."
What is depreciation?,"Decrease in value of asset."
What is asset?,"Item of value owned."
What is liability?,"Money owed."
What is working capital?,"Current assets minus current liabilities."
What is break even chart?,"Graph showing costs and revenue."
What is total cost?,"Fixed plus variable costs."
What is turnover?,"Total sales revenue."
What is direct cost?,"Cost directly linked to production."
What is indirect cost?,"Cost not directly linked."
What is competitive advantage?,"Strength over rivals."
What is differentiation?,"Making product different."
What is brand image?,"Customer perception."
What is capacity utilisation?,"Percentage of maximum output used."
What is quality circle?,"Employee group solving problems."
What is absenteeism?,"Employees missing work."
What is labour turnover?,"Rate employees leave."
What is short term finance?,"Finance under one year."
What is long term finance?,"Finance over one year."
What is overdraft advantage?,"Flexible borrowing."
What is loan advantage?,"Large fixed finance."
What is retained profit advantage?,"No interest to pay."
What is market orientation?,"Responding to customer needs."
What is product orientation?,"Focusing on production."
