"Front","Back"
"Do you think social media is harmful?","En mi opinión, las redes sociales pueden ser perjudiciales ya que crean dependencia, sin embargo también permiten la comunicación"
"What are the advantages of technology?","La tecnología ofrece muchas ventajas porque facilita la comunicación y el acceso a la información"
"What are the disadvantages of technology?","Sin embargo, puede causar adicción y afectar negativamente a la salud mental"
"Should young people use social media?","Creo que los jóvenes deberían usar las redes sociales con moderación para evitar efectos negativos"
"Is education important?","En mi opinión, la educación es fundamental porque desarrolla habilidades y mejora oportunidades"
"Are exams useful?","Los exámenes son útiles porque evalúan conocimientos, aunque pueden causar estrés"
"Should university be free?","Creo que la universidad debería ser gratuita para garantizar la igualdad de oportunidades"
"What are the benefits of apprenticeships?","La formación profesional permite adquirir experiencia práctica y ganar dinero"
"Is unemployment a problem?","El desempleo es un problema grave porque causa dificultades económicas"
"How can the government reduce unemployment?","El gobierno debería invertir en educación para crear más oportunidades laborales"
"Is climate change serious?","El cambio climático es un problema serio que requiere acción inmediata"
"What can individuals do to protect the environment?","Los individuos pueden consumir menos y reciclar más"
"Should governments do more for the environment?","Los gobiernos deberían imponer leyes más estrictas para proteger el medio ambiente"
"Is immigration beneficial?","La inmigración puede ser beneficiosa porque contribuye a la economía y la cultura"
"What problems can immigration cause?","Sin embargo, puede causar tensiones sociales si no se gestiona bien"
"Is crime increasing?","El crimen es una preocupación creciente en algunas zonas"
"How can crime be reduced?","La educación y la prevención son claves para reducir el crimen"
"Is mental health important?","La salud mental es muy importante para el bienestar general"
"How can people improve their mental health?","Las personas pueden hacer ejercicio y hablar sobre sus problemas"
"Is a healthy lifestyle important?","Un estilo de vida saludable es esencial para la salud"
"What should people do to stay healthy?","Deben seguir una dieta equilibrada y hacer ejercicio regularmente"
"Is sport important?","El deporte es importante para la salud física y mental"
"What are the benefits of hobbies?","Los hobbies ayudan a relajarse y mejorar la calidad de vida"
"Is work-life balance important?","El equilibrio entre trabajo y vida es esencial para el bienestar"
"Should people work long hours?","Trabajar muchas horas puede causar estrés y problemas de salud"
"Is money important?","El dinero es importante pero no garantiza la felicidad"
"What makes people happy?","La felicidad depende de las relaciones y el bienestar"
"Is family important?","La familia es clave para el apoyo emocional"
"Are friendships important?","Las amistades son importantes porque ofrecen apoyo"
"Is communication important?","La comunicación es esencial para buenas relaciones"
"How can conflicts be resolved?","Los conflictos pueden resolverse mediante el diálogo"
"Is equality important?","La igualdad es esencial para una sociedad justa"
"Should governments reduce inequality?","Los gobiernos deberían tomar medidas para reducir la desigualdad"
"Is poverty a problem?","La pobreza sigue siendo un problema importante"
"How can poverty be reduced?","Se debe invertir en educación y crear oportunidades"
"Should charities help society?","Las organizaciones benéficas ayudan a los más vulnerables"
"Is volunteering beneficial?","El voluntariado ayuda a los demás y desarrolla habilidades"
"Is globalisation positive?","La globalización tiene ventajas y desventajas"
"What are the benefits of globalisation?","Favorece el comercio internacional y el crecimiento económico"
"What are the disadvantages of globalisation?","Puede aumentar la desigualdad y dañar el medio ambiente"
"Is technology replacing jobs?","La tecnología puede reemplazar empleos pero también crear nuevos"
"Is remote work beneficial?","El teletrabajo ofrece flexibilidad pero puede aislar"
"Is education equal for all?","La educación no es igual para todos"
"Should schools change?","Las escuelas deberían adaptarse a las necesidades modernas"
"Is discipline important in schools?","La disciplina es importante para el aprendizaje"
"Should students wear uniforms?","Los uniformes pueden reducir desigualdades pero limitan la expresión"
"Is social media addictive?","Las redes sociales pueden ser adictivas"
"Should screen time be limited?","El tiempo frente a pantallas debería limitarse"
"Is fast food unhealthy?","La comida rápida puede ser perjudicial"
"Should governments regulate food?","Los gobiernos deberían promover hábitos saludables"
"Is public transport important?","El transporte público es importante para reducir la contaminación"
"Should cars be banned in cities?","Prohibir coches podría reducir la contaminación"
"Is housing a problem?","La vivienda es un problema en muchas ciudades"
"Should rent be controlled?","Controlar el alquiler podría ayudar a personas con bajos ingresos"
"This highlights the importance of education","Esto pone de relieve la importancia de la educación"
"This shows the impact of technology","Esto muestra el impacto de la tecnología"
"This suggests that change is needed","Esto sugiere que se necesita un cambio"
"This emphasises inequality","Esto enfatiza la desigualdad"
"The author highlights","El autor destaca"
"The writer suggests","El autor sugiere"
"The director presents","El director presenta"
"This scene shows","Esta escena muestra"
"This character represents","Este personaje representa"
"This reflects society","Esto refleja la sociedad"
"This demonstrates the theme of","Esto demuestra el tema de"
"This explores the idea of","Esto explora la idea de"
"This reveals that","Esto revela que"
"This indicates that","Esto indica que"
"The use of language shows","El uso del lenguaje muestra"
"The contrast highlights","El contraste resalta"
"The audience can see that","El público puede ver que"
"This creates an effect of","Esto crea un efecto de"
"This reinforces the idea that","Esto refuerza la idea de que"
"This is significant because","Esto es significativo porque"
"This is important as","Esto es importante ya que"
"This can be interpreted as","Esto puede interpretarse como"
"This could suggest that","Esto podría sugerir que"
"The theme of inequality is evident","El tema de la desigualdad es evidente"
"The issue of identity is explored","Se explora el tema de la identidad"
"The concept of power is presented","Se presenta el concepto de poder"
"The relationship between characters","La relación entre los personajes"
"This moment is crucial","Este momento es crucial"
"This turning point shows","Este punto de inflexión muestra"
"The ending suggests","El final sugiere"
"Overall, the message is","En general, el mensaje es"
"In conclusion, the author shows","En conclusión, el autor muestra"

