Front,Back
What is population distribution?,The way people are spread across an area.
What is population density?,The number of people per square kilometre.
What is the Demographic Transition Model (DTM)?,A model showing how birth and death rates change as a country develops.
How many stages are in the Demographic Transition Model?,Five stages.
Describe Stage 1 of the DTM.,High birth rates and high death rates with low population growth.
Why are birth rates high in Stage 2?,Limited access to contraception and need for labour.
Why do death rates fall in Stage 2?,Improvements in healthcare sanitation and food supply.
Describe Stage 3 of the DTM.,Falling birth and death rates with slowing population growth.
What causes falling birth rates in Stage 3?,Urbanisation female education and contraception.
Describe Stage 4 of the DTM.,Low birth and death rates with stable or slow growth.
What happens in Stage 5 of the DTM?,Birth rates fall below death rates causing ageing populations.
What is natural increase?,Birth rate minus death rate.
What is dependency ratio?,The ratio of dependents to working-age population.
What is an ageing population?,A population with a high proportion of elderly people.
What causes ageing populations?,Low fertility rates and higher life expectancy.
What problems can ageing populations create?,Pressure on pensions healthcare and labour shortages.
What is a youthful population?,A population with a high proportion under 15 years old.
What problems can youthful populations create?,Pressure on schools jobs and healthcare.
What is a demographic dividend?,Economic growth resulting from a large working-age population.
What is carrying capacity?,The maximum population an environment can sustainably support.
What factors affect carrying capacity?,Food supply water resources technology and consumption.
What is overpopulation?,When population exceeds carrying capacity.
Who was Thomas Malthus?,An economist who believed population grows faster than food supply.
What was Malthus’ theory?,Population grows geometrically while food grows arithmetically.
What did Malthus predict?,Famine war and disease would limit population growth.
Who was Ester Boserup?,An economist who argued technology increases food production.
What did Boserup argue?,Food supply increases due to innovation when population grows.
How does technology affect food production?,Improves yields through mechanisation irrigation and GM crops.
What is food security?,Reliable access to sufficient safe and nutritious food.
What is a pro-natalist policy?,A policy encouraging higher birth rates.
Give an example of a pro-natalist policy.,Tax incentives or childcare subsidies.
What is an anti-natalist policy?,A policy designed to reduce birth rates.
Give an example of an anti-natalist policy.,China’s One Child Policy.
What was the aim of China’s One Child Policy?,To reduce population growth.
What were consequences of the One Child Policy?,Ageing population gender imbalance and labour shortages.
What is migration?,The movement of people from one place to another.
What is internal migration?,Movement within a country.
What is international migration?,Movement across national borders.
What is voluntary migration?,Migration by choice for work or education.
What is forced migration?,Migration due to conflict disasters or persecution.
What is rural to urban migration?,Movement from countryside to cities.
What is economic migration?,Migration for better job opportunities.
What is a push factor?,A reason that forces people to leave an area.
What is a pull factor?,A factor attracting people to a destination.
What are remittances?,Money sent home by migrants.
How can migration affect population structure?,It can reduce youth in origin countries and increase diversity in destinations.
How does urbanisation relate to population growth?,Rapid population growth increases city expansion.
How does climate change affect population distribution?,Through drought flooding and sea level rise.
What is sustainable population?,A population size that can be maintained without degrading resources.
What exam skill is key for Population essays?,Linking DTM policies and carrying capacity with evaluation.

