Front,Back
"What is Impressionism?","An art movement focusing on light, colour and everyday scenes."
"What are the characteristics of Impressionism?","Visible brushstrokes, light colours and outdoor painting."
"Who were key Impressionist artists?",":contentReference[oaicite:0]{index=0}, :contentReference[oaicite:1]{index=1} and :contentReference[oaicite:2]{index=2}."
"What is plein air painting?","Painting outdoors to capture natural light."
"What is Post-Impressionism?","A movement developing beyond Impressionism with stronger emotion and structure."
"What are the characteristics of Post-Impressionism?","Bold colour, symbolic content and experimental techniques."
"Who were key Post-Impressionist artists?",":contentReference[oaicite:3]{index=3}, :contentReference[oaicite:4]{index=4} and :contentReference[oaicite:5]{index=5}."
"What is Cubism?","An art movement showing subjects from multiple viewpoints."
"What are the characteristics of Cubism?","Geometric shapes, fragmentation and abstract forms."
"Who created Cubism?",":contentReference[oaicite:6]{index=6} and :contentReference[oaicite:7]{index=7}."
"What is Analytical Cubism?","An early Cubist style using muted colours and fragmented forms."
"What is Synthetic Cubism?","A later Cubist style using collage and brighter colours."
"What is Surrealism?","An art movement exploring dreams and the unconscious mind."
"What are the characteristics of Surrealism?","Dreamlike imagery, irrational scenes and symbolism."
"Who were key Surrealist artists?",":contentReference[oaicite:8]{index=8} and :contentReference[oaicite:9]{index=9}."
"What is automatism in Surrealism?","Creating art without conscious control."
"What is Expressionism?","An art movement expressing emotional experience rather than realism."
"What are the characteristics of Expressionism?","Distorted forms, bold colour and emotional intensity."
"Who were key Expressionist artists?",":contentReference[oaicite:10]{index=10} and :contentReference[oaicite:11]{index=11}."
"What is Fauvism?","An art movement known for bold and unrealistic colours."
"What are the characteristics of Fauvism?","Bright colours and simplified forms."
"Who was a major Fauvist artist?",":contentReference[oaicite:12]{index=12}."
"What is Abstract Expressionism?","A movement focused on spontaneous and emotional abstraction."
"What are the characteristics of Abstract Expressionism?","Large canvases, energetic marks and abstraction."
"Who were key Abstract Expressionist artists?",":contentReference[oaicite:13]{index=13} and :contentReference[oaicite:14]{index=14}."
"What is action painting?","A style involving energetic and gestural paint application."
"What is colour field painting?","Abstract painting using large areas of colour."
"What is Pop Art?","An art movement inspired by popular culture and consumerism."
"What are the characteristics of Pop Art?","Bright colours, repetition and commercial imagery."
"Who were key Pop Artists?",":contentReference[oaicite:15]{index=15} and :contentReference[oaicite:16]{index=16}."
"What is Minimalism?","An art movement using simple forms and limited detail."
"What are the characteristics of Minimalism?","Geometric shapes, simplicity and repetition."
"What is Conceptual Art?","Art where the idea is more important than the final object."
"What are the characteristics of Conceptual Art?","Text, ideas and unconventional materials."
"What is Street Art?","Art created in public spaces."
"What are the characteristics of Street Art?","Graffiti techniques, stencils and social commentary."
"Who is a famous Street Artist?",":contentReference[oaicite:17]{index=17}."
"What is Renaissance art?","Art from a period focused on realism, perspective and humanism."
"What are the characteristics of Renaissance art?","Perspective, realism and classical influence."
"Who were major Renaissance artists?",":contentReference[oaicite:18]{index=18}, :contentReference[oaicite:19]{index=19} and :contentReference[oaicite:20]{index=20}."
"What is chiaroscuro?","The use of strong contrasts between light and dark."
"What is sfumato?","Blending tones softly without visible lines."
"What is Baroque art?","An art style known for drama, movement and detail."
"What are the characteristics of Baroque art?","Rich detail, dramatic lighting and emotional intensity."
"Who were major Baroque artists?",":contentReference[oaicite:21]{index=21} and :contentReference[oaicite:22]{index=22}."
"What is Romanticism?","An art movement focused on emotion and nature."
"What are the characteristics of Romanticism?","Drama, imagination and emotional expression."
"Who were key Romantic artists?",":contentReference[oaicite:23]{index=23} and :contentReference[oaicite:24]{index=24}."
"What is Realism?","An art movement showing everyday life accurately."
"What are the characteristics of Realism?","Ordinary subjects and detailed observation."
"Who were key Realist artists?",":contentReference[oaicite:25]{index=25} and :contentReference[oaicite:26]{index=26}."
"What is Dadaism?","An anti-art movement rejecting traditional artistic values."
"What are the characteristics of Dadaism?","Absurdity, collage and satire."
"Who was a key Dada artist?",":contentReference[oaicite:27]{index=27}."
"What is Futurism?","An art movement celebrating speed, technology and modernity."
"What are the characteristics of Futurism?","Movement, machinery and dynamic compositions."
"What is Symbolism?","An art movement using symbols to express ideas and emotions."
"What are the characteristics of Symbolism?","Dreamlike imagery and hidden meanings."
"What is Neo-Classicism?","An art movement inspired by classical Greece and Rome."
"What are the characteristics of Neo-Classicism?","Order, symmetry and historical themes."
"What is contemporary art?","Art created in the present or recent past."
"What is installation art?","Large-scale artworks arranged within a space."
"What is performance art?","Art involving live actions by the artist."
"What is mixed media?","Art using multiple materials and techniques."
"What is abstraction?","Art not attempting realistic representation."
"What is realism in art?","Accurate representation of subjects."
"What is modernism?","A movement breaking away from traditional artistic styles."
"What is postmodernism?","An approach questioning traditional artistic ideas and meanings."
