Front,Back
"What is the UK constitution?","The set of rules and principles that govern the UK."
"What are the main sources of the UK constitution?","Statute law, common law, conventions, authoritative works and treaties."
"What is a codified constitution?","A constitution written in a single document."
"What is an uncodified constitution?","A constitution not contained in a single document."
"What is parliamentary sovereignty?","The principle that Parliament is the supreme legal authority in the UK."
"What is the rule of law?","The principle that everyone is subject to the law equally."
"What is entrenchment?","When laws are protected from easy amendment."
"What is devolution?","The transfer of powers from central government to regional bodies."
"What is the significance of the Human Rights Act 1998?","It incorporated the European Convention on Human Rights into UK law."
"What constitutional reforms were introduced under Labour after 1997?","Devolution, Human Rights Act, Supreme Court creation and House of Lords reform."
"What is the role of the House of Commons?","To make laws, scrutinise government and represent constituents."
"What is the role of the House of Lords?","To revise legislation and scrutinise government."
"What is the legislative process?","The stages a bill passes through to become law."
"What are the stages of a bill?","First reading, second reading, committee stage, report stage, third reading and royal assent."
"What is royal assent?","Formal approval by the monarch for a bill to become law."
"What is parliamentary scrutiny?","The examination and questioning of government actions."
"What are select committees?","Cross-party committees that scrutinise government departments."
"What is collective ministerial responsibility?","Cabinet ministers must publicly support government decisions."
"What is individual ministerial responsibility?","Ministers are responsible for their department's actions."
"What is executive dominance?","The idea that the government dominates Parliament."
"What factors strengthen executive dominance?","Party discipline, majority governments and patronage powers."
"What is the role of the Prime Minister?","To lead the government and set policy direction."
"What powers does the Prime Minister have?","Appointing ministers, leading Cabinet and controlling the legislative agenda."
"What is the Cabinet?","The senior decision-making body of government ministers."
"What is the core executive?","The network of institutions and actors involved in governing."
"What is a cabinet reshuffle?","When the Prime Minister changes ministerial positions."
"What is the difference between Cabinet government and prime ministerial government?","Cabinet government emphasises collective decision-making, while prime ministerial government focuses on PM dominance."
"What is judicial independence?","The judiciary's freedom from political influence."
"What is judicial neutrality?","Judges applying the law without bias."
"What is judicial review?","The power of courts to review actions of public bodies."
"What is the UK Supreme Court?","The highest court in the UK."
"When was the Supreme Court established?","2009."
"What replaced the Appellate Committee of the House of Lords?","The UK Supreme Court."
"What is the separation of powers?","The division of government into branches with separate powers."
"What is a constitutional convention?","An unwritten rule considered binding through custom."
"What is statute law?","Law passed by Parliament."
"What is common law?","Law developed through court judgments."
"What are authoritative works?","Expert writings used as constitutional guidance."
"What was the impact of Brexit on the constitution?","It raised questions about sovereignty and devolved powers."
"What is the Salisbury Convention?","The Lords should not block manifesto commitments."
"What is the Parliament Acts 1911 and 1949?","Acts limiting the powers of the House of Lords."
"What is a life peer?","A member of the House of Lords appointed for life."
"What is a hereditary peer?","A peer who inherits their title."
"What is a white paper?","A government proposal document."
"What is a green paper?","A consultation document inviting discussion."
"What is Prime Minister's Questions?","A weekly session where the PM answers MPs' questions."
"What is the significance of select committees?","They improve accountability and scrutiny."
"What is a free vote?","A vote where MPs can vote according to conscience rather than party lines."
"What is a whip?","An MP responsible for party discipline."
"What is a three-line whip?","A strict instruction to attend and vote with the party."
"What is the payroll vote?","MPs who hold government positions and usually support the government."
"What is bicameralism?","A system with two legislative chambers."
"What is unicameralism?","A system with one legislative chamber."
"What are delegated powers?","Powers transferred from Parliament to ministers or bodies."
"What is secondary legislation?","Law made under powers delegated by Parliament."
"What is the sovereignty of Parliament limited by?","Devolution, international obligations and political realities."
"What is the Fixed-term Parliaments Act 2011?","An act that set fixed election dates."
"When was the Fixed-term Parliaments Act repealed?","2022."
"What is the Dissolution and Calling of Parliament Act 2022?","An act restoring PM power to request elections."
"What is the role of the monarch in Parliament?","Opening Parliament and granting royal assent."
"What is constitutional reform?","Changes made to the constitution."
"What are the strengths of the UK constitution?","Flexible and adaptable."
"What are the weaknesses of the UK constitution?","Lack of clarity and limited rights protection."
"What is the role of the Speaker of the House of Commons?","To maintain order and ensure rules are followed."
"What is parliamentary privilege?","Special legal rights protecting parliamentary speech."
"What is the purpose of the House of Lords?","To revise and scrutinise legislation."
"What criticisms exist of the House of Lords?","It is unelected and seen as unrepresentative."
"What is a referendum?","A public vote on a specific issue."
"What was the significance of the 2016 Brexit referendum?","The UK voted to leave the EU."
"What is the role of the Attorney General?","Chief legal adviser to the government."
"What is judicial activism?","Judges taking an active role in shaping policy through rulings."
"What is judicial restraint?","Judges avoiding interference in political matters."
"What is the Constitutional Reform Act 2005?","An act reforming the judiciary and creating the Supreme Court."
"What is the relationship between Parliament and the judiciary?","Parliament makes laws while courts interpret them."
"What are checks and balances?","Mechanisms limiting power between branches of government."
"What is the role of opposition parties in Parliament?","To scrutinise and challenge the government."
"What is the official opposition?","The largest opposition party in the Commons."
"What is a shadow cabinet?","Opposition spokespeople mirroring government ministers."
"What is ministerial accountability?","The requirement for ministers to explain actions to Parliament."
"What is the difference between political and legal sovereignty?","Political sovereignty rests with the people, legal sovereignty with Parliament."
"What is the significance of devolution for the UK constitution?","It decentralised political power."
"What are reserved powers?","Powers kept by the UK Parliament."
"What are devolved powers?","Powers transferred to devolved governments."
"What is the West Lothian Question?","Why MPs from devolved nations can vote on England-only matters."
"What is the role of the Supreme Court in devolution disputes?","To resolve legal disagreements over powers."
"What is constitutional monarchy?","A system where the monarch's powers are limited by law and convention."
