Front,Back
What is weather?,"Short term atmospheric conditions."
What is climate?,"Average weather over long period."
What is climate change?,"Long term shift in global temperatures."
What causes climate change?,"Greenhouse gas increase."
What is the greenhouse effect?,"Heat trapped by gases in atmosphere."
Name greenhouse gases,"Carbon dioxide methane water vapour."
What is global warming?,"Increase in Earth's average temperature."
What is mitigation?,"Reducing causes of climate change."
What is adaptation?,"Adjusting to climate change impacts."
What is tectonic plate?,"Large section of Earth's crust."
What is plate boundary?,"Where two plates meet."
What is destructive boundary?,"Plates collide."
What is constructive boundary?,"Plates move apart."
What is conservative boundary?,"Plates slide past."
What causes earthquakes?,"Sudden release of energy at fault."
What is magnitude?,"Strength of earthquake."
What is epicentre?,"Point above focus on surface."
What is tsunami?,"Large sea wave from earthquake."
What is volcano?,"Opening in crust releasing lava."
What is lava?,"Molten rock above ground."
What is magma?,"Molten rock underground."
What is composite volcano?,"Steep volcano with explosive eruptions."
What is shield volcano?,"Wide volcano with gentle eruptions."
What is convection current?,"Movement in mantle driving plates."
What is weathering?,"Breakdown of rock."
What is erosion?,"Wearing away of land."
What is transportation?,"Movement of material."
What is deposition?,"Dropping of material."
What is hydraulic action?,"Force of water breaking rock."
What is abrasion?,"Rock fragments scraping."
What is solution?,"Rock dissolved."
What is attrition?,"Rocks collide and break."
What is a river source?,"Start of river."
What is mouth of river?,"Where river meets sea."
What is meander?,"Bend in river."
What is oxbow lake?,"Cut off meander."
What is floodplain?,"Flat land near river."
What is levee?,"Raised river bank."
What is delta?,"Deposit at river mouth."
What is hard engineering?,"Building structures to control nature."
What is soft engineering?,"Working with natural processes."
What is longshore drift?,"Movement of sediment along coast."
What is headland?,"Land jutting into sea."
What is bay?,"Curved inlet."
What is stack?,"Isolated rock column."
What is spit?,"Narrow ridge of sand."
What is sustainable development?,"Meeting needs without harming future."
What is urbanisation?,"Growth of cities."
What is megacity?,"City over ten million."
What is rural urban migration?,"Movement from countryside to city."
What is urban sprawl?,"City spreading outward."
What is brownfield site?,"Previously developed land."
What is greenfield site?,"Undeveloped land."
What is regeneration?,"Improving urban area."
What is LIC?,"Low income country."
What is NEE?,"Newly emerging economy."
What is HIC?,"High income country."
What is development?,"Improvement in quality of life."
What is GDP?,"Total value of goods and services."
What is HDI?,"Human Development Index."
What is life expectancy?,"Average age people live."
What is birth rate?,"Number of births per thousand."
What is death rate?,"Number of deaths per thousand."
What is natural increase?,"Birth rate minus death rate."
What is dependency ratio?,"Non working compared to working."
What is ageing population?,"High proportion elderly."
What is youthful population?,"High proportion young."
What is globalisation?,"Increasing global connections."
What is trade?,"Buying and selling goods."
What is fair trade?,"Ensuring fair wages."
What is tourism?,"Travel for leisure."
What is ecotourism?,"Sustainable tourism."
What is resource management?,"Careful use of resources."
What is renewable resource?,"Resource that replenishes."
What is non renewable resource?,"Resource that runs out."
What is water security?,"Reliable access to water."
What is food security?,"Reliable access to food."
What is energy security?,"Reliable access to energy."
What is desertification?,"Land becoming desert."
What is deforestation?,"Clearing of forests."
What is biodiversity?,"Variety of living organisms."
What is ecosystem?,"Community of living things."
What is biome?,"Large global ecosystem."
What is tropical rainforest?,"Hot wet biome near equator."
What is savanna?,"Grassland biome."
What is tundra?,"Cold treeless biome."
What is soil erosion?,"Loss of topsoil."
What is overgrazing?,"Too many animals feeding."
What is overpopulation?,"Too many people for resources."
What is slum?,"Poor urban housing."
What is informal economy?,"Jobs not taxed or regulated."
What is sustainable city?,"City designed for long term living."
What is urban heat island?,"City warmer than countryside."
What is hazard?,"Natural event threatening people."
What is risk?,"Chance of hazard causing harm."
What is vulnerability?,"How exposed people are."
What is resilience?,"Ability to recover."
What is primary sector?,"Raw materials jobs."
What is secondary sector?,"Manufacturing jobs."
What is tertiary sector?,"Service jobs."
What is quaternary sector?,"Knowledge jobs."
What is migration?,"Movement of people."
What is push factor?,"Reason to leave."
What is pull factor?,"Reason to move."
What is refugee?,"Person fleeing danger."
What is remittance?,"Money sent home."
What is carbon footprint?,"Amount of carbon produced."
What is renewable energy example?,"Wind power."
What is non renewable energy example?,"Coal."
What is fieldwork?,"Collecting primary data."
What is primary data?,"Data collected yourself."
What is secondary data?,"Data collected by others."
What is questionnaire?,"Set of questions."
What is sampling?,"Selecting group to study."
What is random sampling?,"Choosing at random."
What is systematic sampling?,"Choosing at intervals."
What is choropleth map?,"Map shading areas."
What is GIS?,"Geographical Information System."
What is population pyramid?,"Graph showing age structure."
What is carrying capacity?,"Maximum population supported."
What is urban sustainability?,"City meeting needs long term."
What is flood management?,"Reducing flood risk."
What is drought?,"Long period without rain."
What is monsoon?,"Seasonal heavy rain."
What is climate graph?,"Graph showing temperature and rainfall."
What is contour line?,"Line showing height."
What is relief?,"Shape of land."
What is plateau?,"High flat land."
What is delta formation?,"Deposition at river mouth."
What is coastal retreat?,"Erosion causing coastline move."
What is managed retreat?,"Allowing coastline to flood."
What is sea wall?,"Concrete coastal defence."
What is groyne?,"Structure trapping sediment."
What is fair trade aim?,"Improve wages and conditions."
What is development gap?,"Difference between rich and poor."
What is sustainable transport?,"Low carbon transport."
What is urban planning?,"Designing city layout."
What is migration impact positive?,"Cultural diversity."
What is migration impact negative?,"Pressure on services."
