Front,Back
What is a prime number?,"A number with exactly two factors."
What is a factor?,"A number that divides exactly."
What is a multiple?,"A number in times table."
What is highest common factor?,"Largest shared factor."
What is lowest common multiple?,"Smallest shared multiple."
What is a square number?,"Number multiplied by itself."
What is a cube number?,"Number multiplied by itself twice."
What is BIDMAS?,"Order of operations."
What is rounding?,"Approximating to nearest value."
What is estimation?,"Finding approximate answer."
What is negative times negative?,"Positive."
What is positive times negative?,"Negative."
What is fraction?,"Part of whole."
What is improper fraction?,"Top larger than bottom."
What is mixed number?,"Whole number and fraction."
How do you add fractions?,"Find common denominator."
How do you multiply fractions?,"Multiply top and bottom."
How do you divide fractions?,"Flip second and multiply."
What is percentage?,"Out of one hundred."
How to find percentage of number?,"Multiply by percentage as decimal."
What is ratio?,"Comparison between amounts."
How to simplify ratio?,"Divide by common factor."
What is proportion?,"Two ratios equal."
What is direct proportion?,"Increase together."
What is inverse proportion?,"One increases other decreases."
What is mean?,"Average total divided by number."
What is median?,"Middle value."
What is mode?,"Most common value."
What is range?,"Highest minus lowest."
What is probability?,"Chance of event."
What is probability scale?,"Zero to one."
What is independent event?,"One does not affect other."
What is dependent event?,"One affects other."
What is variable?,"Letter representing number."
What is expression?,"Maths statement with numbers and letters."
What is equation?,"Statement with equals sign."
How to solve one step equation?,"Inverse operation."
What is expanding bracket?,"Multiply terms inside."
What is factorising?,"Writing as brackets."
What is term?,"Single part of expression."
What is coefficient?,"Number before letter."
What is perimeter?,"Distance around shape."
What is area of rectangle?,"Length times width."
What is area of triangle?,"Half base times height."
What is area of circle?,"Pi r squared."
What is circumference?,"Two pi r."
What is volume of cuboid?,"Length times width times height."
What is Pythagoras theorem?,"a squared plus b squared equals c squared."
What is angle sum of triangle?,"180 degrees."
What is angle sum of quadrilateral?,"360 degrees."
What is complementary angle?,"Adds to 90."
What is supplementary angle?,"Adds to 180."
What is parallel lines angle rule?,"Alternate angles equal."
What is vertically opposite angles?,"Equal angles."
What is reflection?,"Flip shape."
What is rotation?,"Turn shape."
What is translation?,"Slide shape."
What is enlargement?,"Scale change."
What is scale factor?,"Multiplier for enlargement."
What is gradient?,"Change in y over x."
What is equation of line?,"y equals m x plus c."
What is frequency?,"How often something occurs."
What is tally?,"Counting marks."
What is bar chart?,"Graph with bars."
What is pie chart?,"Circle graph showing proportion."
What is scatter graph?,"Shows correlation."
What is positive correlation?,"Both increase."
What is negative correlation?,"One increases one decreases."
What is standard form?,"Number between one and ten times power of ten."
What is index law multiplication?,"Add powers."
What is index law division?,"Subtract powers."
What is square root?,"Number multiplied by itself gives original."
What is rounding to significant figures?,"Start from first non zero."
What is compound interest?,"Interest on interest."
What is simple interest?,"Interest on original amount."
What is speed formula?,"Distance divided by time."
What is density formula?,"Mass divided by volume."
What is converting units?,"Change measurement scale."
What is net?,"2D pattern of 3D shape."
What is symmetry?,"Matching halves."
What is line of symmetry?,"Line dividing shape equally."
What is probability formula?,"Favourable over total."
What is tree diagram?,"Shows probability paths."
What is solving inequality?,"Find values making true."
What is rounding money?,"Two decimal places."
What is average speed?,"Total distance divided by total time."
What is percentage increase?,"Increase divided by original times 100."
What is percentage decrease?,"Decrease divided by original times 100."
What is mean from frequency table?,"Total fx divided by total f."
What is two way table?,"Table showing two variables."
What is Venn diagram?,"Overlapping circles."
What is solving simultaneous equations?,"Find values satisfying both."
What is nth term?,"Formula for sequence."
What is arithmetic sequence?,"Constant difference."
What is area of trapezium?,"Half sum of parallel sides times height."
What is volume of prism?,"Area of cross section times length."
What is circle theorem angle at centre?,"Twice angle at edge."
What is probability of impossible event?,"Zero."
What is probability of certain event?,"One."
What is converting fraction to decimal?,"Divide top by bottom."
What is converting decimal to percentage?,"Multiply by 100."
What is factor tree?,"Breaking into primes."
What is prime factorisation?,"Writing as product of primes."
What is rounding to nearest ten?,"Look at units digit."
What is histogram?,"Bar chart for grouped data."
What is frequency density?,"Frequency divided by class width."
What is cumulative frequency?,"Running total."
What is box plot?,"Shows quartiles."
What is interquartile range?,"Upper quartile minus lower quartile."
What is range?,"Highest minus lowest."
What is solving formula?,"Make subject."
What is rearranging equation?,"Move variables."
What is bearing?,"Angle from north."
What is congruent?,"Exactly same size and shape."
What is similar?,"Same shape different size."
What is ratio scale?,"Multiply to convert."
What is estimate mean?,"Midpoint times frequency divided total."
What is error interval?,"Range rounding gives."
What is surface area?,"Total outside area."
What is volume of cylinder?,"Pi r squared h."
What is solving by trial and improvement?,"Try values until correct."
What is sample space?,"All possible outcomes."
What is scatter graph line of best fit?,"Trend line."
What is solve by substitution?,"Replace variable."
What is solve by elimination?,"Add equations."
What is rounding to decimal places?,"Count from decimal point."
What is midpoint of line?,"Add coordinates divide by two."
What is translation vector?,"Movement instruction."
What is compound measure?,"Rate combining quantities."
What is inverse operation?,"Opposite operation."

