Front,Back
What is the marketing mix?,The combination of product price promotion and place used to market products.
What are the 4Ps of the marketing mix?,Product price promotion and place.
What is a product?,A good or service offered to customers.
What is product design?,The appearance features and function of a product.
Why is product design important?,It helps attract customers and meet their needs.
What is product quality?,How well a product performs its function.
Why is product quality important?,High quality can improve reputation and customer loyalty.
What is branding?,Creating a unique identity for a product or business.
Why is branding important?,It helps products stand out from competitors.
What is packaging?,The materials used to contain and present a product.
Why is packaging important?,It protects products and attracts customers.
What is a brand logo?,A symbol used to identify a business or product.
What is product differentiation?,Making a product different from competitors.
What is a USP?,A unique selling point that makes a product distinctive.
What is a product line?,A range of related products sold by a business.
What is a product portfolio?,All the products sold by a business.
What is the product life cycle?,The stages a product goes through over time.
What are the stages of the product life cycle?,Introduction growth maturity and decline.
What happens in the introduction stage?,Sales are low and promotion costs are high.
What happens in the growth stage?,Sales increase rapidly.
What happens in the maturity stage?,Sales growth slows due to competition.
What happens in the decline stage?,Sales begin to fall.
What is an extension strategy?,Actions taken to extend a product’s life cycle.
Give one example of an extension strategy.,New advertising or packaging.
What is product innovation?,Developing new or improved products.
Why is innovation important?,It helps businesses remain competitive.
What is price?,The amount charged for a product or service.
What is a pricing strategy?,A method used to decide product prices.
What is cost-plus pricing?,Adding a markup to the cost of production.
What is penetration pricing?,Setting a low price to gain market share quickly.
What is price skimming?,Charging a high initial price before lowering it later.
What is competitive pricing?,Setting prices based on competitors’ prices.
What is promotional pricing?,Temporary price reductions to increase sales.
What is psychological pricing?,Using prices that appear cheaper such as £9.99.
What is dynamic pricing?,Changing prices according to demand.
What is price elasticity of demand?,How demand changes when prices change.
What is inelastic demand?,Demand changes little when prices change.
What is elastic demand?,Demand changes greatly when prices change.
Why is pricing important?,It affects sales revenue and profit.
What is promotion?,Communication used to inform and persuade customers.
What are the main methods of promotion?,Advertising sales promotion public relations and personal selling.
What is advertising?,Paid communication used to promote products.
What is informative advertising?,Advertising that provides factual information.
What is persuasive advertising?,Advertising designed to encourage purchases.
What is reminder advertising?,Advertising used to keep products in customers’ minds.
What is sales promotion?,Short-term incentives to encourage purchases.
Give one example of sales promotion.,Discounts or buy one get one free offers.
What is personal selling?,Direct communication between sales staff and customers.
What is public relations PR?,Activities used to create a positive business image.
Why is PR important?,It improves reputation and customer trust.
What is sponsorship?,Supporting events or organisations to promote a brand.
What is digital marketing?,Promoting products using digital technologies.
What is social media marketing?,Using social media platforms to promote products.
Why is social media marketing effective?,It reaches large audiences quickly and cheaply.
What is influencer marketing?,Using influencers to promote products to followers.
What is email marketing?,Sending promotional messages through email.
What is viral marketing?,Marketing shared rapidly online by users.
What is place in the marketing mix?,How products are distributed to customers.
What is distribution?,The process of getting products to customers.
What is a distribution channel?,The route products take from producer to customer.
What is direct distribution?,Selling directly to customers without intermediaries.
What is indirect distribution?,Using intermediaries such as wholesalers or retailers.
What is a retailer?,A business selling directly to consumers.
What is a wholesaler?,A business buying in bulk and selling to retailers.
What is e-commerce?,Buying and selling products online.
Why has e-commerce grown?,Greater convenience and internet access.
What is multichannel distribution?,Selling products through several channels.
What is market positioning?,Creating a specific image in customers’ minds.
How can businesses position products?,Through price quality branding or features.
What is a premium brand?,A product positioned as high quality and expensive.
What is mass marketing?,Selling one product to a broad market.
What is niche marketing?,Targeting a small specialised market segment.
Why might businesses use niche marketing?,To focus on specific customer needs.
What is segmentation?,Dividing a market into groups with similar characteristics.
What is a target market?,The group of customers a business aims to sell to.
Why is targeting important?,It improves marketing effectiveness.
What is customer loyalty?,When customers repeatedly buy from the same business.
How can businesses build loyalty?,Quality products rewards and customer service.
What is customer retention?,Keeping existing customers over time.
Why is customer retention important?,Existing customers are cheaper to keep.
What is market share?,The percentage of total sales controlled by a business.
How can promotion increase market share?,By attracting more customers and boosting sales.
What is brand awareness?,How familiar customers are with a brand.
How can businesses increase brand awareness?,Advertising sponsorship and social media.
What is customer engagement?,Interaction between businesses and customers.
Why is customer engagement important?,It strengthens relationships and loyalty.
What is above-the-line promotion?,Mass media advertising aimed at large audiences.
What is below-the-line promotion?,Targeted promotional activities such as direct mail.
What is guerrilla marketing?,Unusual low-cost promotional methods to attract attention.
What is the purpose of packaging?,Protection information and promotion.
What is ethical marketing?,Marketing products honestly and responsibly.
Why is ethical marketing important?,It improves trust and reputation.
What is sustainable marketing?,Marketing that considers environmental impact.
Why are businesses using sustainable marketing?,Customers increasingly value sustainability.
What is relationship marketing?,Building long-term relationships with customers.
What is a loyalty card?,A scheme rewarding repeat purchases.
Why do businesses use loyalty schemes?,To encourage repeat buying.
What is customer perception?,How customers view a product or brand.
How can advertising affect perception?,It shapes opinions and brand image.
What is repositioning?,Changing how customers view a product.
Why might businesses reposition products?,To attract new customers or increase sales.
What is product branding?,Giving products a recognisable identity.
What is generic branding?,Selling products without strong branding.
Why might businesses use generic branding?,To compete on lower prices.
What is market saturation?,A market with many similar products and little growth.
Why is market saturation challenging?,Competition is intense and growth is limited.
What is convenience in marketing?,Making products easy to buy and use.
How can businesses improve convenience?,Online shopping and faster delivery.
