"Front","Back"
"What is photosynthesis?","The process by which plants convert light energy into chemical energy."
"What is the photosynthesis equation?","Carbon dioxide + water → glucose + oxygen."
"What organelle carries out photosynthesis?","Chloroplast."
"What pigment absorbs light energy?","Chlorophyll."
"What are chloroplasts?","Organelles where photosynthesis occurs."
"What structures are inside chloroplasts?","Thylakoids and stroma."
"What are thylakoids?","Membrane sacs where light reactions occur."
"What are grana?","Stacks of thylakoids."
"What is the stroma?","Fluid around thylakoids where the Calvin cycle occurs."
"What are the two stages of photosynthesis?","Light-dependent and light-independent reactions."
"What occurs in the light-dependent reaction?","Light energy produces ATP and NADPH."
"What occurs in the light-independent reaction?","Carbon dioxide is fixed to form glucose."
"What is photolysis?","Splitting of water using light energy."
"What are the products of photolysis?","Electrons, protons and oxygen."
"What happens to oxygen in photolysis?","Released as a by-product."
"What is ATP?","Energy-carrying molecule used in cells."
"What does ATP provide in photosynthesis?","Energy for carbon fixation."
"What is NADP?","Electron carrier molecule."
"What is reduced NADP?","NADP that has gained electrons and hydrogen."
"What does reduced NADP provide?","Hydrogen for glucose synthesis."
"What is photosystem II?","Protein complex that absorbs light first."
"What is photosystem I?","Protein complex that re-energises electrons."
"What is the electron transport chain?","Series of proteins transferring electrons."
"What is photophosphorylation?","Production of ATP using light energy."
"What is cyclic photophosphorylation?","ATP production without NADPH formation."
"What is non-cyclic photophosphorylation?","Production of ATP, NADPH and oxygen."
"What is the Calvin cycle?","Light-independent reaction producing carbohydrates."
"What enzyme fixes carbon dioxide?","RuBisCO."
"What is carbon fixation?","Incorporation of carbon dioxide into organic molecules."
"What molecule is produced in the Calvin cycle?","Triose phosphate (TP)."
"What is TP used for?","Producing glucose and other molecules."
"What happens to most TP?","Regenerates RuBP."
"What is RuBP?","Five-carbon molecule accepting CO2."
"What happens when CO2 combines with RuBP?","Forms an unstable 6-carbon compound."
"What does the unstable compound split into?","Two molecules of GP."
"What is GP?","Glycerate-3-phosphate."
"What converts GP to TP?","ATP and reduced NADP."
"What is glucose used for in plants?","Respiration and building molecules."
"What molecules can be made from glucose?","Starch, cellulose, lipids and proteins."
"What is starch used for?","Energy storage in plants."
"What is cellulose used for?","Plant cell walls."
"What is sucrose used for?","Transport sugar in plants."
"What is photosynthetic efficiency?","Effectiveness of converting light to chemical energy."
"What are limiting factors of photosynthesis?","Light intensity, CO2 concentration and temperature."
"What happens when light intensity increases?","Photosynthesis rate increases until plateau."
"What happens when CO2 increases?","Photosynthesis rate increases."
"What happens when temperature rises?","Rate increases until enzymes denature."
"What is the compensation point?","When photosynthesis equals respiration."
"What is the light compensation point?","Light level where oxygen production equals consumption."
"What is the action spectrum?","Graph showing wavelengths used in photosynthesis."
"What wavelengths are most absorbed?","Red and blue."
"What is the absorption spectrum?","Graph showing light absorption by pigments."
"What pigments are involved in photosynthesis?","Chlorophyll a, chlorophyll b and carotenoids."
"What is chlorophyll a?","Primary photosynthetic pigment."
"What is chlorophyll b?","Accessory pigment aiding absorption."
"What are carotenoids?","Pigments absorbing additional wavelengths."
"What is the role of pigments?","Capture light energy."
"What is a photosystem?","Cluster of pigments in thylakoid membrane."
"What is photoinhibition?","Damage from excessive light."
"What is the role of magnesium in chlorophyll?","Central atom enabling light absorption."
"What factors affect enzyme activity in photosynthesis?","Temperature and pH."
"What happens to photosynthesis in drought?","Stomata close reducing CO2."
"What are stomata?","Pores controlling gas exchange."
"What cells control stomata?","Guard cells."
"What gas enters leaves for photosynthesis?","Carbon dioxide."
"What gas exits leaves?","Oxygen."
"What structure in leaves increases surface area?","Mesophyll cells."
"What are palisade mesophyll cells?","Cells rich in chloroplasts."
"What are spongy mesophyll cells?","Cells aiding gas diffusion."
"What is transpiration?","Loss of water from leaves."
"What is the link between transpiration and photosynthesis?","Water supply supports photosynthesis."
"What is photorespiration?","RuBisCO fixing oxygen instead of CO2."
"What causes photorespiration?","Low CO2 and high oxygen."
"What reduces photorespiration?","High CO2 concentration."
"What is carbon fixation efficiency?","Effectiveness of CO2 incorporation."
"What is the importance of ATP in photosynthesis?","Energy for Calvin cycle."
"What is the importance of NADPH?","Provides reducing power."
"What is a limiting factor experiment?","Testing effect of one variable on photosynthesis."
"What apparatus measures photosynthesis rate?","Photosynthometer."
"What is the role of light in photolysis?","Excites electrons."
"What is the electron flow in photosynthesis?","Movement from water through photosystems."
"What is the proton gradient?","Difference in proton concentration."
"What role does proton gradient play?","Drives ATP synthesis."
"What enzyme produces ATP in chloroplasts?","ATP synthase."
"What is photophosphorylation location?","Thylakoid membrane."
"What is the Calvin cycle location?","Stroma."
"What are primary photosynthetic products?","ATP and NADPH."
"What happens to oxygen produced?","Released into atmosphere."
"What is global importance of photosynthesis?","Produces oxygen and food."
"What organisms perform photosynthesis?","Plants, algae and cyanobacteria."
"What is the importance of chloroplast membranes?","Site of electron transport."
"What is a granum?","Stack of thylakoids."
"What does photosynthesis convert?","Light energy into chemical energy."
"What is the overall purpose of photosynthesis?","Produce glucose for energy and growth."
"What role does water play?","Electron source."
"What role does CO2 play?","Carbon source for glucose."
"What role does light play?","Energy source."
"What is energy stored as after photosynthesis?","Glucose."
"What is photosynthetic productivity?","Rate of biomass production."
"What is the ecological importance of photosynthesis?","Supports food chains."
