"Front","Back"
"What is sociology?","The study of society, social relationships and institutions."
"What is a theory?","A set of ideas used to explain social phenomena."
"What is positivism?","Approach using scientific, quantitative methods."
"What is interpretivism?","Approach focusing on meanings and qualitative methods."
"What is objectivity?","Research free from bias."
"What is subjectivity?","Influence of researcher’s values."
"What is a hypothesis?","A testable statement."
"What is reliability?","Consistency of results."
"What is validity?","Accuracy and truthfulness of data."
"What is representativeness?","How well a sample reflects the population."
"What is generalisation?","Applying findings to wider population."
"What is quantitative data?","Numerical data."
"What is qualitative data?","Descriptive data."
"What is primary data?","Data collected first-hand."
"What is secondary data?","Data collected by others."
"What is a questionnaire?","Set of written questions."
"What is a structured interview?","Standardised questions."
"What is an unstructured interview?","Open-ended discussion."
"What is participant observation?","Researcher joins group."
"What is non-participant observation?","Researcher observes without joining."
"What is overt observation?","Participants know they are being studied."
"What is covert observation?","Participants unaware of research."
"What is a pilot study?","Trial run of research."
"What is sampling?","Selecting participants."
"What is random sampling?","Selection by chance."
"What is stratified sampling?","Sample reflects population structure."
"What is opportunity sampling?","Using available participants."
"What is snowball sampling?","Participants recruit others."
"What is a longitudinal study?","Research over time."
"What is a cross-sectional study?","Research at one point in time."
"What is validity in qualitative research?","Understanding meanings accurately."
"What is reliability in quantitative research?","Consistency of measurements."
"What is triangulation?","Using multiple methods."
"What is methodological pluralism?","Using different methods together."
"What is an ethical issue?","Moral concern in research."
"What is informed consent?","Participants agree to take part."
"What is confidentiality?","Keeping identities private."
"What is harm to participants?","Risk of physical or psychological harm."
"What is deception?","Misleading participants."
"What is a practical issue?","Time, cost, access."
"What is access?","Ability to reach participants."
"What is gatekeeper?","Person controlling access."
"What is a theoretical issue?","Concerns about data quality."
"What is value freedom?","Research without bias."
"What did Weber argue?","Sociology should understand meanings."
"What is verstehen?","Understanding social actions."
"What is a case study?","In-depth study of one example."
"What is official statistics?","Data collected by government."
"What is a strength of official stats?","Large scale and reliable."
"What is a weakness of official stats?","May lack validity."
"What is a strength of questionnaires?","High reliability."
"What is a weakness of questionnaires?","Low validity."
"What is a strength of interviews?","High validity."
"What is a weakness of interviews?","Low reliability."
"What is a strength of observations?","Detailed insights."
"What is a weakness of observations?","Time consuming."
"What is Hawthorne effect?","Behaviour changes when observed."
"What is researcher bias?","Influence of researcher values."
"What is rapport?","Trust between researcher and participants."
"What is detachment?","Researcher remains distant."
"What is feminist methodology?","Focus on women’s experiences."
"What is Marxist methodology?","Focus on inequality and power."
"What is interpretivist critique of positivism?","Ignores meanings."
"What is positivist critique of interpretivism?","Lacks reliability."
"What is a strength of mixed methods?","Improves validity."
"What is a weakness of mixed methods?","Time consuming."
"What is experimental method?","Controlled testing of variables."
"What is lab experiment?","Artificial setting."
"What is field experiment?","Real-world setting."
"What is a strength of experiments?","High control."
"What is a weakness of experiments?","Low realism."
"What is operationalisation?","Defining variables clearly."
"What is correlation?","Relationship between variables."
"What is causation?","One variable causes another."
"What is a control variable?","Factor kept constant."
"What is a dependent variable?","Outcome measured."
"What is an independent variable?","Variable changed."
"What is a structured observation?","Using pre-set categories."
"What is an unstructured observation?","Open recording."
"What is overt research strength?","Ethical."
"What is covert research strength?","More valid behaviour."
"What is covert research weakness?","Ethical issues."
"What is big data?","Large digital datasets."
"What is digital sociology?","Study of online behaviour."
"What is a strength of big data?","Large scale."
"What is a weakness of big data?","Lacks depth."
"What is a key AO3 point?","No method is perfect."
"What is triangulation strength?","Improves reliability and validity."
"What is triangulation weakness?","Complex and costly."
"What is a strong essay tip?","Link method to theory."
"What is AO1?","Knowledge."
"What is AO2?","Application."
"What is AO3?","Evaluation."
"What is a strong evaluation phrase?","However, this method is limited because..."
"What is a strong conclusion tip?","Balance strengths and weaknesses."
