"Front","Back"
"Who is Usain Bolt?","World record 100m sprinter"
"What energy system does Usain Bolt primarily use?","ATP-PC system"
"Why does Usain Bolt use ATP-PC?","Short duration high intensity"
"What muscle fibres dominate in Usain Bolt?","Fast twitch fibres"
"Why are fast twitch fibres important for Bolt?","Explosive power and speed"
"What biomechanical principle helps Bolt sprint?","Force application into ground"
"What type of lever is used in sprinting?","Third class lever"
"What psychological factor helps Bolt perform?","High confidence"
"What training method does Bolt use?","Plyometric and sprint training"
"What is Bolt’s centre of mass important for?","Balance and acceleration"
"Who is Eliud Kipchoge?","Elite marathon runner"
"What energy system does Kipchoge use?","Aerobic system"
"Why does Kipchoge use aerobic system?","Long duration endurance"
"What muscle fibres dominate in Kipchoge?","Slow twitch fibres"
"What psychological factor helps Kipchoge?","Mental toughness"
"What pacing strategy does Kipchoge use?","Even pacing"
"What nutrition strategy does Kipchoge use?","High carbohydrate intake"
"What is Kipchoge’s VO2 max significance?","High aerobic capacity"
"What training method does Kipchoge use?","Continuous training"
"What recovery method does Kipchoge use?","Active recovery"
"Who is Simone Biles?","Elite gymnast"
"What type of skills does Biles perform?","Complex and closed skills"
"What psychological factor affects Biles?","Arousal control"
"What energy system does Biles use?","ATP-PC system"
"What biomechanical factor helps Biles?","Angular momentum"
"What lever system is used in gymnastics?","Third class lever"
"What training method does Biles use?","Skill repetition and strength"
"What is important for Biles’ balance?","Centre of mass control"
"What type of practice does Biles use?","Whole-part-whole"
"What anxiety management does Biles use?","Mental rehearsal"
"Who is Lionel Messi?","Professional footballer"
"What energy systems does Messi use?","Aerobic and anaerobic"
"What skill type does Messi use?","Open skills"
"What psychological factor helps Messi?","Decision making"
"What training method does Messi use?","Interval training"
"What biomechanical factor helps Messi?","Low centre of mass"
"What fitness component is key for Messi?","Agility"
"What type of movement does Messi use?","Multi-directional"
"What nutrition does Messi need?","Balanced diet"
"What recovery method does Messi use?","Rest and hydration"
"Who is Mo Farah?","Long distance runner"
"What energy system does Farah use?","Aerobic system"
"What training method does Farah use?","Interval training"
"What pacing does Farah use?","Negative split"
"What psychological factor helps Farah?","Motivation"
"What muscle fibres does Farah use?","Slow twitch"
"What biomechanical efficiency helps Farah?","Stride efficiency"
"What nutrition strategy does Farah use?","Carbohydrate loading"
"What recovery strategy does Farah use?","Sleep and nutrition"
"What VO2 max significance for Farah?","High endurance capacity"
"What is Farah’s lactate threshold?","Delayed fatigue point"
"Who is Serena Williams?","Professional tennis player"
"What energy systems does Serena use?","ATP-PC and glycolytic"
"What skill type does Serena use?","Open skills"
"What fitness components are key for Serena?","Power and agility"
"What biomechanical factor helps Serena serve?","Force summation"
"What psychological factor helps Serena?","Confidence"
"What training method does Serena use?","Interval and strength training"
"What nutrition does Serena need?","Protein and carbohydrates"
"What recovery method does Serena use?","Active recovery"
"What coordination is important for Serena?","Hand-eye coordination"
"Who is Michael Phelps?","Olympic swimmer"
"What energy system does Phelps use?","Aerobic and anaerobic"
"What biomechanical factor helps Phelps?","Streamlining"
"What reduces drag for Phelps?","Body position"
"What training method does Phelps use?","Continuous and interval"
"What muscle fibres does Phelps use?","Mixed fibres"
"What psychological factor helps Phelps?","Focus"
"What nutrition strategy does Phelps use?","High calorie intake"
"What recovery method does Phelps use?","Hydrotherapy"
"What fitness component is key for Phelps?","Cardiovascular endurance"
"What technique is important for Phelps?","Efficient stroke mechanics"
"Who is Cristiano Ronaldo?","Professional footballer"
"What fitness component is key for Ronaldo?","Power"
"What training method does Ronaldo use?","Strength and plyometrics"
"What biomechanical factor helps Ronaldo jump?","Force production"
"What energy system does Ronaldo use?","ATP-PC and aerobic"
"What psychological factor helps Ronaldo?","Motivation"
"What nutrition does Ronaldo follow?","Balanced high protein diet"
"What recovery method does Ronaldo use?","Cryotherapy"
"What skill type does Ronaldo use?","Open skills"
"What movement type does Ronaldo use?","Explosive"
"What body composition helps Ronaldo?","Low body fat"
"What is a case study in PE?","Applying theory to performer"
"What is AO2 in case studies?","Applying knowledge"
"What is AO3 in case studies?","Evaluating performance"
"What is a good case study answer?","Applied and detailed"
"What is a poor case study answer?","Generic and vague"
"What is linking theory?","Connecting to performer"
"What is application example?","Using athlete example"
"What is evaluation example?","Judging effectiveness"
"What is performance analysis?","Assessing athlete"
"What is training impact?","Effect on performance"
"What is nutrition impact?","Effect on energy"
"What is psychology impact?","Effect on mindset"
"What is biomechanics impact?","Effect on movement"
"What is energy system impact?","Effect on performance"
"What is skill acquisition impact?","Effect on learning"
"What is fitness component impact?","Effect on ability"
"What is data use in case study?","Supporting evidence"
"What is comparison?","Comparing athletes"
"What is elite vs beginner?","Different performance levels"
"What is application in exam?","Use athlete example"
"What is AO2 phrase example?","In a 100m sprint"
"What is AO3 phrase example?","However this depends"
"What is evaluation phrase?","This is effective because"
"What is judgement phrase?","Overall this is most important"
"What is synoptic link?","Linking topics"
"What is strong case study?","Detailed applied answer"
"What is weak case study?","Basic knowledge only"
"What is exam tip for case study?","Always name a sport"
"What is exam tip for AO2?","Use real example"
"What is exam tip for AO3?","Add evaluation"
"What is exam tip for A*?","Link multiple topics"
