Front,Back
"What is democracy?","A system where political power comes from the people."
"What is representative democracy?","Citizens elect representatives to make decisions on their behalf."
"What is direct democracy?","Citizens directly participate in decision-making."
"What is political participation?","Activities by citizens to influence politics."
"What is a pressure group?","An organised group seeking to influence government policy."
"What is an insider pressure group?","A group with close access to government."
"What is an outsider pressure group?","A group without regular government access."
"What is pluralism?","The idea that power is spread among many competing groups."
"What is participation crisis?","Low levels of engagement in politics."
"What is franchise?","The right to vote."
"What is universal suffrage?","The right of all adults to vote."
"What is the First Past the Post system?","The candidate with the most votes wins."
"What are safe seats?","Constituencies consistently won by the same party."
"What is a marginal seat?","A constituency with a small majority."
"What is proportional representation?","Electoral systems aiming for proportional outcomes."
"What is the Additional Member System?","A mixed electoral system using constituencies and party lists."
"What is the Single Transferable Vote system?","A proportional system where voters rank candidates."
"What is the Supplementary Vote system?","A system where voters rank first and second preferences."
"What are the advantages of First Past the Post?","Strong governments and simple voting."
"What are the disadvantages of First Past the Post?","Disproportionate results and wasted votes."
"What is a referendum?","A public vote on a political issue."
"What are the advantages of referendums?","Greater participation and legitimacy."
"What are the disadvantages of referendums?","Oversimplification and low-quality debate."
"What is suffrage extension?","The expansion of voting rights."
"What is voting behaviour?","Patterns explaining how people vote."
"What is class alignment?","Voting based on social class."
"What is class dealignment?","Declining links between class and voting."
"What is partisan dealignment?","Weakening loyalty to political parties."
"What is valence politics?","Voting based on competence rather than ideology."
"What is rational choice theory?","Voters choose parties that maximise personal benefit."
"What is the influence of the media on politics?","Media shapes public opinion and political agendas."
"What is the role of social media in politics?","It allows rapid political communication and campaigning."
"What is the Conservative Party ideology?","Traditionally supports free markets, authority and tradition."
"What is the Labour Party ideology?","Traditionally supports equality and social justice."
"What is the Liberal Democrat ideology?","Supports liberty, electoral reform and civil rights."
"What is factionalism?","Divisions within a political party."
"What is a coalition government?","A government formed by multiple parties."
"What was the Conservative-Liberal Democrat coalition?","The UK coalition government from 2010 to 2015."
"What is party funding?","How political parties raise money."
"What are short money payments?","Public funding for opposition parties."
"What is the role of opposition parties?","To challenge and scrutinise the government."
"What is the official opposition?","The largest opposition party in the Commons."
"What is a manifesto?","A document outlining party policies."
"What is party membership?","Citizens formally joining a political party."
"What is political apathy?","Lack of interest in politics."
"What is turnout?","The percentage of eligible voters who vote."
"What factors affect turnout?","Age, education, income and political engagement."
"What is tactical voting?","Voting strategically to influence the outcome."
"What is a by-election?","An election held between general elections for one seat."
"What is a general election?","A nationwide election to choose MPs."
"What is political sovereignty?","Ultimate political authority resting with the people."
"What is legitimacy?","Public acceptance of political authority."
"What is accountability?","Politicians being answerable for actions and decisions."
"What is representation?","Acting on behalf of citizens."
"What is descriptive representation?","Representatives reflecting society's characteristics."
"What is substantive representation?","Representatives advancing constituents' interests."
"What is a think tank?","An organisation researching and influencing policy."
"What is civil liberties?","Freedoms protecting individuals from government."
"What is rights protection?","Safeguarding individual freedoms and entitlements."
"What is democratic deficit?","A lack of democratic accountability or representation."
"What is sovereignty?","Supreme authority within a state."
"What was the significance of the 2016 EU referendum?","The UK voted to leave the European Union."
"What is political disengagement?","Reduced involvement in politics."
"What is populism?","Politics appealing directly to 'ordinary people' against elites."
"What is multi-party politics?","A system with several significant political parties."
"What is a two-party system?","A system dominated by two major parties."
"What is consensus politics?","Parties sharing similar political views."
"What is adversarial politics?","Politics based on conflict between parties."
"What is lobbying?","Attempting to influence political decisions."
"What is a single-issue pressure group?","A group focused on one issue."
"What is a sectional pressure group?","A group representing a specific section of society."
"What is political efficacy?","Belief that participation can influence politics."
"What is compulsory voting?","A system where citizens are legally required to vote."
"What is the secret ballot?","Voting conducted privately."
"What is electoral reform?","Changes to the electoral system."
"What is the Electoral Commission?","The body regulating elections and party finance in the UK."
"What is the role of MPs?","To represent constituents and scrutinise government."
"What is constituency work?","MPs helping local constituents with issues."
"What is devolution?","Transfer of powers from Westminster to regional bodies."
"What is the significance of devolution in UK politics?","It decentralised political power."
"What is political mandate?","Authority claimed after winning an election."
"What is media bias?","Media favouring a political viewpoint or party."
"What is party discipline?","Members following party instructions."
"What is a whip?","An official enforcing party discipline."
"What is a free vote?","A vote where MPs vote according to conscience."
