"Front","Back"
"What is displacement?","The distance moved in a specific direction"
"What is velocity?","Speed in a given direction"
"What is acceleration?","The rate of change of velocity"
"What is the formula for acceleration","Acceleration equals change in velocity divided by time"
"What is uniform acceleration?","Acceleration that remains constant"
"What is non-uniform acceleration?","Acceleration that changes over time"
"What is the difference between speed and velocity","Velocity includes direction speed does not"
"What is distance?","The total path length travelled"
"What is the unit of displacement","Metre m"
"What is the unit of velocity","Metres per second m/s"
"What is the unit of acceleration","Metres per second squared m/s squared"
"What does a straight line on a distance-time graph show","Constant speed"
"What does a curve on a distance-time graph show","Changing speed"
"What does the gradient of a distance-time graph represent","Speed"
"What does the gradient of a velocity-time graph represent","Acceleration"
"What does the area under a velocity-time graph represent","Displacement"
"What is Newtons First Law","An object remains at rest or in uniform motion unless acted on by a resultant force"
"What is inertia","The tendency of an object to resist changes in motion"
"What is Newtons Second Law","Force equals mass times acceleration"
"What is the formula for force","Force equals mass times acceleration"
"What is Newtons Third Law","For every action there is an equal and opposite reaction"
"What is mass?","The amount of matter in an object"
"What is weight?","The force due to gravity acting on a mass"
"What is the formula for weight","Weight equals mass times gravitational field strength"
"What is gravitational field strength","Force per unit mass"
"What is the unit of force","Newton N"
"What is a free body diagram","A diagram showing all forces acting on an object"
"What is a resultant force","The overall force acting on an object"
"What happens when resultant force is zero","Object remains at rest or moves at constant velocity"
"What happens when resultant force is not zero","Object accelerates"
"What is friction?","A force that opposes motion between surfaces"
"What is drag?","Air resistance opposing motion"
"What is terminal velocity?","The constant velocity when drag equals weight"
"What happens at terminal velocity","Acceleration becomes zero"
"What is resolving forces?","Breaking a force into perpendicular components"
"What is a component of a force","Part of a force in a given direction"
"What is equilibrium?","When all forces are balanced"
"What is the condition for equilibrium","Resultant force equals zero and resultant moment equals zero"
"What is a moment?","The turning effect of a force"
"What is the formula for moment","Moment equals force times perpendicular distance"
"What is the unit of moment","Newton metre Nm"
"What is torque?","A turning force around a pivot"
"What is the principle of moments","Sum of clockwise moments equals sum of anticlockwise moments"
"What is centre of mass?","The point where mass is concentrated"
"What happens if centre of mass is outside base","Object becomes unstable"
"What is density?","Mass per unit volume"
"What is the formula for density","Density equals mass divided by volume"
"What is the unit of density","Kilograms per metre cubed kg/m cubed"
"What is a vector diagram","A diagram showing vectors as arrows"
"What is a resultant vector","The combined effect of multiple vectors"
"What is relative velocity","Velocity of an object relative to another"
"What is projectile motion","Motion under gravity with no other forces"
"What are the two components of projectile motion","Horizontal constant velocity and vertical acceleration"
"What is horizontal velocity in projectile motion","Constant if no air resistance"
"What is vertical acceleration in projectile motion","Equal to gravitational acceleration"
"What is g on Earth","Approximately 9.81 m/s squared"
"What is uniform motion","Motion at constant velocity"
"What is deceleration","Negative acceleration"
"What is a force pair","Two equal and opposite forces acting on different objects"
"What is a contact force","A force requiring physical contact"
"What is a non-contact force","A force acting at a distance"
"Give examples of non-contact forces","Gravitational magnetic electrostatic"
"What is air resistance affected by","Speed shape surface area"
"What is a streamline shape","A shape that reduces drag"
"What is terminal speed reached when","Weight equals drag"
"What is an example of Newtons First Law","A book remains at rest until pushed"
"What is an example of Newtons Second Law","A heavier object requires more force to accelerate"
"What is an example of Newtons Third Law","Rocket propulsion action and reaction"
"What is a balanced force example","Object moving at constant speed"
"What is an unbalanced force example","Object accelerating"
"What is a displacement-time graph used for","Showing how displacement changes over time"
"What is a velocity-time graph used for","Showing how velocity changes over time"
"What is a steep gradient on distance-time graph","High speed"
"What is zero gradient on velocity-time graph","Constant velocity"
"What does area under acceleration-time graph represent","Change in velocity"
"What is a scalar example in motion","Distance speed"
"What is a vector example in motion","Velocity acceleration"
"What is the effect of mass on acceleration","Greater mass results in smaller acceleration for same force"
"What is the effect of force on acceleration","Greater force results in greater acceleration"
"What is an inertial mass","Measure of resistance to acceleration"
"What is gravitational mass","Measure of gravitational force experienced"
"What is a net force","Another term for resultant force"
"What is a system in physics","An object or group of objects being studied"
"What is a diagram used to show forces","Free body diagram"
"What is the purpose of resolving forces","To simplify calculations"
"What is a resultant of perpendicular forces","Found using Pythagoras theorem"
"What is uniform circular motion","Motion in a circle at constant speed"
"What direction is acceleration in circular motion","Towards the centre"
"What is centripetal force","Force towards centre of circular motion"
"What provides centripetal force","Tension gravity friction or normal contact"
"What is the formula for centripetal force","Force equals mass times velocity squared divided by radius"
"What happens if centripetal force is removed","Object moves in a straight line tangent"
"What is a tangent","A straight line touching a curve at one point"
"What is the effect of speed on centripetal force","Greater speed increases force"
"What is the effect of radius on centripetal force","Larger radius reduces force"

