Front,Back
"What are formal elements in art?","The visual components used to create artwork."
"What is line in art?","A mark connecting two points."
"What are the types of line?","Horizontal, vertical, diagonal, curved and implied lines."
"What is a contour line?","A line defining the edge or outline of a form."
"What is an implied line?","A line suggested rather than physically drawn."
"What is expressive line?","Line used to show emotion or movement."
"What is shape in art?","A two-dimensional enclosed area."
"What is the difference between geometric and organic shapes?","Geometric shapes are regular, organic shapes are natural and irregular."
"What is form in art?","A three-dimensional object or illusion of depth."
"What is geometric form?","Regular three-dimensional forms such as cubes or spheres."
"What is organic form?","Natural and irregular three-dimensional forms."
"What is tone in art?","The lightness or darkness of an area."
"What creates tone?","Light and shadow."
"What is tonal contrast?","Differences between light and dark areas."
"What is shading?","Using tone to create depth and form."
"What is chiaroscuro?","Strong contrast between light and dark."
"What is texture in art?","The surface quality of an artwork."
"What is actual texture?","Texture that can physically be felt."
"What is implied texture?","Texture that appears realistic but cannot be felt."
"What is pattern in art?","Repeated decorative shapes or designs."
"What is repetition?","Repeating visual elements in an artwork."
"What is rhythm in art?","Movement created through repeated elements."
"What is colour theory?","The study of how colours interact."
"What are primary colours?","Red, blue and yellow."
"What are secondary colours?","Green, orange and purple."
"What are tertiary colours?","Colours made by mixing primary and secondary colours."
"What are complementary colours?","Colours opposite each other on the colour wheel."
"What are analogous colours?","Colours next to each other on the colour wheel."
"What are warm colours?","Colours associated with heat, such as red and orange."
"What are cool colours?","Colours associated with calmness, such as blue and green."
"What is hue?","The name of a colour."
"What is saturation?","The intensity or purity of a colour."
"What is tint?","A colour mixed with white."
"What is shade?","A colour mixed with black."
"What is tone in colour theory?","A colour mixed with grey."
"What is composition in art?","The arrangement of visual elements."
"What is balance in composition?","The distribution of visual weight."
"What is symmetrical balance?","Balance where both sides are similar."
"What is asymmetrical balance?","Balance using different elements with equal visual weight."
"What is radial balance?","Elements arranged around a central point."
"What is emphasis?","Creating a focal point in artwork."
"What is focal point?","The area attracting most attention."
"What is contrast in art?","Differences between elements creating interest."
"What is harmony in art?","Visual elements working together cohesively."
"What is unity in art?","A sense of completeness and consistency."
"What is proportion?","The size relationship between parts of an artwork."
"What is scale?","The size of an object compared to another."
"What is movement in art?","Guiding the viewer's eye through artwork."
"What is perspective?","Creating the illusion of depth and space."
"What is linear perspective?","Using converging lines to show depth."
"What is one-point perspective?","Perspective using one vanishing point."
"What is two-point perspective?","Perspective using two vanishing points."
"What is atmospheric perspective?","Depth created through colour and clarity changes."
"What is space in art?","The area around, within or between objects."
"What is positive space?","The area occupied by objects."
"What is negative space?","The empty area around objects."
"What is depth in art?","The illusion of three-dimensional space."
"What is foreshortening?","Showing objects compressed due to perspective."
"What is mark-making?","Creating different textures and effects through marks."
"What is cross-hatching?","Using intersecting lines for shading."
"What is stippling?","Creating tone using dots."
"What is blending?","Smoothly merging tones or colours."
"What is layering?","Applying materials in stages."
"What is transparency in art?","Allowing light or layers beneath to show through."
"What is opacity in art?","Blocking light from passing through."
"What is abstraction?","Simplifying or distorting reality."
"What is realism?","Accurate representation of subjects."
"What is distortion in art?","Altering appearance for effect."
"What is simplification in art?","Reducing detail to basic forms."
"What is symbolism in art?","Using images to represent ideas."
"What is visual language?","Communicating ideas through visual elements."
"What is media in art?","The materials used to create artwork."
"What is mixed media?","Using multiple materials in one artwork."
"What is observational drawing?","Drawing from direct observation."
"What is gesture drawing?","Quick drawing capturing movement and form."
"What is continuous line drawing?","Drawing without lifting the pencil."
"What is tonal rendering?","Using tone to create realistic form."
"What is depth of field in photography?","The area appearing sharp in focus."
"What is framing in composition?","Using elements to direct focus around a subject."
"What is cropping?","Cutting parts of an image for composition."
"What is visual weight?","The importance or attention an element attracts."
"What is dominance in composition?","An element standing out most strongly."
"What is variety in art?","Using different elements to create interest."
"What is simplicity in composition?","Reducing unnecessary detail."
"What is visual tension?","Uneasy balance creating interest."
"What is dynamic composition?","Composition suggesting energy and movement."
"What is static composition?","Composition appearing calm and stable."
