Question,Answer
What does language diversity refer to?,The variety of ways English is used across different groups, regions and social contexts.
What is a dialect?,A variety of a language associated with a particular region including grammar vocabulary and pronunciation.
What is an accent?,The way words are pronounced depending on region or social group.
What is idiolect?,An individual's unique use of language shaped by personal experiences.
What is sociolect?,A variety of language associated with a particular social group.
What is ethnolect?,A variety of language used by a particular ethnic group.
What is Standard English?,The prestige variety of English used in formal contexts and education.
What is Received Pronunciation (RP)?,An accent historically associated with educated speakers in England.
What is code-switching?,Switching between languages or language varieties depending on context.
What is language prestige?,When a language variety is considered more socially desirable or higher status.
What is overt prestige?,Status gained from using a socially valued language variety.
What is covert prestige?,Status gained within a social group by using non-standard language.
What is a pidgin?,A simplified language formed from two languages used for communication between groups.
What is a creole?,A pidgin language that has become a native language.
What is language change?,The process by which language evolves over time.
What is prescriptivism?,The belief that language should follow strict rules and maintain standards.
What is descriptivism?,The belief that language should be described as it is actually used.
What is lexical change?,Changes in vocabulary over time.
What is semantic change?,Changes in the meanings of words over time.
What is grammatical change?,Changes in grammar structures over time.
What is phonological change?,Changes in pronunciation patterns.
What is borrowing in language?,Taking words from other languages.
What is compounding?,Creating new words by joining two existing words.
What is blending?,Combining parts of words to create a new word.
What is clipping?,Shortening a word (e.g. exam from examination).
What is acronym formation?,Creating a word from the first letters of a phrase.
What is back formation?,Creating a new word by removing a perceived affix.
What is conversion?,Changing a word class without altering the form.
What is a neologism?,A newly created word or expression.
What is semantic narrowing?,When a word’s meaning becomes more specific.
What is semantic broadening?,When a word’s meaning becomes more general.
What is semantic amelioration?,When a word gains more positive meaning.
What is semantic pejoration?,When a word develops a more negative meaning.
What is language standardisation?,The process of creating a consistent form of a language.
Which historical invention helped standardise English?,The printing press.
Who introduced the printing press to England?,William Caxton.
Why did the printing press influence language?,It encouraged consistent spelling and grammar.
What is the Great Vowel Shift?,A major change in English pronunciation during the 15th–17th centuries.
What is a language attitude?,Beliefs people have about language varieties.
What is linguistic discrimination?,Judging people negatively based on their language use.
What is accent discrimination?,Discrimination based on pronunciation or accent.
What is global English?,The spread and use of English around the world.
What are World Englishes?,Different global varieties of English used internationally.
Who developed the Three Circles model of English?,Braj Kachru.
What are the three circles of English?,Inner circle outer circle and expanding circle.
What is the inner circle?,Countries where English is the first language.
What is the outer circle?,Countries where English has an institutional role.
What is the expanding circle?,Countries where English is used as a foreign language.
What is linguistic innovation?,The creation of new language forms.
What is technological influence on language?,New technology creating new vocabulary and communication styles.
What is language contact?,When speakers of different languages interact and influence each other.
What is dialect levelling?,The reduction of regional language differences.
