Front,Back
"What are the Assessment Objectives (AOs) in A-Level Art?","The criteria used to assess coursework and exam projects."
"What is AO1 in A-Level Art?","Develop ideas through investigations and contextual understanding."
"What is AO2 in A-Level Art?","Experiment and refine work using media and techniques."
"What is AO3 in A-Level Art?","Record ideas, observations and insights."
"What is AO4 in A-Level Art?","Present a personal and meaningful final response."
"What does AO1 focus on?","Research, artist studies and idea development."
"What does AO2 focus on?","Experimentation with materials and processes."
"What does AO3 focus on?","Observational recording and documentation."
"What does AO4 focus on?","Producing a final outcome linked to development work."
"What is artist research?","Investigating artists' styles, themes and techniques."
"What is contextual understanding?","Understanding social, historical and cultural influences."
"What is visual analysis?","Examining formal elements and composition."
"What is annotation?","Written explanation of ideas and artistic decisions."
"What should annotations include?","Intentions, techniques, influences and evaluations."
"What is critical analysis?","Evaluating strengths, weaknesses and meaning in artwork."
"What is experimentation?","Trying different techniques and materials."
"What is refinement?","Improving and developing ideas further."
"What is media exploration?","Testing different artistic materials and methods."
"What is a material study?","Investigating the effects of specific materials."
"What is a technique study?","Practising and analysing artistic techniques."
"What is observational recording?","Drawing or photographing from direct observation."
"What is primary source research?","Research gathered first-hand by the artist."
"What is secondary source research?","Research gathered from books, websites or other artists."
"What is a sketchbook?","A collection of development work and ideas."
"What should a sketchbook contain?","Research, experiments, annotations and development work."
"What is idea development?","Progressing and improving artistic concepts."
"What is a mood board?","A collage of visual inspiration and ideas."
"What is a concept in art?","The main idea or theme behind artwork."
"What is thematic development?","Exploring a theme through different ideas and techniques."
"What is a final piece?","The completed artwork resolving the project."
"What should a final piece demonstrate?","Links to research, experimentation and development."
"What is personal response?","Artwork expressing individual ideas and interpretation."
"What is presentation in art?","How work is organised and displayed."
"What is curation?","Selecting and arranging artwork for display."
"What is mounting artwork?","Attaching work neatly for presentation."
"What is composition planning?","Organising visual elements before creating artwork."
"What is time management in art projects?","Planning work efficiently to meet deadlines."
"What is reflective practice?","Reviewing and improving work continuously."
"What is self-evaluation?","Assessing strengths and weaknesses in artwork."
"What is peer feedback?","Receiving comments and suggestions from others."
"What is refinement through feedback?","Improving work based on advice or criticism."
"What is experimentation with media?","Trying different artistic materials."
"What is risk-taking in art?","Attempting creative and unusual ideas."
"What is independent learning in art?","Developing ideas without relying heavily on teacher guidance."
"What is visual recording?","Capturing observations through drawing or photography."
"What is photography evidence?","Photos documenting process and development."
"What is process documentation?","Recording stages of artwork creation."
"What is developmental work?","Artwork showing progression of ideas."
"What is a contact sheet in photography?","A selection of photographic images for review."
"What is editing in art?","Selecting and improving images or compositions."
"What is manipulation in photography?","Altering images digitally or physically."
"What is compositional experimentation?","Trying different layouts and arrangements."
"What is technical skill?","Ability to control materials and techniques effectively."
"What is craftsmanship?","Quality and care in creating artwork."
"What is innovation in art?","Introducing original ideas and methods."
"What is originality?","Producing unique and personal work."
"What is influence in art?","The impact artists or ideas have on artwork."
"What is artist comparison?","Identifying similarities and differences between artists."
"What is visual language?","Communicating ideas through visual elements."
"What is symbolism in art?","Using images to represent ideas."
"What is narrative in art?","Telling a story through visual imagery."
"What is audience interpretation?","How viewers understand artwork."
"What is cultural context?","Social and cultural influences affecting art."
"What is historical context?","The historical background influencing artwork."
"What is formal analysis?","Analysing visual elements such as colour and composition."
"What is experimentation with scale?","Testing different artwork sizes."
"What is mixed media experimentation?","Combining different materials in one piece."
"What is sustained investigation?","Long-term exploration of a theme or idea."
"What is visual coherence?","Artwork appearing connected and consistent."
"What is sequencing in sketchbooks?","Organising pages logically to show progression."
"What is independent project development?","Creating a project driven by personal interests."
"What is observational photography?","Taking photographs from direct observation."
"What is gallery research?","Studying artworks in exhibitions or galleries."
"What is exhibition presentation?","Displaying artwork professionally."
"What is digital experimentation?","Testing digital tools and editing techniques."
"What is the purpose of AO1?","To show understanding and development of ideas."
"What is the purpose of AO2?","To show exploration and refinement of techniques."
"What is the purpose of AO3?","To show recording of observations and ideas."
"What is the purpose of AO4?","To show a meaningful and resolved final outcome."
"What is synthesis in art?","Combining ideas, research and techniques together."
"What is creative intention?","The purpose or meaning behind artwork."
"What is a visual outcome?","The final visual result of artistic processes."
"What is analytical writing in art?","Writing critically about artwork and artists."
"What is visual communication?","Expressing ideas through images and design."
"What is project progression?","The development of ideas over time."
"What is refinement of composition?","Improving arrangement and balance in artwork."
"What is experimentation with colour?","Testing colour combinations and effects."
"What is experimentation with texture?","Exploring different surface qualities."
"What is idea generation?","Creating possible concepts for artwork."
"What is brainstorming in art?","Generating ideas quickly and freely."
"What is the creative process?","The stages involved in developing artwork."
