"Front","Back"
"What is biomechanics?","Study of forces and motion in sport"
"What is motion?","Movement of a body or object"
"What is linear motion?","Movement in a straight line"
"What is angular motion?","Rotation around an axis"
"What is projectile motion?","Object moving through the air"
"What is a force?","A push or pull acting on an object"
"What is gravity?","Force pulling objects to Earth"
"What is weight?","Force due to gravity"
"What is mass?","Amount of matter in an object"
"What is inertia?","Resistance to change in motion"
"What is Newton’s first law?","Object stays at rest or in motion unless acted upon"
"What is Newton’s second law?","Force equals mass times acceleration"
"What is Newton’s third law?","Every action has an equal and opposite reaction"
"What is acceleration?","Rate of change of velocity"
"What is velocity?","Speed in a given direction"
"What is speed?","Distance over time"
"What is momentum?","Mass multiplied by velocity"
"What is impulse?","Force applied over time"
"What is friction?","Resistance between surfaces"
"What is air resistance?","Friction with air"
"What is fluid resistance?","Resistance in water"
"What is lift?","Upward force"
"What is drag?","Force opposing motion"
"What is centre of mass?","Point where mass is balanced"
"What is balance?","Maintaining centre of mass over base"
"What is stability?","Resistance to movement"
"What is base of support?","Area beneath body"
"What increases stability?","Low centre of mass and wide base"
"What is equilibrium?","Balanced state"
"What is moment of inertia?","Resistance to rotation"
"What is torque?","Turning force"
"What is lever?","Rigid bar moving around a pivot"
"What is fulcrum?","Pivot point of a lever"
"What is effort?","Force applied"
"What is load?","Resistance to movement"
"What is first class lever?","Fulcrum between effort and load"
"What is second class lever?","Load between fulcrum and effort"
"What is third class lever?","Effort between fulcrum and load"
"What is mechanical advantage?","Force advantage of lever"
"What is mechanical disadvantage?","Speed advantage of lever"
"What is plane?","Imaginary flat surface"
"What is sagittal plane?","Divides body left and right"
"What is frontal plane?","Divides body front and back"
"What is transverse plane?","Divides body top and bottom"
"What is axis?","Line around which rotation occurs"
"What is transverse axis?","Runs left to right"
"What is longitudinal axis?","Runs top to bottom"
"What is frontal axis?","Runs front to back"
"What movement occurs in sagittal plane?","Flexion and extension"
"What movement occurs in frontal plane?","Abduction and adduction"
"What movement occurs in transverse plane?","Rotation"
"What is angular velocity?","Speed of rotation"
"What is linear velocity?","Speed in straight line"
"What is angular acceleration?","Change in angular velocity"
"What is linear acceleration?","Change in linear velocity"
"What is projectile angle?","Angle of release"
"What affects projectile motion?","Speed, angle, height"
"What is optimal angle?","Best angle for distance"
"What is spin?","Rotation of object"
"What is Magnus effect?","Spin affecting flight path"
"What is parabolic flight?","Curved trajectory"
"What is drag coefficient?","Measure of air resistance"
"What is streamline?","Reducing resistance"
"What is hydrodynamics?","Movement in water"
"What is aerodynamics?","Movement in air"
"What is pressure?","Force per unit area"
"What is pressure difference?","Variation in pressure causing lift"
"What is Bernoulli principle?","Faster air = lower pressure"
"What is flow?","Movement of fluid"
"What is laminar flow?","Smooth flow"
"What is turbulent flow?","Chaotic flow"
"What is terminal velocity?","Max speed in free fall"
"What is work?","Force multiplied by distance"
"What is power?","Rate of doing work"
"What is energy?","Capacity to do work"
"What is kinetic energy?","Energy of movement"
"What is potential energy?","Stored energy"
"What is elastic energy?","Energy stored in stretched object"
"What is conservation of energy?","Energy cannot be created or destroyed"
"What is efficiency?","Output compared to input"
"What is force summation?","Combining forces for maximum effect"
"What is sequential summation?","Body parts move in order"
"What is simultaneous summation?","Body parts move together"
"What is stability factors?","Mass, base, friction"
"What is equilibrium types?","Stable, unstable, neutral"
"What is stable equilibrium?","Returns to position"
"What is unstable equilibrium?","Moves away from position"
"What is neutral equilibrium?","Stays in new position"
"What is angular momentum?","Rotational momentum"
"What is conservation of angular momentum?","Momentum stays constant"
"What is radius of rotation?","Distance from axis"
"What happens when radius decreases?","Speed increases"
"What happens when radius increases?","Speed decreases"
"What is angular displacement?","Change in angle"
"What is moment arm?","Distance from pivot"
"What is torque formula?","Force x distance"
"What is centre of gravity?","Same as centre of mass"
"What affects projectile distance?","Height, speed, angle"
"What is release height?","Height of release point"
"What is follow through?","Movement after action"
"What is impact force?","Force during collision"
"What is impulse time?","Time force applied"
"What is cushioning?","Reducing force"
"What is ground reaction force?","Force from ground"
"What is force-time graph?","Graph of force over time"
"What is velocity-time graph?","Graph of velocity"
"What is displacement-time graph?","Graph of movement"
"What is gradient?","Slope of graph"
"What is area under graph?","Total value"
"What is biomechanics analysis?","Studying movement"
"What is qualitative analysis?","Descriptive analysis"
"What is quantitative analysis?","Numerical analysis"
"What is performance analysis?","Evaluating performance"
"What is technique?","Way skill is performed"
"What is efficiency in movement?","Less energy used"
"What is centre of mass in sport?","Affects balance"
"What is rotation in sport?","Spinning motion"
"What is translation?","Straight movement"
"What is angular motion example?","Somersault"
"What is linear motion example?","Sprint"
"What is projectile example?","Shot put"
"What is friction importance?","Grip and control"
"What is drag importance?","Slows movement"
"What is lift importance?","Helps flight"
"What is force application?","Applying force effectively"
"What is biomechanics role?","Improve performance"
"What is injury prevention?","Reducing risk"
"What is force absorption?","Reducing impact"
"What is technique improvement?","Enhancing skill"
"What is angular velocity importance?","Speed of rotation"
"What is linear velocity importance?","Speed of movement"
"What is balance importance?","Maintains control"
"What is stability importance?","Prevents falling"
"What is torque importance?","Causes rotation"
"What is lever importance?","Affects movement"
"What is power importance?","Explosive strength"
"What is momentum importance?","Maintains movement"
"What is impulse importance?","Changes momentum"
"What is friction control?","Improves grip"
"What is aerodynamics importance?","Reduces resistance"
"What is hydrodynamics importance?","Improves swimming"
"What is force direction?","Affects movement"
"What is angle of release importance?","Affects distance"
"What is spin importance?","Controls trajectory"
"What is follow through importance?","Completes movement"
"What is technique analysis?","Improving form"
"What is efficiency improvement?","Better performance"
"What is mechanical advantage use?","Increase force"
"What is mechanical disadvantage use?","Increase speed"
"What is body position?","Affects movement"
"What is posture?","Body alignment"
"What is movement patterns?","Sequence of motion"
"What is skill execution?","Performing movement"
"What is biomechanical principles?","Rules of movement"
"What is performance enhancement?","Improving results"
"What is sports application?","Using theory in sport"
"What is optimisation?","Maximising performance"
"What is data in biomechanics?","Measurements"
"What is video analysis?","Recording performance"
"What is feedback in biomechanics?","Improving technique"
"What is error correction?","Fixing technique"
"What is movement efficiency?","Less energy use"
"What is force production?","Generating force"
"What is motion analysis?","Studying movement"
"What is balance training?","Improving stability"
"What is strength training?","Increasing force"
"What is speed training?","Increasing velocity"
"What is technique training?","Improving skills"
"What is resistance training?","Working against force"
"What is elastic recoil?","Energy return"
"What is stretch reflex?","Muscle response"
"What is plyometrics?","Explosive training"
"What is acceleration phase?","Starting movement"
"What is deceleration phase?","Slowing down"
"What is transition phase?","Changing movement"
"What is propulsion?","Moving forward"
"What is braking force?","Slowing movement"
"What is stride length?","Distance per step"
"What is stride frequency?","Steps per time"
"What is running mechanics?","Movement patterns"
"What is jumping mechanics?","Take-off technique"
"What is landing mechanics?","Safe landing"
"What is throwing mechanics?","Force sequence"
"What is striking mechanics?","Hitting technique"
"What is centre of mass control?","Maintaining balance"
"What is stability training?","Improving control"
"What is biomechanics importance in coaching?","Improves performance"
