"Front","Back"
"What is evolution?","The change in genetic characteristics of populations over generations."
"What is natural selection?","Process where individuals with advantageous traits survive and reproduce."
"Who proposed the theory of natural selection?","Charles Darwin."
"What is variation?","Differences in characteristics between individuals."
"What causes genetic variation?","Mutation, meiosis and fertilisation."
"What is a mutation?","A change in DNA sequence."
"What is a gene pool?","All the genes present in a population."
"What is a population?","Group of organisms of the same species living in an area."
"What is an adaptation?","A feature that increases survival and reproduction."
"What is fitness in evolution?","Ability to survive and reproduce."
"What is survival of the fittest?","Individuals best adapted survive and reproduce."
"What is a selective pressure?","Environmental factor affecting survival."
"What is directional selection?","Selection favouring one extreme phenotype."
"What is stabilising selection?","Selection favouring the average phenotype."
"What is disruptive selection?","Selection favouring both extremes."
"What is speciation?","Formation of new species."
"What is allopatric speciation?","Speciation due to geographic isolation."
"What is sympatric speciation?","Speciation occurring without geographic separation."
"What is reproductive isolation?","When populations cannot interbreed."
"What is genetic drift?","Random changes in allele frequency."
"What is the founder effect?","Genetic drift in small populations started by few individuals."
"What is the bottleneck effect?","Genetic drift after population reduction."
"What is allele frequency?","Proportion of a particular allele in a population."
"What is the Hardy-Weinberg principle?","Model predicting allele frequencies in populations."
"What does Hardy-Weinberg assume?","Large population, no mutation, random mating, no selection."
"What equation represents Hardy-Weinberg?","p² + 2pq + q² = 1."
"What does p represent in Hardy-Weinberg?","Frequency of dominant allele."
"What does q represent?","Frequency of recessive allele."
"What is convergent evolution?","Unrelated species evolving similar traits."
"What is divergent evolution?","Related species evolving different traits."
"What are homologous structures?","Structures with common ancestry."
"What are analogous structures?","Structures with similar function but different origin."
"What is artificial selection?","Selective breeding by humans."
"What is antibiotic resistance?","Bacteria evolving resistance to antibiotics."
"What causes antibiotic resistance?","Mutations and selection pressure."
"What is the role of mutations in evolution?","Introduce new alleles."
"What is gene flow?","Movement of alleles between populations."
"What is sexual selection?","Selection based on mating success."
"What is sexual dimorphism?","Differences between males and females."
"What is a phylogenetic tree?","Diagram showing evolutionary relationships."
"What is common ancestry?","Different species evolving from shared ancestor."
"What is the fossil record?","Evidence of past life preserved in rocks."
"What are transitional fossils?","Fossils showing intermediate forms."
"What is comparative anatomy?","Comparing structures between species."
"What is molecular evidence for evolution?","DNA similarities between species."
"What is adaptive radiation?","Rapid diversification of species."
"What is punctuated equilibrium?","Evolution occurring in rapid bursts."
"What is gradualism?","Evolution occurring slowly over time."
"What is coevolution?","Species evolving in response to each other."
"What is extinction?","Permanent loss of a species."
"What causes extinction?","Environmental change or competition."
"What is adaptive advantage?","Trait improving survival."
"What is stabilising selection example?","Human birth weight."
"What is directional selection example?","Antibiotic resistance."
"What is disruptive selection example?","Different beak sizes in birds."
"What is speciation barrier?","Factor preventing interbreeding."
"What are behavioural barriers?","Different mating behaviours."
"What are temporal barriers?","Breeding at different times."
"What is genetic divergence?","Accumulation of genetic differences."
"What is macroevolution?","Large-scale evolutionary changes."
"What is microevolution?","Small changes in allele frequencies."
"What is evolution driven by?","Natural selection and genetic variation."
