Front,Back
What is a customer?,A person or organisation that buys goods or services from a business.
What are customer needs?,The things customers require or expect from a product or service.
What are customer wants?,Things customers desire but may not necessarily need.
What is market segmentation?,Dividing a market into groups with similar characteristics.
What is a target market?,The specific group of customers a business aims to sell to.
What is mass marketing?,Selling one product to the whole market.
What is niche marketing?,Targeting a small specialised section of the market.
What is added value?,The difference between the selling price and the cost of inputs.
Why is added value important?,It helps businesses charge higher prices and increase profit.
What is customer loyalty?,When customers repeatedly buy from the same business.
What is customer satisfaction?,How happy customers are with a product or service.
What is market research?,Collecting information about customers and markets.
What is primary market research?,Information collected first-hand for a specific purpose.
What is secondary market research?,Using information already collected by others.
Give an example of primary research.,Surveys or interviews.
Give an example of secondary research.,Government reports or websites.
What is quantitative data?,Numerical information that can be measured.
What is qualitative data?,Descriptive information about opinions or feelings.
What is a focus group?,A small group discussing products or services.
What is a questionnaire?,A written set of questions used in research.
Why do businesses conduct market research?,To understand customer needs and reduce risk.
What is consumer behaviour?,How customers make purchasing decisions.
What factors influence consumer behaviour?,Price income trends advertising and lifestyle.
What is product differentiation?,Making a product appear different from competitors.
What is branding?,Creating a unique identity for a product or business.
Why is branding important?,It helps customers recognise and trust products.
What is a USP?,A unique selling point that makes a product different.
What is dynamic change?,Rapid changes in customer tastes technology or competition.
Why must businesses respond to change?,To stay competitive and meet customer needs.
What is competition?,Businesses competing to sell similar products.
How can competition benefit consumers?,Lower prices and better quality.
What is market mapping?,A diagram showing products in relation to competitors.
Why do businesses use market maps?,To identify gaps in the market.
What is a product orientation?,Focusing on making products before considering customers.
What is a market orientation?,Focusing on customer wants before producing products.
Why is market orientation important?,It improves customer satisfaction and sales.
What is customer service?,Support provided before during and after a purchase.
Why is customer service important?,It increases loyalty and reputation.
What is online customer service?,Support given through websites chat or social media.
How does social media help businesses?,It allows communication with customers and promotion.
What is e-commerce?,Buying and selling online.
Why has e-commerce grown?,Greater internet access and convenience.
What is customer feedback?,Opinions given by customers about products or services.
Why is customer feedback useful?,It helps improve products and services.
What is brand loyalty?,Customers consistently choosing one brand over others.
What is customer retention?,Keeping existing customers over time.
Why is customer retention important?,Existing customers are cheaper to keep than finding new ones.
What is repeat purchase?,When customers buy the same product again.
What is market share?,The percentage of total market sales a business has.
How can businesses increase market share?,Improve quality pricing promotion or innovation.
What is innovation?,Introducing new ideas products or methods.
Why is innovation important?,It helps businesses meet changing customer needs.
What is product development?,Improving or creating products.
What is a product life cycle?,The stages a product goes through over time.
What happens in the introduction stage?,Sales are low and promotion costs are high.
What happens in the growth stage?,Sales rise rapidly.
What happens in the maturity stage?,Sales growth slows due to competition.
What happens in the decline stage?,Sales begin to fall.
What is extension strategy?,Methods used to extend a product’s life cycle.
Give one example of an extension strategy.,New packaging or advertising.
What is customer profiling?,Creating a description of target customers.
What demographic factors affect segmentation?,Age gender income occupation and education.
What geographic factors affect segmentation?,Location climate and region.
What psychographic factors affect segmentation?,Lifestyle interests and values.
What behavioural factors affect segmentation?,Buying habits and loyalty.
What is disposable income?,Money left after essential spending.
Why is disposable income important?,It affects customer spending power.
What is income elasticity of demand?,How demand changes when income changes.
What are luxury goods?,Products customers buy more of as income rises.
What are inferior goods?,Products customers buy less of as income rises.
What is price sensitivity?,How strongly customers react to price changes.
Why are some customers price sensitive?,Limited income or many alternatives.
What is convenience shopping?,Buying products quickly with little effort.
What is comparison shopping?,Comparing prices and quality before buying.
What is impulse buying?,Making unplanned purchases.
How does advertising influence customers?,It creates awareness and persuades customers.
What is persuasive advertising?,Advertising designed to encourage purchases.
What is informative advertising?,Advertising giving factual information.
What is emotional branding?,Creating emotional connections with customers.
What is ethical consumerism?,Customers considering ethics when buying products.
Why is sustainability important to customers?,Many customers prefer environmentally friendly businesses.
What is corporate social responsibility?,Businesses acting responsibly towards society.
How can CSR improve reputation?,Customers may trust ethical businesses more.
What is customer relationship management CRM?,Systems used to manage customer interactions.
Why do businesses use CRM?,To improve relationships and increase loyalty.
What is personalisation?,Tailoring products or services to individuals.
How does technology help businesses meet customer needs?,Faster communication and better data analysis.
What is big data?,Large amounts of customer information collected digitally.
Why is big data useful?,It helps businesses predict customer behaviour.
What is market growth?,An increase in demand within a market.
What is a saturated market?,A market with many similar products and little growth.
Why are saturated markets challenging?,Competition is high and growth is limited.
What is customer expectation?,What customers believe a business should provide.
How can businesses exceed expectations?,Better quality service or value.
What is value for money?,A balance between price and quality.
Why is value for money important?,Customers compare benefits with costs.
What is trust in business?,Customer confidence in a business or brand.
How can businesses build trust?,Reliable quality and honest communication.
What is reputation?,The overall public opinion of a business.
Why is reputation important?,It affects sales and customer loyalty.
What is word of mouth?,Customers recommending products to others.
Why is word of mouth powerful?,People trust recommendations from others.
What is viral marketing?,Marketing shared rapidly online.
What are trends?,General changes in customer preferences over time.
Why should businesses monitor trends?,To adapt products and remain competitive.
What is fashion?,A popular style that changes quickly.
What is a fad?,A short-lived trend with rapid popularity.
What is customer convenience?,How easy it is to buy or use a product.
How can businesses improve convenience?,Online ordering faster delivery or easy payment.
What is accessibility?,How easily customers can obtain products or services.
What is after-sales service?,Support provided after a purchase.
Why is after-sales service important?,It improves customer satisfaction and loyalty.
What is a guarantee?,A promise about product quality or repair.
Why do businesses offer guarantees?,To increase customer confidence.
What is market positioning?,Creating a specific image in customers’ minds.
How can businesses position products?,Price quality branding or features.
What is perceived value?,The customer’s opinion of a product’s worth.
Why is perceived value important?,It influences willingness to pay.
What is customer engagement?,Interaction between customers and businesses.
How can businesses improve engagement?,Social media loyalty schemes and communication.
What is a loyalty scheme?,A reward programme encouraging repeat purchases.
Why do businesses use loyalty schemes?,To improve retention and sales.
