"Front","Back"
"What is metabolism?","The sum of all chemical reactions occurring in a cell or organism."
"What are metabolic pathways?","Sequences of enzyme-controlled reactions in cells."
"What is an anabolic reaction?","A reaction that builds larger molecules from smaller ones."
"What is a catabolic reaction?","A reaction that breaks down molecules to release energy."
"What is an enzyme?","A biological catalyst that speeds up chemical reactions."
"What are enzymes made of?","Proteins."
"What is the active site?","The region of an enzyme where the substrate binds."
"What is a substrate?","The molecule an enzyme acts upon."
"What is an enzyme-substrate complex?","The temporary structure formed when a substrate binds to an enzyme."
"What happens after an enzyme reaction?","Products are released and the enzyme is unchanged."
"What is enzyme specificity?","Each enzyme only catalyses a specific reaction."
"What is the lock and key model?","Model where the substrate fits exactly into the active site."
"What is the induced fit model?","Model where the active site changes shape to fit the substrate."
"What is activation energy?","The minimum energy required to start a reaction."
"What do enzymes do to activation energy?","Lower it."
"What is denaturation?","Loss of protein structure due to heat or pH changes."
"What happens to enzymes when denatured?","The active site changes shape and stops functioning."
"What factors affect enzyme activity?","Temperature, pH, substrate concentration and enzyme concentration."
"What happens to enzyme activity as temperature increases?","Rate increases until optimum temperature."
"What happens above the optimum temperature?","Enzymes denature."
"What is optimum temperature?","Temperature at which an enzyme works fastest."
"What is optimum pH?","pH at which an enzyme works best."
"What happens to enzymes in extreme pH?","They denature."
"What happens when substrate concentration increases?","Reaction rate increases until saturation."
"What is enzyme saturation?","When all active sites are occupied."
"What is enzyme concentration?","The amount of enzyme available for reactions."
"What happens when enzyme concentration increases?","Reaction rate increases if substrate is available."
"What is competitive inhibition?","When a molecule competes with the substrate for the active site."
"What effect does competitive inhibition have?","Reduces reaction rate."
"What is non-competitive inhibition?","When a molecule binds to another site on the enzyme."
"What happens in non-competitive inhibition?","The active site changes shape."
"What is reversible inhibition?","Inhibitor can leave the enzyme."
"What is irreversible inhibition?","Inhibitor permanently disables the enzyme."
"What is a cofactor?","A non-protein molecule that assists enzyme function."
"What is a coenzyme?","An organic cofactor."
"What is a prosthetic group?","A tightly bound cofactor."
"What is ATP?","A molecule that stores and transfers energy in cells."
"What does ATP stand for?","Adenosine triphosphate."
"What happens when ATP is hydrolysed?","Energy is released."
"What does ATP break down into?","ADP and inorganic phosphate."
"What type of reaction breaks ATP?","Hydrolysis."
"What is phosphorylation?","Adding a phosphate group to a molecule."
"What role does ATP play in metabolism?","Provides energy for metabolic reactions."
"What is respiration?","A metabolic process releasing energy from glucose."
"What is cellular respiration?","Energy production within cells."
"What is glycolysis?","The first stage of respiration in the cytoplasm."
"What is the Krebs cycle?","A series of reactions in mitochondria releasing energy."
"What is oxidative phosphorylation?","ATP production using electrons and oxygen."
"What is fermentation?","Anaerobic breakdown of glucose."
"What is metabolic regulation?","Control of enzyme activity in cells."
"What is feedback inhibition?","End product inhibits an earlier enzyme in a pathway."
"What is enzyme turnover number?","Number of substrate molecules converted per second."
"What is enzyme efficiency?","How quickly an enzyme catalyses reactions."
"What is enzyme catalysis?","Speeding up reactions through enzyme activity."
"What is enzyme denaturation caused by?","Heat, pH extremes or chemicals."
"What is metabolic rate?","The speed of metabolic reactions."
"What is enzyme immobilisation?","Fixing enzymes to a solid surface."
"What is the advantage of immobilised enzymes?","They can be reused."
"What is lactase?","An enzyme that breaks down lactose."
"What is amylase?","An enzyme that breaks down starch."
"What is protease?","An enzyme that breaks down proteins."
"What is lipase?","An enzyme that breaks down lipids."
"What type of bond do proteases break?","Peptide bonds."
"What type of bond does amylase break?","Glycosidic bonds."
"What type of bond does lipase break?","Ester bonds."
"What is enzyme denaturation temperature range?","Usually above 40-50°C in humans."
"What is enzyme stability?","Ability to maintain structure."
"What is substrate specificity determined by?","Active site structure."
"What happens if substrate shape changes?","It may not bind."
"What is metabolic homeostasis?","Maintaining stable internal conditions."
"What is metabolic coupling?","Using energy from one reaction to drive another."
"What are metabolic enzymes arranged into?","Pathways."
"What is rate of reaction?","Speed at which products form."
"What unit measures enzyme rate?","Product per time."
"What is enzyme kinetics?","Study of enzyme reaction rates."
"What is enzyme optimum condition?","Conditions where activity is highest."
"What is enzyme inhibition used for?","Regulating metabolism."
"What is enzyme turnover?","Repeated catalysis by one enzyme."
"What is energy coupling?","Linking exergonic and endergonic reactions."
"What is ADP?","Adenosine diphosphate."
"What does ADP become with energy?","ATP."
"What type of bond stores energy in ATP?","Phosphate bond."
"What is metabolic heat production?","Energy released as heat during metabolism."
"What is metabolic pathway control?","Regulation by enzymes."
"What is enzyme activation energy reduction?","Providing an alternative reaction pathway."
"What is enzyme stability affected by?","Temperature and pH."
"What is enzyme concentration effect?","More enzymes increase rate."
"What is substrate concentration effect?","Higher substrate increases rate until saturation."
"What is metabolic enzyme regulation?","Control of enzyme activity by inhibitors."
"What is enzyme adaptation?","Evolution of enzymes for specific conditions."
"What is catalytic efficiency?","How effectively an enzyme converts substrate."
"What is metabolic energy transfer?","ATP transferring energy between reactions."
"What is enzyme reuse?","Enzymes are not used up."
"What is the role of enzymes in digestion?","Breaking down food molecules."
"What is enzyme role in respiration?","Catalysing metabolic reactions."
"What is enzyme role in DNA replication?","Catalysing DNA synthesis."
"What is metabolic integration?","Different pathways working together."
"What is enzyme regulation importance?","Maintains metabolic balance."
