"Front","Back"
"What is child language acquisition?","The process by which children learn to understand and produce language."
"What is phonological development?","The development of a child's ability to recognise and produce speech sounds."
"What is lexical development?","The development of a child's vocabulary."
"What is grammatical development?","The development of a child's ability to use sentence structures and grammar."
"What is semantic development?","The development of a child's understanding of meaning."
"What is pragmatic development?","The development of a child's ability to use language appropriately in social contexts."
"What is a phoneme?","The smallest unit of sound that can change meaning."
"What is a morpheme?","The smallest unit of meaning in a language."
"What is a bound morpheme?","A morpheme that cannot stand alone such as prefixes or suffixes."
"What is a free morpheme?","A morpheme that can stand alone as a word."
"What is an overextension?","When a child uses a word too broadly such as calling all animals 'dog'."
"What is an underextension?","When a child uses a word too narrowly such as using 'dog' only for the family pet."
"What is a holophrastic utterance?","A single word used to express a full idea."
"What is telegraphic speech?","Early speech consisting mainly of content words with little grammar."
"What is child-directed speech (CDS)?","The simplified language adults use when speaking to children."
"What are features of child-directed speech?","Higher pitch repetition simple vocabulary and exaggerated intonation."
"What is imitation in language learning?","When children repeat words or structures they hear."
"What is reinforcement in language learning?","When adults respond positively to correct language use."
"What is the behaviourist theory of language acquisition?","The theory that children learn language through imitation and reinforcement."
"Who proposed the behaviourist theory?","B.F. Skinner."
"What is the nativist theory of language acquisition?","The theory that children are born with an innate ability to learn language."
"Who proposed the nativist theory?","Noam Chomsky."
"What is the Language Acquisition Device (LAD)?","Chomsky's proposed innate mechanism that allows children to learn grammar."
"What is the critical period hypothesis?","The idea that there is an optimal period in early childhood for language learning."
"What is the cognitive theory of language acquisition?","The theory that language development is linked to cognitive development."
"Who proposed the cognitive theory?","Jean Piaget."
"What is the social interactionist theory?","The idea that language develops through interaction with others."
"Who proposed the social interactionist theory?","Jerome Bruner."
"What is the Language Acquisition Support System (LASS)?","Bruner's concept of adult support that helps children learn language."
"What is scaffolding in language learning?","Adult support that helps children develop language skills."
"What is turn-taking in child speech?","The pattern of alternating speech between speakers in conversation."
"What is babbling?","Early stage of language development where infants produce repeated speech sounds."
"What is the holophrastic stage?","The stage where children use single words to communicate meaning."
"What is the two-word stage?","The stage where children begin combining two words."
"What is the telegraphic stage?","The stage where children produce short sentences with key content words."
"What is the post-telegraphic stage?","The stage where children develop more complex grammar and sentence structures."
"What is a noun phrase?","A group of words centred around a noun."
"What is a verb phrase?","A group of words built around a verb."
"What is an auxiliary verb?","A verb used with another verb to express tense or modality."
"What is modality in child language?","Language expressing possibility necessity or obligation."
"What is a determiner?","A word placed before a noun to clarify meaning such as the or a."
"What is pronoun acquisition?","The development of children's ability to use pronouns correctly."
"What is semantic field development?","The expansion of vocabulary related to specific topics."
"What is a caregiver?","An adult who interacts with and supports a child's language development."
"What is expansion in CDS?","When an adult repeats a child's utterance in a more complete form."
"What is recasting?","Rephrasing a child's incorrect sentence correctly."
"What is interaction in language development?","Communication between child and caregiver that supports learning."
"What is language input?","The language children hear from others."
"What is language output?","The language children produce."
"What is language acquisition research?","The study of how children learn and develop language."
