"Front","Back"
"If I had more time, I would study more","Si tuviera más tiempo, estudiaría más"
"If I were rich, I would travel","Si fuera rico, viajaría"
"If I had known, I would have done more","Si lo hubiera sabido, habría hecho más"
"I would go abroad","Iría al extranjero"
"I would have done better","Lo habría hecho mejor"
"I could have succeeded","Podría haber tenido éxito"
"I should have worked harder","Debería haber trabajado más"
"Although it is difficult","Aunque sea difícil"
"Although he is young","Aunque sea joven"
"Because it is important","Porque es importante"
"Since it is necessary","Ya que es necesario"
"So that I can succeed","Para que tenga éxito"
"In order to improve","Para mejorar"
"Before leaving","Antes de salir"
"After finishing","Después de terminar"
"While doing","Mientras hago"
"Without saying","Sin decir"
"Instead of going","En lugar de ir"
"In spite of that","A pesar de eso"
"Because of that","Por eso"
"Thanks to that","Gracias a eso"
"As soon as possible","Lo antes posible"
"At the same time","Al mismo tiempo"
"Little by little","Poco a poco"
"More and more","Cada vez más"
"Less and less","Cada vez menos"
"Better and better","Cada vez mejor"
"Worse and worse","Cada vez peor"
"The more…the more","Cuanto más…más"
"As far as I am concerned","En cuanto a mí"
"To tell the truth","Para decir la verdad"
"On the contrary","Al contrario"
"In reality","En realidad"
"In fact","De hecho"
"For that reason","Por esta razón"
"That is why","Por eso"
"This shows that","Esto muestra que"
"This suggests that","Esto sugiere que"
"This highlights that","Esto pone de relieve que"
"This proves that","Esto demuestra que"
"The government should do more","El gobierno debería hacer más"
"Young people should be encouraged","Los jóvenes deberían ser animados"
"Education must be improved","La educación debe mejorarse"
"We must take action","Debemos actuar"
"People should be aware","La gente debería ser consciente"
"It is necessary to reduce pollution","Es necesario reducir la contaminación"
"The environment must be protected","El medio ambiente debe protegerse"
"We should invest in renewable energy","Deberíamos invertir en energías renovables"
"Technology has changed our lives","La tecnología ha cambiado nuestras vidas"
"Social media has influenced young people","Las redes sociales han influido en los jóvenes"
"It can be argued that","Se puede argumentar que"
"There is no doubt that","No hay duda de que"
"It is likely that","Es probable que"
"It is unlikely that","Es poco probable que"
"This can lead to problems","Esto puede llevar a problemas"
"This may cause difficulties","Esto puede causar dificultades"
"This results in inequality","Esto resulta en desigualdad"
"This contributes to poverty","Esto contribuye a la pobreza"
"It depends on the situation","Depende de la situación"
"It varies depending on","Varía según"
"Compared to the past","En comparación con el pasado"
"Nowadays","Hoy en día"
"In the past","En el pasado"
"In the future","En el futuro"
"Currently","Actualmente"
"At present","En la actualidad"
"Over time","Con el tiempo"
"In the long term","A largo plazo"
"In the short term","A corto plazo"
"This has increased significantly","Esto ha aumentado considerablemente"
"This has decreased","Esto ha disminuido"
"This has improved","Esto ha mejorado"
"This has worsened","Esto ha empeorado"
"This plays a crucial role","Esto desempeña un papel crucial"
"This has a major impact","Esto tiene un gran impacto"
"This is a key issue","Este es un problema clave"
"This is a major concern","Esta es una gran preocupación"
"This remains a challenge","Esto sigue siendo un desafío"
"This must be addressed","Esto debe abordarse"
"The problem needs to be solved","El problema debe resolverse"
"Solutions must be found","Se deben encontrar soluciones"
"Measures should be taken","Se deben tomar medidas"
"Action must be taken","Se debe actuar"
"The government has introduced policies","El gobierno ha introducido políticas"
"These measures aim to","Estas medidas tienen como objetivo"
"This policy allows","Esta política permite"
"This approach helps","Este enfoque ayuda"
"However, it is not enough","Sin embargo, no es suficiente"
"More needs to be done","Se debe hacer más"
"This is a step in the right direction","Esto es un paso en la dirección correcta"
"However, challenges remain","Sin embargo, quedan desafíos"
"It is important to consider","Es importante considerar"
"It is necessary to understand","Es necesario entender"
"We must recognise that","Debemos reconocer que"
"We cannot ignore that","No podemos ignorar que"
"If we do nothing","Si no hacemos nada"
"The situation will worsen","La situación empeorará"
"If action is taken","Si se toman medidas"
"The situation could improve","La situación podría mejorar"
"This would benefit society","Esto beneficiaría a la sociedad"
"This would reduce inequality","Esto reduciría la desigualdad"
"This would improve quality of life","Esto mejoraría la calidad de vida"
"In order to succeed","Para tener éxito"
"To achieve this","Para lograr esto"
"It is necessary to act quickly","Es necesario actuar rápidamente"
"Time is running out","El tiempo se está acabando"
"We must act now","Debemos actuar ahora"
"The future depends on us","El futuro depende de nosotros"
"We all have a responsibility","Todos tenemos una responsabilidad"
"Everyone must contribute","Todos deben contribuir"
"Only then can we succeed","Solo entonces podremos tener éxito"

