Front,Back
What is globalisation?,The increasing connection and integration of economies and markets worldwide.
Why is globalisation important?,Businesses can access larger markets and resources.
What is an international business?,A business operating in more than one country.
What is multinational company MNC?,A business with operations in several countries.
What are the advantages of multinational companies?,Access to larger markets and lower production costs.
What are the disadvantages of multinational companies?,Complex management and political risks.
What is free trade?,International trade without restrictions such as tariffs or quotas.
What are the advantages of free trade?,Lower prices and greater consumer choice.
What are the disadvantages of free trade?,Increased competition for domestic businesses.
What is protectionism?,Government actions protecting domestic industries from foreign competition.
What is tariff?,A tax placed on imported goods.
How do tariffs affect businesses?,Imports become more expensive.
What is quota?,A limit on the amount of goods imported.
Why do governments use quotas?,To protect local businesses and jobs.
What is trade bloc?,A group of countries trading freely with each other.
Give one example of a trade bloc.,European Union or USMCA.
What are the advantages of trade blocs?,Reduced trade barriers and larger markets.
What are the disadvantages of trade blocs?,Businesses outside the bloc may face restrictions.
What is outsourcing?,Using external businesses to perform activities.
Why do businesses outsource internationally?,To reduce costs or access specialist skills.
What is offshoring?,Moving business activities to another country.
Why do businesses offshore?,Lower labour and production costs.
What are the advantages of offshoring?,Reduced costs and increased competitiveness.
What are the disadvantages of offshoring?,Communication issues and supply chain risks.
What is foreign direct investment FDI?,Investment by a business into operations in another country.
Why is FDI important?,It supports global expansion and growth.
What is exchange rate?,The value of one currency compared to another.
How do exchange rates affect businesses?,Imports and exports become more or less expensive.
What is exchange rate risk?,The possibility of losses caused by currency changes.
Why is exchange rate risk important?,International profits and costs may change unexpectedly.
What is import?,Goods or services bought from another country.
What is export?,Goods or services sold to another country.
Why do businesses export?,To increase sales and access new markets.
What are the advantages of exporting?,Higher sales and market diversification.
What are the disadvantages of exporting?,Transport costs and exchange rate risk.
What is global supply chain?,The worldwide network producing and delivering products.
Why are global supply chains important?,Businesses depend on efficient international operations.
What is supply chain disruption?,Interruptions affecting the movement of goods and materials.
What can cause supply chain disruption?,Natural disasters wars or pandemics.
Why are supply chains vulnerable globally?,Businesses depend on many countries and suppliers.
What is comparative advantage?,When countries produce goods more efficiently than others.
Why is comparative advantage important?,Countries specialise and trade efficiently.
What is labour cost?,The cost of employing workers.
Why are labour costs important globally?,Businesses may relocate to lower-cost countries.
What is emerging market?,A developing country with rapid economic growth.
Give one example of an emerging market.,India or Brazil.
Why are emerging markets attractive?,Large populations and growing demand.
What are the risks of emerging markets?,Political instability and economic uncertainty.
What is developed economy?,A country with high income and advanced industry.
What is developing economy?,A country with lower income and industrial development.
What is cultural difference?,Variations in language values customs and behaviour between countries.
Why are cultural differences important in business?,Marketing and management approaches may need adapting.
What is language barrier?,Difficulties caused by different languages.
How can language barriers affect businesses?,Communication and marketing may become less effective.
What is global marketing?,Promoting products to customers around the world.
Why is global marketing important?,Businesses can reach larger audiences.
What is standardisation in global business?,Selling similar products worldwide with little change.
What are the advantages of standardisation?,Lower costs and consistent branding.
What are the disadvantages of standardisation?,Products may not suit local cultures.
What is adaptation in global business?,Changing products or marketing for local markets.
What are the advantages of adaptation?,Better suited to local customer needs.
What are the disadvantages of adaptation?,Higher costs and complexity.
What is glocalisation?,Combining global branding with local adaptation.
Why is glocalisation important?,Customers in different countries have different preferences.
What is global branding?,Using a consistent brand identity worldwide.
Why is global branding important?,Strong brands improve recognition and trust.
What is e-commerce?,Buying and selling online.
How has e-commerce supported globalisation?,Businesses can sell internationally more easily.
What is digital communication?,Using technology to communicate globally.
Why is digital communication important?,Businesses operate across different countries and time zones.
What is time zone difference?,Variation in local time between countries.
How can time zones affect businesses?,Communication and coordination may become difficult.
What is international logistics?,Managing transport and storage across countries.
Why is logistics important globally?,Products must move efficiently worldwide.
What is infrastructure?,The systems supporting transport communication and utilities.
Why is infrastructure important?,Poor infrastructure can increase costs and delays.
What is political stability?,The level of consistency and order in a country’s government.
Why is political stability important for businesses?,Stable countries reduce risk and uncertainty.
What is corruption?,Dishonest or illegal behaviour by those in power.
How can corruption affect businesses?,It increases risk and operating costs.
What is economic growth?,An increase in a country’s output and income.
Why is economic growth important globally?,Growing economies create new market opportunities.
What is recession?,A period of declining economic activity.
How can global recessions affect businesses?,Demand and profits may fall internationally.
What is inflation?,A general rise in prices over time.
How does inflation affect global businesses?,Costs and prices may increase.
What is interest rate?,The cost of borrowing money.
How do interest rates affect international business?,Borrowing and investment decisions may change.
What is global competition?,Competition between businesses from different countries.
Why has global competition increased?,Globalisation and technology connect markets worldwide.
What is economies of scale?,Cost advantages from increased production.
How does globalisation create economies of scale?,Businesses produce for larger international markets.
What is ethical sourcing?,Buying materials from responsible suppliers.
Why is ethical sourcing important?,Consumers increasingly value ethical business practices.
What is fair trade?,Trading practices aiming to support producers fairly.
Why is fair trade important?,It improves conditions for workers and farmers.
What is sustainability?,Meeting current needs without harming future generations.
Why is sustainability important globally?,Businesses face pressure to reduce environmental impact.
What is carbon footprint?,The amount of greenhouse gases produced by activities.
Why are global businesses reducing carbon footprints?,Governments and consumers expect environmental responsibility.
