Front,Back
What is competitiveness?,The ability of a business to compete successfully in a market.
Why is competitiveness important?,Competitive businesses attract customers and increase profits.
What is competitive advantage?,A factor making a business better than its rivals.
What can create competitive advantage?,Lower costs innovation quality or branding.
What is cost competitiveness?,Competing by keeping costs lower than rivals.
Why is cost competitiveness important?,Lower costs can lead to lower prices and higher profits.
What is differentiation?,Making products appear unique compared to competitors.
Why is differentiation important?,It helps businesses stand out in crowded markets.
What is quality competitiveness?,Competing through high product or service quality.
Why is quality important?,High quality increases customer satisfaction and loyalty.
What is operational competitiveness?,How efficiently a business produces goods or services.
What is financial competitiveness?,A business’s ability to manage finances effectively.
What is human resource competitiveness?,The ability to attract motivate and retain skilled employees.
What is innovation competitiveness?,Competing through new ideas products or technology.
Why is innovation important?,It helps businesses stay ahead of competitors.
What is market share?,The percentage of sales controlled by a business.
Why is market share important?,Higher market share often increases influence and profits.
What is customer loyalty?,Customers repeatedly buying from the same business.
Why is customer loyalty valuable?,It increases repeat sales and reduces marketing costs.
What is brand reputation?,The public opinion of a business or product.
Why is brand reputation important?,Strong reputations attract customers and investors.
What is benchmarking?,Comparing performance against competitors or standards.
Why is benchmarking useful?,It identifies strengths and areas for improvement.
What is core competency?,A key strength giving competitive advantage.
Why are core competencies important?,They help businesses outperform rivals.
What is productivity?,The amount of output produced per unit of input.
Why is productivity important?,Higher productivity reduces costs and improves competitiveness.
What is efficiency?,Using resources with minimal waste.
What is effectiveness?,Successfully achieving business objectives.
What is economies of scale?,Cost advantages from increased production.
Why do economies of scale improve competitiveness?,Average costs fall as output increases.
What is diseconomies of scale?,Higher average costs caused by overexpansion.
Why can diseconomies reduce competitiveness?,Costs and inefficiency increase.
What is market positioning?,Creating a specific image in customers’ minds.
Why is market positioning important?,It influences customer perception and demand.
What is pricing strategy?,The method used to set prices.
How can pricing affect competitiveness?,Competitive pricing can attract customers.
What is penetration pricing?,Setting low prices to gain market share quickly.
What is price skimming?,Charging high prices initially before reducing them.
What is value for money?,A balance between price and quality.
Why is value for money important?,Customers compare benefits with cost.
What is customer service?,Support provided before during and after sales.
Why is customer service important?,Good service improves loyalty and reputation.
What is supply chain?,The network involved in producing and distributing products.
Why is supply chain management important?,Efficient supply chains reduce delays and costs.
What is lead time?,The time between ordering and receiving stock.
Why is lead time important?,Shorter lead times improve responsiveness.
What is flexibility in business?,The ability to adapt quickly to change.
Why is flexibility important?,Markets and customer needs change rapidly.
What is agility?,Quickly responding to market opportunities and threats.
What is business resilience?,The ability to recover from difficulties.
Why is resilience important?,Businesses face uncertainty and competition.
What is Porter’s Five Forces?,A framework analysing competition within an industry.
Who developed Porter’s Five Forces?,Michael Porter.
What are the five forces?,Competition new entrants suppliers buyers and substitutes.
What is competitive rivalry?,The level of competition between existing firms.
Why is competitive rivalry important?,High rivalry can reduce profits.
What is threat of new entrants?,The risk of new businesses entering a market.
Why can new entrants be a threat?,They increase competition and reduce market share.
What are barriers to entry?,Factors making it difficult for new firms to enter a market.
Give one example of a barrier to entry.,High startup costs or strong branding.
What is bargaining power of suppliers?,The ability of suppliers to influence prices and conditions.
Why is supplier power important?,Strong suppliers may increase business costs.
What is bargaining power of buyers?,The ability of customers to influence prices and quality.
Why is buyer power important?,Strong buyer power may reduce profits.
What is threat of substitutes?,The risk of customers switching to alternative products.
Why are substitutes important?,They increase competition and reduce demand.
What is market saturation?,A market with little room for growth.
Why is market saturation challenging?,Competition becomes intense.
What is niche market?,A small specialised market segment.
Why can niche markets improve competitiveness?,Businesses face less competition.
What is mass market?,A broad market targeting many customers.
What is digital transformation?,Using technology to improve operations.
Why is digital transformation important?,It improves efficiency and competitiveness.
What is automation?,Using technology and machines to perform tasks.
How can automation improve competitiveness?,Higher productivity and lower labour costs.
What is artificial intelligence AI?,Technology simulating human intelligence.
How can AI improve competitiveness?,Better decision-making and efficiency.
