"Front","Back"
"Define programming paradigm","A style or approach to programming such as procedural, object-oriented, or functional"
"What is procedural programming?","A paradigm based on structured sequences of instructions and procedures"
"What is object-oriented programming (OOP)?","A paradigm based on objects containing data and methods"
"What is functional programming?","A paradigm based on mathematical functions and immutability"
"What is abstraction?","Removing unnecessary detail to focus on essential features"
"What is decomposition?","Breaking a problem into smaller manageable parts"
"What is an algorithm?","A step-by-step process for solving a problem"
"What is pseudocode?","A structured way of writing algorithms using plain language"
"What is a flowchart?","A diagram representing an algorithm using symbols"
"What is a variable?","A named storage location for data that can change"
"What is a constant?","A value that cannot be changed during execution"
"What is a data type?","A classification of data such as integer or string"
"What is an integer?","A whole number data type"
"What is a float?","A data type representing decimal numbers"
"What is a Boolean?","A data type with two values: true or false"
"What is a string?","A sequence of characters"
"What is a character?","A single letter, digit or symbol"
"What is an operator?","A symbol used to perform operations on data"
"What is an arithmetic operator?","Operators used for calculations like +, -, *, /"
"What is a relational operator?","Operators used to compare values like >, <, =="
"What is a logical operator?","Operators such as AND, OR, NOT"
"What is iteration?","Repeating a block of code"
"What is a for loop?","A loop that runs a set number of times"
"What is a while loop?","A loop that runs while a condition is true"
"What is a do-while loop?","A loop that runs at least once before checking condition"
"What is selection?","Making decisions in code using conditions"
"What is an if statement?","A selection statement that runs code if condition is true"
"What is a case statement?","A multi-branch selection structure"
"What is recursion?","A function calling itself"
"What is a base case?","The condition that stops recursion"
"What is a subroutine?","A reusable block of code"
"What is a function?","A subroutine that returns a value"
"What is a procedure?","A subroutine that does not return a value"
"What is parameter passing?","Sending data into a function"
"What is pass by value?","Passing a copy of a variable"
"What is pass by reference?","Passing the actual variable"
"What is scope?","Where a variable can be accessed in a program"
"What is global scope?","Variables accessible throughout the program"
"What is local scope?","Variables accessible only within a block"
"What is syntax error?","An error in code structure"
"What is a logic error?","An error in reasoning that gives wrong output"
"What is a runtime error?","An error that occurs during execution"
"What is debugging?","Finding and fixing errors"
"What is a trace table?","A table used to track variable values step-by-step"
"What is input?","Data entered into a program"
"What is output?","Data produced by a program"
"What is processing?","Manipulating input data"
"What is a compiler?","Translates entire program into machine code"
"What is an interpreter?","Translates code line-by-line"
"What is machine code?","Binary instructions understood by the CPU"
"What is structured programming?","Programming using sequence, selection and iteration"
"What is sequence?","Executing instructions in order"
