"Front","Back"
"What is an exponential function?","A function where the variable is in the exponent"
"What is the general form of exponential function","y equals a times b to the power x"
"What happens when b is greater than 1","Exponential growth"
"What happens when 0 is less than b less than 1","Exponential decay"
"What is a logarithm?","The inverse of an exponential function"
"What does log base b of a equal c mean","b to the power c equals a"
"What is log base 10 called","Common logarithm"
"What is log base e called","Natural logarithm"
"What is the value of e","Approximately 2.718"
"What is ln x","Logarithm to base e"
"What is the inverse of ln x","e to the power x"
"What is the graph of exponential function like","Always positive increasing curve"
"What is the graph of ln x like","Increasing curve crossing x axis at 1"
"What is domain of ln x","x greater than 0"
"What is range of ln x","All real numbers"
"What is log of 1","0"
"What is log of base b of b","1"
"What is log of zero","Undefined"
"What is law log ab","Log a plus log b"
"What is law log a over b","Log a minus log b"
"What is law log a to power n","n log a"
"What is ln e","1"
"What is e to the power 0","1"
"What is solving exponential equation?","Make bases the same or use logs"
"What is solving log equation?","Convert to exponential form"
"What is log equation example","Log x equals 2 means x equals 100"
"What is ln equation example","Ln x equals 1 means x equals e"
"What is change of base formula","Log a base b equals log a over log b"
"What is exponential growth formula","Initial value times e to the power kt"
"What is exponential decay formula","Initial value times e to the power minus kt"
"What is k in exponential models","Growth or decay constant"
"What is half life?","Time for quantity to halve"
"What is doubling time?","Time for quantity to double"
"What is solving using logs","Take logs of both sides"
"What is ln ab","Ln a plus ln b"
"What is ln a over b","Ln a minus ln b"
"What is ln a power n","n ln a"
"What is graph asymptote of exponential","y equals 0"
"What is graph asymptote of ln x","x equals 0"
"What is increasing function exponential","Always increasing if base greater than 1"
"What is decreasing exponential","Base between 0 and 1"
"What is transformation e to x plus a","Shift left"
"What is transformation e to x plus a outside","Shift up"
"What is transformation a e to x","Vertical stretch"
"What is solving simultaneous exponential equations","Use substitution or logs"
"What is log graph base 10 shape","Similar to ln graph"
"What is gradient of exponential function","Proportional to its value"
"What is derivative of e to x","e to x"
"What is derivative of ln x","1 over x"
"What is integration of e to x","e to x"
"What is integration of 1 over x","ln x"
"What is modelling with exponentials","Real world growth and decay"
"What is continuous growth?","Growth at every instant"
"What is discrete growth?","Growth at intervals"
"What is interest compound formula","P times 1 plus r to power n"
"What is continuous interest formula","P times e to the rt"
"What is solving log inequalities?","Solve like equations but consider domain"
"What is domain restriction in logs","Argument must be positive"
"What is logarithmic scale","Scale based on powers of 10"
"What is linearising exponential data","Take logs to form straight line"
"What is gradient in ln graph","Rate of change of ln x"
"What is intercept in ln graph","Passes through 1 0"
"What is exponential transformation effect","Stretch and shift"
"What is inverse relationship logs exponentials","Undo each other"
"What is solving e to x equals k","Take ln of both sides"
"What is solving ln x equals k","Exponentiate both sides"
"What is log laws purpose","Simplify expressions"
"What is base of natural logs","e"
"What is ln of product","Sum of ln values"
"What is ln of quotient","Difference of ln values"
"What is log base 10 of 100","2"
"What is ln of e squared","2"
"What is e to ln x","x"
"What is ln of e to x","x"
"What is graph behaviour large x exponential","Increases rapidly"
"What is graph behaviour ln x large x","Increases slowly"
"What is asymptotic behaviour","Approaches line but never touches"
"What is solving exponential simultaneous equations","Use substitution and logs"
"What is growth constant positive","Growth"
"What is growth constant negative","Decay"
"What is exponential model use","Population finance radioactive decay"
"What is linearisation benefit","Simplifies analysis"

