Front,Back
Who is Blanche DuBois?,A fragile former Southern belle who moves in with her sister Stella
Who is Stella Kowalski?,Blanche's younger sister who is married to Stanley
Who is Stanley Kowalski?,Stella's aggressive working class husband
Who is Harold Mitch Mitchell?,Stanley's friend who develops a relationship with Blanche
Who is Eunice?,The Kowalskis' neighbour who lives upstairs
Where is the play set?,In a small apartment in New Orleans
When is the play set?,Post World War II America in the 1940s
Why does Blanche arrive in New Orleans?,She has lost the family home Belle Reve
What does Belle Reve represent?,The lost wealth and status of the Southern aristocracy
Why is Stanley suspicious of Blanche?,He believes she is hiding the truth about Belle Reve
What happens during the poker night?,Stanley becomes drunk and violent
What does Stanley do during the poker night?,He hits Stella in anger
Why does Stella return to Stanley?,She is emotionally and physically attached to him
What is Blanche's relationship with Mitch?,They develop a romantic relationship
Why does Stanley investigate Blanche?,He wants to expose her lies
What does Stanley discover about Blanche?,She lost her job and reputation in Laurel
Why does Mitch reject Blanche?,He learns about her past relationships
What happens between Stanley and Blanche?,Stanley assaults Blanche
What happens to Blanche at the end of the play?,She is taken to a mental institution
What does Stella decide at the end?,She stays with Stanley despite what happened
What is the theme of desire?,Desire drives many of the characters' decisions
What is the theme of illusion vs reality?,Blanche creates illusions to escape reality
What is the theme of masculinity?,Stanley represents aggressive male dominance
What is the theme of power?,Stanley holds physical and social power
What is the theme of class conflict?,Blanche represents the old aristocracy while Stanley represents the working class
What is the theme of loneliness?,Many characters struggle with isolation
What is the theme of madness?,Blanche's mental state deteriorates
What is the theme of gender roles?,Men dominate women in the society of the play
What is the theme of violence?,Violence is present in Stanley and Stella's relationship
What is the theme of reputation?,Blanche fears being judged for her past
What does the quote I don't want realism I want magic mean?,Blanche prefers illusion to harsh reality
What does They told me to take a streetcar named Desire mean?,Desire has led Blanche to her downfall
What does I have always depended on the kindness of strangers mean?,Blanche reveals her vulnerability
What does Stella represent in the play?,A woman torn between family loyalty and desire
What does Stanley represent?,The rise of working class masculinity
What does Mitch represent?,A potential escape for Blanche
What does the light symbolise?,Truth and reality which Blanche tries to avoid
What does the paper lantern symbolise?,Blanche's attempt to hide the truth
What does the music represent?,Blanche's memories and trauma
What does bathing symbolise?,Blanche trying to cleanse herself of guilt
What is dramatic tension?,Conflict between Stanley and Blanche builds suspense
What are stage directions?,Instructions that guide actors and reveal meaning
What is foreshadowing?,Hints about Blanche's eventual breakdown
What is symbolism?,Objects used to represent deeper meanings
What is expressionism?,Use of sound and lighting to reflect Blanche's mental state
What historical context influenced the play?,Post war American social change
What social change does Stanley represent?,The rise of working class power
What social change does Blanche represent?,The decline of the Southern aristocracy
What does the ending suggest about society?,Society favours Stanley's power over Blanche's fragility
What is the tragic element of the play?,Blanche's inability to survive in a harsh modern world
