Front,Back
"What is photography?","The process of creating images using light and a camera."
"What is aperture?","The opening in a lens controlling light entering the camera."
"What does a wide aperture do?","Allows more light and creates shallow depth of field."
"What does a narrow aperture do?","Allows less light and creates deep depth of field."
"What is shutter speed?","The amount of time the camera sensor is exposed to light."
"What does a fast shutter speed do?","Freezes movement."
"What does a slow shutter speed do?","Creates motion blur."
"What is ISO?","The camera sensor's sensitivity to light."
"What happens with high ISO?","Brighter images but more grain or noise."
"What is exposure?","The amount of light captured in a photograph."
"What is the exposure triangle?","The relationship between aperture, shutter speed and ISO."
"What is depth of field?","The area of an image that appears sharp."
"What is shallow depth of field?","Only a small area appears in focus."
"What is deep depth of field?","Most of the image appears in focus."
"What is focus in photography?","The sharpness of a subject."
"What is manual focus?","Adjusting focus by hand."
"What is autofocus?","The camera automatically focusing the image."
"What is composition in photography?","The arrangement of visual elements in an image."
"What is the rule of thirds?","Dividing an image into thirds for balanced composition."
"What are leading lines?","Lines guiding the viewer's eye through an image."
"What is framing in photography?","Using elements to surround or emphasise a subject."
"What is symmetry in photography?","Balanced composition with mirrored elements."
"What is asymmetrical balance?","Balance created using unequal visual elements."
"What is negative space?","Empty space around the subject."
"What is positive space?","The area occupied by the subject."
"What is perspective in photography?","The angle or viewpoint of an image."
"What is bird's-eye view photography?","Photos taken from above."
"What is worm's-eye view photography?","Photos taken from below."
"What is portrait photography?","Photography focused on people."
"What is landscape photography?","Photography of natural or urban scenery."
"What is macro photography?","Close-up photography of small subjects."
"What is documentary photography?","Photography capturing real-life events."
"What is street photography?","Photography of everyday public life."
"What is fashion photography?","Photography promoting clothing or style."
"What is fine art photography?","Photography created for artistic expression."
"What is black-and-white photography?","Photography without colour."
"What is monochrome photography?","Photography using shades of one colour."
"What is contrast in photography?","Difference between light and dark areas."
"What is tonal range?","The range from darkest to lightest tones."
"What is highlights in photography?","The brightest parts of an image."
"What are shadows in photography?","The darkest parts of an image."
"What is natural lighting?","Using available light from the environment."
"What is artificial lighting?","Using man-made light sources."
"What is backlighting?","Light positioned behind the subject."
"What is side lighting?","Light hitting the subject from one side."
"What is soft lighting?","Diffused light producing gentle shadows."
"What is hard lighting?","Strong light creating sharp shadows."
"What is white balance?","Adjusting colour temperature in photographs."
"What is colour temperature?","The warmth or coolness of light."
"What is saturation?","The intensity of colours."
"What is hue?","The name of a colour."
"What is cropping?","Cutting parts of an image for composition."
"What is photo editing?","Adjusting or improving photographs digitally."
"What is Photoshop?","Software used for image editing and manipulation."
"What is Lightroom?","Software used for photo organisation and editing."
"What is retouching?","Improving details in a photograph."
"What is manipulation in photography?","Altering photographs creatively or digitally."
"What is a contact sheet?","A collection of image thumbnails for review."
"What is RAW format?","An uncompressed image file retaining maximum detail."
"What is JPEG format?","A compressed image file format."
"What is resolution?","The amount of detail in an image."
"What is pixelation?","Visible pixels reducing image quality."
"What is sharpness?","The clarity of image details."
"What is blur in photography?","Lack of sharp focus."
"What is motion blur?","Blur caused by moving subjects or camera movement."
"What is panning?","Following a moving subject during exposure."
"What is long exposure photography?","Using slow shutter speeds to capture movement over time."
"What is double exposure?","Combining two images into one."
"What is depth in photography?","Creating the illusion of space."
"What is visual narrative?","Telling a story through images."
"What is symbolism in photography?","Using objects or imagery to represent ideas."
"What is conceptual photography?","Photography based on ideas or messages."
"What is candid photography?","Capturing natural unposed moments."
"What is staged photography?","Carefully arranged photographic scenes."
"What is documentary realism?","Accurately representing real events."
"What is abstraction in photography?","Creating non-realistic photographic images."
"What is experimental photography?","Using unusual techniques or processes."
"What is photomontage?","Combining multiple photographs into one image."
"What is collage photography?","Using cut or layered photographic images."
"What is digital photography?","Photography using digital cameras."
"What is analogue photography?","Photography using film cameras."
"What is darkroom photography?","Developing photographs using chemical processes."
"What is film grain?","Visible texture in film photography."
"What is exposure compensation?","Adjusting brightness manually."
"What is histogram?","A graph showing tonal distribution in an image."
"What is focal length?","The distance affecting magnification and field of view."
"What is a wide-angle lens?","A lens capturing a broad field of view."
"What is a telephoto lens?","A lens magnifying distant subjects."
"What is depth compression?","Distant objects appearing closer together."
"What is viewpoint in photography?","The physical position of the camera."
"What is visual communication?","Expressing ideas through imagery."
"What is photographic series?","A connected group of photographs."
"What is artist influence in photography?","Inspiration taken from photographers or artists."
"What is annotation in photography?","Written explanation of photographic decisions."
"What is observational photography?","Photographing directly from observation."
"What is reflective practice in photography?","Reviewing and improving photographic work."
"What is post-production?","Editing performed after taking photographs."
