"Front","Back"
"What is an approach in psychology?","A way of explaining behaviour using a particular perspective."

"What is the behaviourist approach?","Explains behaviour through learning from the environment."

"What is classical conditioning?","Learning by association between stimuli."

"Who developed classical conditioning?","Ivan Pavlov."

"What did Pavlov demonstrate?","Dogs learned to associate a bell with food."

"What is an unconditioned stimulus (UCS)?","A stimulus that naturally produces a response."
"What is an unconditioned response (UCR)?","A natural response to a stimulus."

"What is a conditioned stimulus (CS)?","A previously neutral stimulus that produces a response after learning."
"What is a conditioned response (CR)?","A learned response to a conditioned stimulus."

"What is operant conditioning?","Learning through consequences of behaviour."

"Who developed operant conditioning?","B.F. Skinner."

"What is positive reinforcement?","Adding a reward to increase behaviour."
"What is negative reinforcement?","Removing something unpleasant to increase behaviour."

"What is punishment?","A consequence that decreases behaviour."

"What is the social learning theory?","Learning through observing others."

"Who developed social learning theory?","Albert Bandura."

"What is imitation?","Copying behaviour of others."
"What is identification?","Adopting behaviour of role models."

"What is vicarious reinforcement?","Learning by observing rewards or punishments of others."

"What is the cognitive approach?","Focuses on internal mental processes."

"What is inference?","Drawing conclusions about mental processes."

"What is schema?","Mental framework that organises information."

"What is the computer model?","Compares the mind to a computer."

"What is the biological approach?","Explains behaviour through genetics and brain function."

"What is a gene?","A section of DNA that codes for a trait."

"What is evolution?","The process by which species change over time."

"What is natural selection?","Traits that aid survival are passed on."

"What is the psychodynamic approach?","Focuses on unconscious processes."

"Who developed the psychodynamic approach?","Sigmund Freud."

"What is the unconscious mind?","Part of the mind we are unaware of."

"What are the three parts of personality?","Id, ego, superego."

"What is the id?","Primitive part driven by pleasure."
"What is the ego?","Balances reality and desires."
"What is the superego?","Represents moral standards."

"What is defence mechanism?","Unconscious way to reduce anxiety."

"What is repression?","Forgetting distressing memories."

"What is the humanistic approach?","Focuses on free will and personal growth."

"Who developed the humanistic approach?","Carl Rogers and Abraham Maslow."

"What is self-actualisation?","Achieving full potential."

"What is free will?","Ability to choose behaviour."

"What is determinism?","Behaviour is caused by external or internal factors."

"What is nature?","Behaviour influenced by genes."
"What is nurture?","Behaviour influenced by environment."

"What is reductionism?","Explaining behaviour in simple terms."
"What is holism?","Looking at behaviour as a whole."

"What is idiographic approach?","Focuses on individuals."
"What is nomothetic approach?","Aims to establish general laws."

"What is scientific method?","Systematic way of studying behaviour."

"What is objectivity?","Research free from bias."

"What is reliability?","Consistency of results."
"What is validity?","Accuracy of findings."

"What is hypothesis?","A testable prediction."

"What is variable?","Something that can be changed or measured."

"What is independent variable?","Variable that is changed."
"What is dependent variable?","Variable that is measured."

"What is control variable?","Variable kept constant."

"What is lab experiment?","Experiment in controlled environment."

"What is field experiment?","Experiment in real-world setting."

"What is natural experiment?","IV occurs naturally."

"What is observation?","Watching behaviour."

"What is questionnaire?","Set of written questions."

"What is interview?","Verbal questioning method."

"What is case study?","In-depth study of one individual."

"What is correlation?","Relationship between variables."

"What is positive correlation?","Variables increase together."
"What is negative correlation?","One increases, one decreases."

"What is peer review?","Checking research by other experts."

"What is ethics?","Moral guidelines in research."

"What is informed consent?","Participants agree to take part."

"What is deception?","Misleading participants."

"What is debrief?","Explaining study after participation."

"What is confidentiality?","Keeping participant data private."

"What is protection from harm?","Ensuring no harm to participants."

"What is demand characteristics?","Participants change behaviour due to awareness."

"What is investigator effects?","Researcher influences results."

"What is standardisation?","Keeping procedures consistent."

"What is quantitative data?","Numerical data."
"What is qualitative data?","Descriptive data."

"What is primary data?","Collected first-hand."
"What is secondary data?","Collected by others."

"What is operationalisation?","Defining variables clearly."

"What is pilot study?","Small-scale trial study."

"What is extraneous variable?","Unwanted variable affecting results."

"What is confounding variable?","Variable that affects DV systematically."

"What is random allocation?","Assigning participants randomly."

"What is counterbalancing?","Reducing order effects."

"What is order effects?","Practice or fatigue affecting results."

"What is population?","Group being studied."
"What is sample?","Subset of population."

"What is random sampling?","Everyone has equal chance."
"What is opportunity sampling?","Using available participants."

"What is volunteer sampling?","Participants volunteer."

"What is stratified sampling?","Sample reflects population characteristics."
