"Front","Back"
"What is the nervous system?","A network of nerve cells that transmits electrical signals throughout the body."
"What are the two main parts of the nervous system?","Central nervous system and peripheral nervous system."
"What is the central nervous system?","The brain and spinal cord."
"What is the peripheral nervous system?","All nerves outside the brain and spinal cord."
"What is a neurone?","A specialised cell that transmits nerve impulses."
"What are the three types of neurones?","Sensory neurones, relay neurones and motor neurones."
"What is a sensory neurone?","Carries impulses from receptors to the CNS."
"What is a motor neurone?","Carries impulses from the CNS to effectors."
"What is a relay neurone?","Connects sensory and motor neurones in the CNS."
"What is a receptor?","A cell that detects stimuli."
"What is a stimulus?","A detectable change in the environment."
"What is a response?","A reaction to a stimulus."
"What are effectors?","Muscles or glands that produce responses."
"What is a reflex action?","A rapid automatic response to a stimulus."
"What is a reflex arc?","The pathway taken by nerve impulses during a reflex."
"What are the steps in a reflex arc?","Stimulus, receptor, sensory neurone, relay neurone, motor neurone, effector."
"What is the dendrite?","Part of a neurone that receives impulses."
"What is the axon?","Long fibre carrying nerve impulses away from the cell body."
"What is the cell body?","Part of neurone containing nucleus and organelles."
"What is the myelin sheath?","Fatty layer insulating the axon."
"What is the function of myelin sheath?","Speeds up transmission of nerve impulses."
"What are nodes of Ranvier?","Gaps in the myelin sheath."
"What is saltatory conduction?","Impulse jumping between nodes of Ranvier."
"What is resting potential?","Electrical charge across the membrane when neurone is inactive."
"What is the typical resting potential value?","About -70 mV."
"What causes resting potential?","Unequal distribution of ions across membrane."
"What ions are involved in nerve impulses?","Sodium and potassium ions."
"What is an action potential?","Rapid change in membrane potential during impulse transmission."
"What happens during depolarisation?","Sodium channels open and Na+ enters the neurone."
"What happens during repolarisation?","Potassium ions leave the neurone."
"What is the refractory period?","Short period where neurone cannot fire again."
"What is the importance of the refractory period?","Ensures impulses travel in one direction."
"What is a synapse?","The junction between two neurones."
"What is the synaptic cleft?","Gap between neurones."
"What are neurotransmitters?","Chemical messengers transmitting signals across synapses."
"What neurotransmitter is commonly studied in A-level biology?","Acetylcholine."
"What happens when an impulse reaches a synapse?","Vesicles release neurotransmitters."
"What process releases neurotransmitters?","Exocytosis."
"What happens to neurotransmitters after release?","Diffuse across synaptic cleft."
"What happens when neurotransmitter reaches postsynaptic membrane?","Binds to receptors."
"What happens when receptors are activated?","Ion channels open."
"What effect does this have?","Triggers a new action potential."
"What happens to neurotransmitters after signalling?","Broken down by enzymes."
"What enzyme breaks down acetylcholine?","Acetylcholinesterase."
"What is summation?","Combining multiple signals to trigger an action potential."
"What is spatial summation?","Multiple neurones firing simultaneously."
"What is temporal summation?","Rapid firing of one neurone."
"What affects nerve impulse speed?","Myelin sheath and axon diameter."
"What increases conduction speed?","Myelination."
"What is the role of sodium-potassium pump?","Maintains ion gradients."
"What is threshold potential?","Minimum potential needed to trigger an action potential."
"What is all-or-nothing principle?","Action potentials either occur fully or not at all."
"What is sensory transduction?","Conversion of stimulus energy into nerve impulses."
"What is the role of the brain?","Processing and coordinating responses."
"What is the spinal cord?","Transmits impulses between brain and body."
"What is a pacinian corpuscle?","Pressure receptor in the skin."
"What stimulus does pacinian corpuscle detect?","Mechanical pressure."
"What happens when pacinian corpuscle is stimulated?","Membrane deforms triggering nerve impulse."
"What is the generator potential?","Initial electrical signal produced by receptor."
"What happens if generator potential reaches threshold?","Action potential forms."
"What is nerve impulse transmission?","Movement of action potentials along neurones."
"What ensures fast communication in the body?","Electrical impulses in neurones."
