Front,Back
"What is the US Constitution?","The supreme law outlining the structure of US government."
"What is federalism?","The division of power between federal and state governments."
"What is the separation of powers?","Division of government into legislative, executive and judicial branches."
"What are checks and balances?","Mechanisms limiting power between branches of government."
"What is the Bill of Rights?","The first ten amendments protecting individual rights."
"What is bicameralism?","A legislature with two chambers."
"What is Congress?","The legislative branch of the US government."
"What is the House of Representatives?","The lower chamber of Congress based on population."
"What is the Senate?","The upper chamber of Congress with two senators per state."
"What is a filibuster?","A tactic used to delay Senate votes."
"What is cloture?","A Senate vote to end debate."
"What is divided government?","When different parties control branches of government."
"What is unified government?","When one party controls Congress and the presidency."
"What is the role of Congress?","To make laws, scrutinise government and approve budgets."
"What are congressional committees?","Groups examining legislation and government activity."
"What is the role of the President?","Head of state and head of government."
"What are executive orders?","Directives issued by the President."
"What is the State of the Union address?","The President's annual speech to Congress."
"What is veto power?","The President's ability to reject legislation."
"What is a pocket veto?","A veto occurring when Congress adjourns before signing legislation."
"What is the line of succession?","The order replacing the President if necessary."
"What is impeachment?","The process of removing a public official."
"What is the role of the Vice President?","Deputy to the President and President of the Senate."
"What is the Supreme Court?","The highest court in the United States."
"What is judicial review?","The power to declare laws unconstitutional."
"What is judicial activism?","Judges actively shaping policy through rulings."
"What is judicial restraint?","Judges avoiding policy-making decisions."
"What is precedent?","Using previous rulings to guide decisions."
"What is a constitutional amendment?","A formal change to the Constitution."
"What are civil liberties?","Freedoms protecting individuals from government."
"What are civil rights?","Rights ensuring equal treatment."
"What is the Electoral College?","The system used to elect the President."
"What is a swing state?","A competitive state in presidential elections."
"What is a primary election?","An election choosing party candidates."
"What is a caucus?","A local meeting selecting party candidates."
"What is voter turnout?","The percentage of eligible voters who vote."
"What is political action committee (PAC)?","An organisation raising money for campaigns."
"What is a Super PAC?","A group spending unlimited funds independently in elections."
"What is lobbying?","Attempting to influence political decisions."
"What are pressure groups?","Groups seeking to influence policy."
"What is the two-party system?","Political dominance by two main parties."
"What is the Democratic Party generally associated with?","Liberal and centre-left policies."
"What is the Republican Party generally associated with?","Conservative and centre-right policies."
"What is political polarisation?","Growing ideological division between parties."
"What is judicial appointment?","Selection of federal judges by the President."
"What is Senate confirmation?","Senate approval of appointments."
"What is originalism?","Interpreting the Constitution by original meaning."
"What is a living constitution?","Viewing the Constitution as adaptable over time."
"What was Marbury v Madison?","The case establishing judicial review."
"What was Brown v Board of Education?","The case ending racial segregation in schools."
"What was Roe v Wade?","The case recognising abortion rights before later reversal."
"What is the Commerce Clause?","A constitutional power allowing Congress to regulate trade."
"What is enumerated power?","A power specifically listed in the Constitution."
"What is implied power?","A power inferred from constitutional wording."
"What is concurrent power?","A power shared by federal and state governments."
"What is states' rights?","Powers reserved to individual states."
"What is the role of the media in US politics?","Shaping public opinion and political agendas."
"What is campaign finance?","Funding political campaigns."
"What is soft money?","Political donations with fewer restrictions."
"What is hard money?","Regulated political donations directly to candidates."
"What is incumbent advantage?","Benefits held by current office holders."
"What is gerrymandering?","Manipulating electoral boundaries for advantage."
"What is reapportionment?","Redistributing House seats after the census."
"What is the census?","A population count conducted every ten years."
"What is political efficacy?","Belief that participation influences politics."
"What is compulsory voting?","A system requiring citizens to vote."
"What is a civil rights movement?","A campaign for equal rights and freedoms."
"What is the significance of the 14th Amendment?","It guarantees equal protection under the law."
"What is the significance of the 1st Amendment?","It protects freedoms such as speech and religion."
"What is the significance of the 2nd Amendment?","It protects the right to bear arms."
"What is foreign policy?","How a country manages international relations."
"What is Commander-in-Chief power?","The President's authority over the military."
"What is treaty ratification?","Senate approval of international treaties."
"What is executive privilege?","The President's right to withhold information."
"What is the spoils system?","Rewarding supporters with government jobs."
"What is merit-based appointment?","Selecting officials based on ability."
"What is democracy?","Government based on the will of the people."
"What is legitimacy?","Public acceptance of political authority."
"What is accountability?","Politicians being answerable for decisions and actions."
"What is representation?","Acting on behalf of citizens."
"What is constitutionalism?","Government limited by constitutional rules."
"What is limited government?","Government with restricted powers."
"What is political participation?","Citizen involvement in political processes."
"What is public opinion?","Views held by the population on political issues."
"What is ideology?","A set of political beliefs and values."
