"Front","Back"
"What is cell division?","The process by which a parent cell divides into two or more daughter cells."
"What are the two main types of cell division?","Mitosis and meiosis."
"What is mitosis?","Cell division producing two genetically identical daughter cells."
"What is the purpose of mitosis?","Growth, repair and asexual reproduction."
"What is meiosis?","Cell division producing four genetically different haploid cells."
"What is the purpose of meiosis?","Production of gametes for sexual reproduction."
"What is the cell cycle?","The sequence of events that leads to cell division."
"What are the stages of the cell cycle?","Interphase, mitosis and cytokinesis."
"What happens during interphase?","The cell grows and DNA replicates."
"What are the three stages of interphase?","G1, S phase and G2."
"What happens during G1 phase?","Cell growth and organelle replication."
"What happens during S phase?","DNA replication occurs."
"What happens during G2 phase?","Preparation for mitosis."
"What is DNA replication?","The copying of DNA before cell division."
"What is a chromosome?","A structure made of DNA and proteins carrying genetic information."
"What is a chromatid?","One of two identical strands of a replicated chromosome."
"What is a sister chromatid?","Two identical chromatids joined together."
"What is the centromere?","The region where sister chromatids are joined."
"What is the spindle?","A structure made of microtubules that moves chromosomes."
"What is prophase?","The stage where chromosomes condense and spindle forms."
"What happens in prophase?","Nuclear envelope breaks down and chromosomes become visible."
"What is metaphase?","The stage where chromosomes align at the cell equator."
"What happens in metaphase?","Spindle fibres attach to centromeres."
"What is anaphase?","The stage where sister chromatids separate."
"What happens in anaphase?","Chromatids are pulled to opposite poles."
"What is telophase?","The stage where nuclear membranes reform."
"What happens in telophase?","Chromosomes decondense and nuclei reform."
"What is cytokinesis?","Division of the cytoplasm."
"What happens in cytokinesis?","Two separate daughter cells form."
"What are daughter cells?","Cells produced from division."
"What are the chromosome numbers in mitosis?","Diploid to diploid."
"What does diploid mean?","Having two sets of chromosomes."
"What does haploid mean?","Having one set of chromosomes."
"What cells are haploid?","Gametes."
"What cells are diploid?","Body cells."
"What is meiosis I?","First division in meiosis reducing chromosome number."
"What is meiosis II?","Second division similar to mitosis."
"What happens in meiosis I?","Homologous chromosomes separate."
"What happens in meiosis II?","Sister chromatids separate."
"What are homologous chromosomes?","Chromosome pairs carrying the same genes."
"What is crossing over?","Exchange of genetic material between homologous chromosomes."
"What stage does crossing over occur?","Prophase I."
"What is independent assortment?","Random separation of chromosome pairs."
"What stage shows independent assortment?","Metaphase I."
"What is genetic variation?","Differences in DNA between individuals."
"What processes increase genetic variation?","Crossing over and independent assortment."
"What are gametes?","Sex cells such as sperm and egg."
"What cells produce gametes?","Cells undergoing meiosis."
"What is fertilisation?","Fusion of two gametes."
"What does fertilisation restore?","Diploid chromosome number."
"What is a zygote?","A fertilised egg cell."
"What is cell differentiation?","The process by which cells become specialised."
"What are stem cells?","Undifferentiated cells that can divide and specialise."
"What are embryonic stem cells?","Stem cells from embryos that can become any cell type."
"What are adult stem cells?","Stem cells found in tissues for repair."
"What is totipotent?","Ability to develop into any cell type including placenta."
"What is pluripotent?","Ability to become many cell types."
"What is multipotent?","Ability to become a limited number of cell types."
"What is the role of stem cells?","Growth, development and tissue repair."
"What is cancer?","Uncontrolled cell division."
"What causes cancer?","Mutations in genes controlling the cell cycle."
"What are oncogenes?","Genes that promote cell division."
"What are tumour suppressor genes?","Genes that slow or stop cell division."
"What is a tumour?","A mass of abnormal cells."
"What is a benign tumour?","A tumour that does not spread."
"What is a malignant tumour?","A tumour that spreads to other tissues."
"What is metastasis?","Spread of cancer cells to new areas."
"What is apoptosis?","Programmed cell death."
"What role does apoptosis play?","Removing damaged or unnecessary cells."
"What is a checkpoint in the cell cycle?","A control mechanism ensuring proper division."
"What is the G1 checkpoint?","Checks cell size and DNA integrity."
"What is the G2 checkpoint?","Ensures DNA replication is complete."
"What is the metaphase checkpoint?","Ensures chromosomes align correctly."
"What proteins control the cell cycle?","Cyclins and cyclin-dependent kinases."
"What is cyclin?","A protein regulating cell cycle progression."
"What is binary fission?","Cell division in prokaryotes."
"What occurs during binary fission?","DNA replicates and cell splits."
"What is chromosomal condensation?","DNA coiling tightly during division."
"What are spindle fibres made of?","Microtubules."
"What role do spindle fibres play?","Moving chromosomes."
"What is the equator in cell division?","The middle of the cell."
"What are poles in cell division?","Opposite ends of the cell."
"What is the difference between mitosis and meiosis?","Mitosis produces identical cells; meiosis produces varied gametes."
"How many daughter cells form in mitosis?","Two."
"How many daughter cells form in meiosis?","Four."
"What chromosome number results from meiosis?","Haploid."
"What chromosome number results from mitosis?","Diploid."
"What role does mitosis play in development?","Growth of multicellular organisms."
"What role does meiosis play in reproduction?","Production of gametes."
"What happens to chromosomes after telophase?","They decondense."
"What is chromatin?","DNA in a relaxed form."
"What happens if cell division is uncontrolled?","Cancer may develop."
"What ensures genetic continuity in mitosis?","DNA replication and equal chromosome separation."
"What increases genetic diversity in meiosis?","Crossing over and independent assortment."
"What happens if meiosis errors occur?","Chromosomal abnormalities may result."
"What is nondisjunction?","Failure of chromosomes to separate."
"What can nondisjunction cause?","Conditions like Down syndrome."
