Front,Back
What is a Shakespearean tragedy?,A play where a noble character falls due to a fatal flaw and tragic events
What is a tragic hero?,A central character of high status whose downfall evokes pity and fear
What is hamartia?,A fatal flaw or weakness that leads to a tragic hero's downfall
What is hubris?,Excessive pride or arrogance that leads to a character's fall
What is catharsis?,The emotional release experienced by the audience after tragedy
What is peripeteia?,A sudden reversal of fortune experienced by the tragic hero
What is anagnorisis?,The moment when the tragic hero recognises their mistake
What is tragic downfall?,The collapse of the hero's power or position
Why are tragic heroes often powerful?,Their fall has a greater emotional impact
What role does fate play in tragedy?,Events may seem predetermined or unavoidable
What role does free will play in tragedy?,Characters make choices that lead to their downfall
What is moral conflict in tragedy?,A character struggles between right and wrong actions
What is internal conflict?,A psychological struggle within a character
What is external conflict?,A struggle between characters or outside forces
What is a tragic ending?,A conclusion where the hero dies or loses everything
Why do tragedies often involve death?,Death highlights the consequences of tragic actions
What is the purpose of tragedy?,To explore human flaws and moral consequences
Why do audiences feel sympathy for tragic heroes?,They recognise the hero's humanity and mistakes
What is the role of ambition in tragedy?,Ambition often drives the hero toward destructive actions
What role does power play in tragedy?,The desire for power often leads to corruption
What is the role of guilt in tragedy?,Characters suffer psychological consequences for wrongdoing
What is the role of the supernatural in Shakespearean tragedy?,Supernatural elements influence events and create tension
What is dramatic tension?,Suspense created by conflict and uncertainty
What is dramatic irony in tragedy?,The audience knows more than the characters
What is a soliloquy?,A speech revealing a character's thoughts to the audience
Why are soliloquies important in tragedy?,They reveal inner conflict and motivation
What is foreshadowing?,Hints about future tragic events
What is symbolism in tragedy?,Objects representing deeper themes such as guilt or power
What is a tragic conflict?,A struggle that drives the tragic plot
What is rising action?,Events building tension toward the climax
What is the climax in tragedy?,The turning point where events change dramatically
What is falling action?,Events following the climax leading to the resolution
What is resolution in tragedy?,The final outcome after the hero's downfall
What is a moral lesson in tragedy?,The message about consequences of human flaws
What is justice in tragedy?,Wrongdoing is punished by the end of the play
What is the tragic structure?,A pattern of events leading to downfall
What is a noble protagonist?,A central character of high rank or status
Why do tragic heroes often start admired?,Their fall becomes more dramatic
What is the audience's emotional response in tragedy?,Pity and fear for the tragic hero
What is a tragic mistake?,A decision leading to disaster
What is inevitability in tragedy?,The sense that the hero cannot escape fate
What is dramatic conflict?,Clashes between characters' goals or values
What role does betrayal play in tragedy?,It intensifies conflict and downfall
What role does loyalty play in tragedy?,Characters struggle between loyalty and morality
What role does revenge play in tragedy?,Revenge can escalate tragedy and violence
Why do tragedies explore human weakness?,To reveal flaws in human nature
What is psychological tension?,Emotional pressure experienced by characters
Why is tragedy still relevant today?,It explores universal human struggles
What is Shakespeare's contribution to tragedy?,He deepened character psychology and moral complexity
What is the purpose of tragic storytelling?,To provoke reflection on human behaviour
