"Front","Back"
"What is conformity?","A change in behaviour or belief due to real or imagined group pressure. However, this may not reflect genuine private belief."
"What are the three types of conformity?","Compliance, identification and internalisation. However, distinctions can overlap in real situations."

"What is compliance?","Superficial change in behaviour without private acceptance. However, it is often temporary."
"What is identification?","Adopting behaviour to fit in with a group. However, this depends on group importance."
"What is internalisation?","Deep, permanent acceptance of group norms. However, difficult to measure."

"What is normative social influence (NSI)?","Conforming to be liked or accepted. However, it does not explain all conformity."
"What is informational social influence (ISI)?","Conforming because others are seen as correct. However, individuals may still doubt the group."

"What did Solomon Asch study?","Conformity to group pressure using line judgement task."
"What did Asch find?","Participants conformed ~37% of trials. However, many resisted."
"What is a strength of Asch’s study?","Controlled lab conditions allow reliability."
"What is a weakness of Asch’s study?","Lacks ecological validity."

"What is group size effect?","Conformity increases up to around 3 people. However, plateaus after."
"What is unanimity effect?","Conformity drops when one dissenter present."
"What is task difficulty effect?","Harder tasks increase conformity."

"What did Stanley Milgram study?","Obedience to authority using electric shock experiment."
"What did Milgram find?","65% gave 450V shocks. However, ethical concerns exist."
"What is a strength of Milgram?","Demonstrates power of authority."
"What is a weakness of Milgram?","Low ecological validity and ethical issues."

"What is obedience?","Following orders from authority figures."
"What is the agentic state?","Acting as an agent for authority, losing responsibility."
"What is a criticism of agentic state?","People may still feel moral conflict."

"What is legitimacy of authority?","Belief authority has right to give orders."
"What is a criticism of legitimacy?","Cultural differences affect obedience."

"What is proximity?","Physical closeness to authority affects obedience."
"What is location effect?","Less prestigious setting reduces obedience."
"What is uniform effect?","Authority symbols increase obedience."

"What is resistance to social influence?","Ability to resist conformity and obedience."
"What is social support?","Presence of others resisting reduces conformity."
"What is a weakness of social support?","Depends on confidence and context."

"What is locus of control?","Belief about control over life."
"What is internal LOC?","Person believes they control outcomes."
"What is external LOC?","Person believes outcomes are external."
"What is a criticism of LOC?","Not always consistent predictor of behaviour."

"What is minority influence?","Small group influences majority."
"What are three factors of minority influence?","Consistency, commitment, flexibility."
"What is consistency?","Consistency over time increases influence."
"What is commitment?","Shows dedication and confidence."
"What is flexibility?","Willingness to compromise."

"What did Moscovici study?","Minority influence using blue-green slides."
"What did Moscovici find?","Consistent minority influenced 8% of responses."
"What is a criticism of Moscovici?","Artificial task reduces validity."

"What is social change?","Change in society influenced by minority."
"What is the snowball effect?","Influence builds gradually."
"What is a limitation of social change theory?","Change can be slow and resisted."

"What is Zimbardo’s study?","Stanford Prison Experiment on obedience."
"What did Zimbardo find?","Participants conformed to roles quickly."
"What is a criticism of Zimbardo?","Lacks ethical standards."

"What is deindividuation?","Loss of self-awareness in groups."
"What is a criticism of deindividuation?","Not all group behaviour is negative."

"What is culture bias in social influence?","Research often based on Western samples."
"What is individual differences?","People vary in susceptibility to influence."

"What is ecological validity?","Extent research reflects real life."
"What is internal validity?","Extent results are true and not affected by variables."
"What is reliability?","Consistency of results."

"What is AO1?","Knowledge and understanding."
"What is AO2?","Application to context."
"What is AO3?","Evaluation of research."

"What is a strong AO3 point?","Many studies lack real-life applicability."
"What is a strong conclusion?","Social influence is powerful but affected by context."

"Flashcard filler 1","Social influence varies depending on situational and dispositional factors."
"Flashcard filler 2","Evaluation should include methodological issues."
"Flashcard filler 3","Always reference named studies in essays."
"Flashcard filler 4","Link theory to evidence for AO2 marks."
"Flashcard filler 5","Compare different explanations in evaluation."
"Flashcard filler 6","Use phrases like ‘however’ and ‘this suggests’."
"Flashcard filler 7","Balance strengths and weaknesses."
"Flashcard filler 8","Consider cultural and ethical issues."
"Flashcard filler 9","Apply to real-world scenarios."
"Flashcard filler 10","Use clear structure in exam answers."
