"Front","Back"
"to achieve","lograr | lograr un objetivo"
"achievement","el logro | un gran logro"
"to improve","mejorar | mejorar la situación"
"improvement","la mejora | una mejora significativa"
"to increase","aumentar | aumentar los precios"
"to decrease","disminuir | disminuir los costos"
"to reduce","reducir | reducir el consumo"
"to develop","desarrollar | desarrollar habilidades"
"development","el desarrollo | desarrollo sostenible"
"to support","apoyar | apoyar una causa"
"support","el apoyo | brindar apoyo"
"to provide","proporcionar | proporcionar servicios"
"to allow","permitir | permitir que"
"to encourage","fomentar | fomentar el aprendizaje"
"to prevent","prevenir | prevenir problemas"
"to avoid","evitar | evitar errores"
"to create","crear | crear empleo"
"to produce","producir | producir energía"
"to lead to","llevar a | llevar al éxito"
"to result in","provocar | provocar consecuencias"
"to affect","afectar | afectar a la sociedad"
"impact","el impacto | tener impacto"
"to influence","influir | influir en decisiones"
"influence","la influencia | ejercer influencia"
"to require","requerir | requerir esfuerzo"
"requirement","el requisito | cumplir requisitos"
"quality","la calidad | alta calidad"
"to protect","proteger | proteger el medio ambiente"
"protection","la protección | protección ambiental"
"to damage","dañar | dañar el planeta"
"damage","el daño | causar daño"
"to solve","resolver | resolver un problema"
"solution","la solución | encontrar una solución"
"to face","enfrentar | enfrentar desafíos"
"challenge","el desafío | gran desafío"
"to manage","gestionar | gestionar una situación"
"management","la gestión | gestión eficaz"
"skill","la habilidad | habilidades profesionales"
"experience","la experiencia | ganar experiencia"
"to gain experience","adquirir experiencia"
"to succeed","tener éxito | tener éxito en la vida"
"success","el éxito | lograr el éxito"
"to fail","fracasar | fracasar en un examen"
"failure","el fracaso | un fracaso total"
"opportunity","la oportunidad | aprovechar una oportunidad"
"to take advantage of","aprovechar | aprovechar una oportunidad"
"to benefit from","beneficiarse de | beneficiarse de algo"
"advantage","la ventaja | una gran ventaja"
"disadvantage","la desventaja | una gran desventaja"
"education","la educación | sistema educativo"
"school","el colegio | colegio público"
"university","la universidad | ir a la universidad"
"degree","el título | obtener un título"
"to study","estudiar | estudiar en la universidad"
"subject","la asignatura | asignatura principal"
"to revise","repasar | repasar para exámenes"
"exam","el examen | hacer un examen"
"to pass","aprobar | aprobar un examen"
"to fail (exam)","suspender | suspender un examen"
"teacher","el profesor | profesor cualificado"
"student","el estudiante | estudiante motivado"
"to learn","aprender | aprender un idioma"
"knowledge","el conocimiento | adquirir conocimiento"
"to teach","enseñar | enseñar a estudiantes"
"lesson","la clase | asistir a clase"
"homework","los deberes | hacer deberes"
"result","el resultado | buenos resultados"
"mark","la nota | buenas notas"
"pressure","la presión | sentir presión"
"stress","el estrés | manejar el estrés"
"to motivate","motivar | motivar a estudiantes"
"motivation","la motivación | falta de motivación"
"to concentrate","concentrarse | concentrarse en clase"
"distraction","la distracción | evitar distracciones"
"technology","la tecnología | tecnología moderna"
"internet","internet | acceso a internet"
"social media","las redes sociales"
"to communicate","comunicarse | comunicarse con otros"
"communication","la comunicación | mejorar la comunicación"
"to connect","conectarse | conectarse en línea"
"to share","compartir | compartir ideas"
"information","la información | acceder a información"
"data","los datos | analizar datos"
"to download","descargar | descargar archivos"
"to upload","subir | subir documentos"
"resource","el recurso | recursos en línea"
"environment","el medio ambiente | proteger el medio ambiente"
"pollution","la contaminación | reducir la contaminación"
"climate change","el cambio climático"
"to recycle","reciclar | reciclar residuos"
"waste","los residuos | reducir residuos"
"energy","la energía | ahorrar energía"
"renewable energy","la energía renovable"
"to consume","consumir | consumir menos"
"consumption","el consumo | reducir el consumo"
"nature","la naturaleza | proteger la naturaleza"
"to destroy","destruir | destruir el medio ambiente"
"society","la sociedad | sociedad moderna"
"community","la comunidad | comunidad local"
"culture","la cultura | diversidad cultural"
"identity","la identidad | identidad cultural"
"tradition","la tradición | respetar tradiciones"
"equality","la igualdad | promover la igualdad"
"inequality","la desigualdad | reducir desigualdades"
"discrimination","la discriminación | combatir la discriminación"
"government","el gobierno | política gubernamental"
"law","la ley | respetar la ley"
"freedom","la libertad | libertad de expresión"
"economy","la economía | crecimiento económico"
"job","el empleo | encontrar empleo"
"unemployment","el desempleo | alto desempleo"
"salary","el salario | ganar un salario"
"poverty","la pobreza | reducir la pobreza"

